"sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__pin","id","location__longitude","location__country","location__latitude","location__id","location__altitude","sampling_rate","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value"
"12009","various","DHT22","9","7","2322235533","6.3620","LU","49.5860","6063","175.8","null","2018-11-17 12:27:15","humidity","4941604472","46.40"
"","","","","","","","","","","","","","temperature","4941604471","18.90"
"10817","Nova Fitness","SDS011","14","1","2322235761","6.1160","LU","49.6020","5461","272.2","null","2018-11-17 12:27:19","P1","4941604953","6.60"
"","","","","","","","","","","","","","P2","4941604955","4.90"
"10818","various","DHT22","9","7","2322235816","6.1160","LU","49.6020","5461","272.2","null","2018-11-17 12:27:20","humidity","4941605075","52.60"
"","","","","","","","","","","","","","temperature","4941605074","10.80"
"16703","Nova Fitness","SDS011","14","1","2322238800","6.1140","LU","49.8580","8468","201.1","null","2018-11-17 12:27:49","P1","4941611363","4.53"
"","","","","","","","","","","","","","P2","4941611364","4.12"
"7971","Nova Fitness","SDS011","14","1","2322238907","6.1200","LU","49.7580","4031","240.6","null","2018-11-17 12:27:50","P1","4941611586","6.00"
"","","","","","","","","","","","","","P2","4941611587","5.40"
"7972","various","DHT22","9","7","2322238990","6.1200","LU","49.7580","4031","240.6","null","2018-11-17 12:27:51","humidity","4941611762","99.90"
"","","","","","","","","","","","","","temperature","4941611761","10.90"
"12725","Nova Fitness","SDS011","14","1","2322239872","6.1060","LU","49.7540","6427","244.1","null","2018-11-17 12:27:58","P1","4941613614","8.93"
"","","","","","","","","","","","","","P2","4941613615","5.70"
"12726","various","DHT22","9","7","2322239905","6.1060","LU","49.7540","6427","244.1","null","2018-11-17 12:27:58","humidity","4941613684","57.50"
"","","","","","","","","","","","","","temperature","4941613683","9.70"
"13847","Nova Fitness","SDS011","14","1","2322240051","6.0940","LU","49.7520","6994","231.8","null","2018-11-17 12:28:00","P1","4941613988","7.32"
"","","","","","","","","","","","","","P2","4941613989","5.03"
"13848","various","DHT22","9","7","2322240071","6.0940","LU","49.7520","6994","231.8","null","2018-11-17 12:28:00","humidity","4941614030","72.90"
"","","","","","","","","","","","","","temperature","4941614029","10.00"
