"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12008","SDS011","Nova Fitness","14","P1","5278602165","20.57","2018-12-12 11:09:28","2482251842","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5278602166","13.20","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5278602247","99.90","2018-12-12 11:09:28","2482251881","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5278602246","6.40","","","","","","","",""
"1","18971","SDS011","Nova Fitness","14","P1","5278604081","33.23","2018-12-12 11:09:40","2482252748","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","P2","5278604082","19.87","","","","","","","",""
"7","18972","DHT22","various","9","humidity","5278604139","93.60","2018-12-12 11:09:40","2482252776","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","temperature","5278604138","2.10","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5278604529","19.00","2018-12-12 11:09:42","2482252961","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5278604530","10.17","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5278604586","99.90","2018-12-12 11:09:43","2482252988","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5278604585","1.70","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5278605699","38.67","2018-12-12 11:09:50","2482253516","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5278605700","17.97","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5278605754","99.90","2018-12-12 11:09:50","2482253541","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5278605753","2.10","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5278605945","31.13","2018-12-12 11:09:51","2482253632","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5278605946","13.37","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5278606033","91.10","2018-12-12 11:09:52","2482253673","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5278606032","3.40","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5278606103","22.37","2018-12-12 11:09:52","2482253707","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5278606104","11.00","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5278606208","99.90","2018-12-12 11:09:52","2482253759","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5278606207","4.20","","","","","","","",""
"1","12886","SDS011","Nova Fitness","14","P1","5278607138","24.27","2018-12-12 11:09:57","2482254194","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","P2","5278607139","13.70","","","","","","","",""
"7","12887","DHT22","various","9","humidity","5278607180","99.90","2018-12-12 11:09:57","2482254214","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","temperature","5278607179","4.80","","","","","","","",""
"1","18342","SDS011","Nova Fitness","14","P1","5278614622","23.80","2018-12-12 11:10:52","2482257755","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","P2","5278614623","12.73","","","","","","","",""
"7","18343","DHT22","various","9","humidity","5278614683","99.90","2018-12-12 11:10:52","2482257782","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","temperature","5278614682","4.70","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5278615158","49.60","2018-12-12 11:10:56","2482258010","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5278615157","13.30","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5278618571","28.33","2018-12-12 11:11:12","2482259639","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5278618572","14.07","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5278618659","99.90","2018-12-12 11:11:12","2482259681","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5278618657","2.20","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5278619195","0.00","2018-12-12 11:11:15","2482259937","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5278619196","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5278619244","55.30","2018-12-12 11:11:15","2482259960","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5278619243","17.00","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5278619454","22.00","2018-12-12 11:11:17","2482260062","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5278619455","11.28","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5278619540","99.90","2018-12-12 11:11:17","2482260103","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5278619539","2.60","","","","","","","",""
"1","12114","SDS011","Nova Fitness","14","P1","5278621552","20.87","2018-12-12 11:11:30","2482261061","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5278621553","17.00","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5278621622","99.90","2018-12-12 11:11:31","2482261094","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5278621621","8.00","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5278624052","15.67","2018-12-12 11:11:41","2482262251","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5278624053","12.47","","","","","","","",""
"1","12699","SDS011","Nova Fitness","14","P1","5278624913","19.53","2018-12-12 11:11:47","2482262653","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","P2","5278624914","9.20","","","","","","","",""
"7","12700","DHT22","various","9","humidity","5278624956","99.90","2018-12-12 11:11:47","2482262673","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","temperature","5278624955","2.60","","","","","","","",""
"1","12008","SDS011","Nova Fitness","14","P1","5278625950","19.20","2018-12-12 11:11:55","2482263151","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5278625951","13.53","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5278626008","99.90","2018-12-12 11:11:55","2482263179","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5278626007","6.70","","","","","","","",""
