"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12008","SDS011","Nova Fitness","14","P1","5278578468","20.07","2018-12-12 11:07:01","2482240571","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5278578469","13.47","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5278578556","99.90","2018-12-12 11:07:02","2482240612","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5278578555","6.00","","","","","","","",""
"1","13317","SDS011","Nova Fitness","14","P1","5278579746","106.1","2018-12-12 11:07:09","2482241179","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","P2","5278579745","99.0","","","","","","","",""
"11","13318","BME280","Bosch","17","humidity","5278579801","99.9","2018-12-12 11:07:10","2482241204","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","pressure","5278579799","0","","","","","","","",""
"","","","","","temperature","5278579800","2.6","","","","","","","",""
"","","","","","pressure_at_sealevel","","0","","","","","","","",""
"1","18971","SDS011","Nova Fitness","14","P1","5278580332","34.43","2018-12-12 11:07:13","2482241462","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","P2","5278580333","18.77","","","","","","","",""
"7","18972","DHT22","various","9","humidity","5278580399","93.90","2018-12-12 11:07:13","2482241493","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","temperature","5278580398","2.20","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5278580735","26.50","2018-12-12 11:07:16","2482241653","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5278580736","14.48","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5278580775","99.90","2018-12-12 11:07:16","2482241670","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5278580774","1.70","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5278581861","27.77","2018-12-12 11:07:23","2482242186","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5278581864","11.97","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5278581902","27.30","2018-12-12 11:07:23","2482242203","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5278581903","15.37","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5278581949","91.00","2018-12-12 11:07:23","2482242225","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5278581948","3.50","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5278581972","99.90","2018-12-12 11:07:23","2482242236","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5278581970","2.30","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5278582288","16.95","2018-12-12 11:07:25","2482242389","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5278582289","10.82","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5278582381","99.90","2018-12-12 11:07:25","2482242433","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5278582380","4.20","","","","","","","",""
"1","12886","SDS011","Nova Fitness","14","P1","5278583248","23.67","2018-12-12 11:07:30","2482242834","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","P2","5278583249","13.37","","","","","","","",""
"7","12887","DHT22","various","9","humidity","5278583288","99.90","2018-12-12 11:07:31","2482242852","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","temperature","5278583286","4.80","","","","","","","",""
"1","14247","SDS011","Nova Fitness","14","P1","5278589427","27.37","2018-12-12 11:08:13","2482245776","49.8260","LU","7208","6.0040","361.3","null"
"","","","","","P2","5278589428","18.07","","","","","","","",""
"7","14248","DHT22","various","9","humidity","5278589480","99.90","2018-12-12 11:08:14","2482245801","49.8260","LU","7208","6.0040","361.3","null"
"","","","","","temperature","5278589479","1.80","","","","","","","",""
"1","18342","SDS011","Nova Fitness","14","P1","5278590811","21.70","2018-12-12 11:08:25","2482246435","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","P2","5278590812","12.50","","","","","","","",""
"7","18343","DHT22","various","9","humidity","5278590874","99.90","2018-12-12 11:08:26","2482246462","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","temperature","5278590873","4.60","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5278591479","46.60","2018-12-12 11:08:30","2482246747","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5278591478","14.70","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5278594916","31.87","2018-12-12 11:08:45","2482248383","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5278594919","14.80","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5278594991","99.90","2018-12-12 11:08:45","2482248419","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5278594990","2.20","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5278595500","0.00","2018-12-12 11:08:48","2482248662","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5278595501","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5278595553","55.30","2018-12-12 11:08:49","2482248688","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5278595552","17.00","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5278595845","20.75","2018-12-12 11:08:50","2482248831","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5278595846","12.23","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5278595937","99.90","2018-12-12 11:08:50","2482248872","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5278595929","2.50","","","","","","","",""
"1","12699","SDS011","Nova Fitness","14","P1","5278597788","24.40","2018-12-12 11:09:02","2482249754","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","P2","5278597816","9.70","","","","","","","",""
"7","12700","DHT22","various","9","humidity","5278597756","99.90","2018-12-12 11:09:03","2482249773","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","temperature","5278597743","2.60","","","","","","","",""
"1","12114","SDS011","Nova Fitness","14","P1","5278597804","23.00","2018-12-12 11:09:03","2482249778","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5278597842","19.13","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5278597949","99.90","2018-12-12 11:09:04","2482249836","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5278597948","8.00","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5278600013","14.20","2018-12-12 11:09:12","2482250820","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5278600014","12.07","","","","","","","",""
