"sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__pin","sensor__id","location__country","location__altitude","location__longitude","location__latitude","location__id","timestamp","sampling_rate","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","id"
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:40:57","null","P1","2.67","5238632582","2463263212"
"","","","","","","","","","","","","P2","0.50","5238632583",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:40:57","null","humidity","92.00","5238632632","2463263235"
"","","","","","","","","","","","","temperature","8.80","5238632631",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-09 13:41:08","null","P1","0.87","5238634505","2463264128"
"","","","","","","","","","","","","P2","0.40","5238634506",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-09 13:41:09","null","humidity","99.90","5238634546","2463264148"
"","","","","","","","","","","","","temperature","7.40","5238634545",""
"DHT22","various","9","7","10818","LU","272.2","6.1160","49.6020","5461","2018-12-09 13:41:13","null","humidity","99.90","5238635276","2463264501"
"","","","","","","","","","","","","temperature","8.10","5238635275",""
"SDS011","Nova Fitness","14","1","18342","LU","225.6","6.0820","49.7440","9298","2018-12-09 13:41:17","null","P1","2.53","5238635940","2463264820"
"","","","","","","","","","","","","P2","1.00","5238635941",""
"DHT22","various","9","7","18343","LU","225.6","6.0820","49.7440","9298","2018-12-09 13:41:17","null","humidity","99.90","5238636023","2463264859"
"","","","","","","","","","","","","temperature","7.20","5238636021",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-09 13:41:27","null","P1","2.97","5238637402","2463265522"
"","","","","","","","","","","","","P2","0.80","5238637404",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-09 13:41:27","null","humidity","99.90","5238637475","2463265557"
"","","","","","","","","","","","","temperature","7.70","5238637473",""
"SDS011","Nova Fitness","14","1","12008","LU","175.8","6.3620","49.5860","6063","2018-12-09 13:41:32","null","P1","1.93","5238638185","2463265889"
"","","","","","","","","","","","","P2","0.97","5238638192",""
"DHT22","various","9","7","12009","LU","175.8","6.3620","49.5860","6063","2018-12-09 13:41:33","null","humidity","99.90","5238638252","2463265918"
"","","","","","","","","","","","","temperature","7.50","5238638250",""
"SDS011","Nova Fitness","14","1","14247","LU","361.3","6.0040","49.8260","7208","2018-12-09 13:41:45","null","P1","2.47","5238640207","2463266848"
"","","","","","","","","","","","","P2","1.20","5238640208",""
"DHT22","various","9","7","14248","LU","361.3","6.0040","49.8260","7208","2018-12-09 13:41:45","null","humidity","99.90","5238640282","2463266883"
"","","","","","","","","","","","","temperature","6.30","5238640281",""
"SDS011","Nova Fitness","14","1","13847","LU","231.8","6.0940","49.7520","6994","2018-12-09 13:41:59","null","P1","2.15","5238642281","2463267829"
"","","","","","","","","","","","","P2","0.43","5238642282",""
"DHT22","various","9","7","13848","LU","231.8","6.0940","49.7520","6994","2018-12-09 13:41:59","null","humidity","99.90","5238642337","2463267856"
"","","","","","","","","","","","","temperature","7.80","5238642335",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-09 13:42:07","null","P1","4.73","5238643732","2463268514"
"","","","","","","","","","","","","P2","0.97","5238643734",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-09 13:42:08","null","humidity","99.90","5238643787","2463268539"
"","","","","","","","","","","","","temperature","7.10","5238643786",""
"SDS011","Nova Fitness","14","1","13317","LU","303.6","6.1280","49.7560","6728","2018-12-09 13:42:09","null","P1","3.4","5238644052","2463268665"
"","","","","","","","","","","","","P2","1.2","5238644051",""
"SDS011","Nova Fitness","14","1","18971","LU","231.9","6.0960","49.7440","9620","2018-12-09 13:42:10","null","P1","3.67","5238644121","2463268700"
"","","","","","","","","","","","","P2","1.57","5238644122",""
"BME280","Bosch","17","11","13318","LU","303.6","6.1280","49.7560","6728","2018-12-09 13:42:10","null","humidity","99.9","5238644133","2463268705"
"","","","","","","","","","","","","pressure","0","5238644131",""
"","","","","","","","","","","","","temperature","7.1","5238644132",""
"","","","","","","","","","","","","pressure_at_sealevel","0","",""
"DHT22","various","9","7","18972","LU","231.9","6.0960","49.7440","9620","2018-12-09 13:42:10","null","humidity","95.00","5238644191","2463268732"
"","","","","","","","","","","","","temperature","7.40","5238644190",""
"SDS011","Nova Fitness","14","1","13281","LU","225.2","6.1160","49.7560","6709","2018-12-09 13:42:13","null","P1","0.00","5238644750","2463268992"
"","","","","","","","","","","","","P2","0.00","5238644751",""
"DHT22","various","9","7","13282","LU","225.2","6.1160","49.7560","6709","2018-12-09 13:42:14","null","humidity","58.90","5238644805","2463269018"
"","","","","","","","","","","","","temperature","17.30","5238644804",""
"SDS011","Nova Fitness","14","1","12114","LU","165.9","6.4180","49.8100","6121","2018-12-09 13:42:21","null","P1","0.97","5238645895","2463269537"
"","","","","","","","","","","","","P2","0.93","5238645898",""
"DHT22","various","9","7","12115","LU","165.9","6.4180","49.8100","6121","2018-12-09 13:42:22","null","humidity","99.90","5238645960","2463269567"
"","","","","","","","","","","","","temperature","11.40","5238645959",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-09 13:42:24","null","P1","3.08","5238646396","2463269775"
"","","","","","","","","","","","","P2","1.22","5238646397",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-09 13:42:24","null","humidity","99.90","5238646499","2463269823"
"","","","","","","","","","","","","temperature","6.80","5238646498",""
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-09 13:42:30","null","P1","1.47","5238647515","2463270309"
"","","","","","","","","","","","","P2","1.43","5238647516",""
"DHT22","various","9","7","9401","LU","287.7","6.1400","49.5920","4740","2018-12-09 13:42:30","null","humidity","99.90","5238647596","2463270348"
"","","","","","","","","","","","","temperature","6.70","5238647595",""
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-09 13:42:47","null","P1","2.07","5238650171","2463271562"
"","","","","","","","","","","","","P2","0.83","5238650172",""
"SDS011","Nova Fitness","14","1","12699","LU","328.9","6.0600","49.5700","6414","2018-12-09 13:42:47","null","P1","3.63","5238650199","2463271576"
"","","","","","","","","","","","","P2","1.20","5238650200",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-09 13:42:47","null","humidity","99.90","5238650236","2463271594"
"","","","","","","","","","","","","temperature","7.30","5238650235",""
"DHT22","various","9","7","12700","LU","328.9","6.0600","49.5700","6414","2018-12-09 13:42:48","null","humidity","99.90","5238650259","2463271605"
"","","","","","","","","","","","","temperature","6.40","5238650258",""
"SDS011","Nova Fitness","14","1","16703","LU","201.1","6.1140","49.8580","8468","2018-12-09 13:43:00","null","P1","3.13","5238652266","2463272560"
"","","","","","","","","","","","","P2","2.83","5238652267",""
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:43:24","null","P1","3.03","5238656260","2463274469"
"","","","","","","","","","","","","P2","0.50","5238656261",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:43:24","null","humidity","92.00","5238656313","2463274491"
"","","","","","","","","","","","","temperature","8.80","5238656312",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-09 13:43:35","null","P1","1.60","5238658034","2463275310"
"","","","","","","","","","","","","P2","0.70","5238658035",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-09 13:43:35","null","humidity","99.90","5238658088","2463275336"
"","","","","","","","","","","","","temperature","7.40","5238658087",""
"DHT22","various","9","7","10818","LU","272.2","6.1160","49.6020","5461","2018-12-09 13:43:39","null","humidity","99.90","5238658722","2463275636"
"","","","","","","","","","","","","temperature","8.20","5238658720",""
"SDS011","Nova Fitness","14","1","18342","LU","225.6","6.0820","49.7440","9298","2018-12-09 13:43:44","null","P1","1.67","5238659548","2463276033"
"","","","","","","","","","","","","P2","0.70","5238659549",""
"DHT22","various","9","7","18343","LU","225.6","6.0820","49.7440","9298","2018-12-09 13:43:44","null","humidity","99.90","5238659606","2463276060"
"","","","","","","","","","","","","temperature","7.20","5238659605",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-09 13:43:53","null","P1","4.60","5238660933","2463276695"
"","","","","","","","","","","","","P2","1.47","5238660934",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-09 13:43:54","null","humidity","99.90","5238660992","2463276723"
"","","","","","","","","","","","","temperature","7.70","5238660991",""
"SDS011","Nova Fitness","14","1","12008","LU","175.8","6.3620","49.5860","6063","2018-12-09 13:43:59","null","P1","1.83","5238661754","2463277090"
"","","","","","","","","","","","","P2","1.43","5238661755",""
"DHT22","various","9","7","12009","LU","175.8","6.3620","49.5860","6063","2018-12-09 13:43:59","null","humidity","99.90","5238661794","2463277108"
"","","","","","","","","","","","","temperature","7.60","5238661793",""
"SDS011","Nova Fitness","14","1","13847","LU","231.8","6.0940","49.7520","6994","2018-12-09 13:44:26","null","P1","3.00","5238665935","2463279070"
"","","","","","","","","","","","","P2","0.47","5238665936",""
"DHT22","various","9","7","13848","LU","231.8","6.0940","49.7520","6994","2018-12-09 13:44:26","null","humidity","99.90","5238666008","2463279106"
"","","","","","","","","","","","","temperature","7.70","5238666007",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-09 13:44:34","null","P1","3.47","5238667247","2463279683"
"","","","","","","","","","","","","P2","1.33","5238667249",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-09 13:44:34","null","humidity","99.90","5238667297","2463279707"
"","","","","","","","","","","","","temperature","7.10","5238667296",""
"SDS011","Nova Fitness","14","1","18971","LU","231.9","6.0960","49.7440","9620","2018-12-09 13:44:36","null","P1","4.27","5238667628","2463279865"
"","","","","","","","","","","","","P2","1.20","5238667629",""
"DHT22","various","9","7","18972","LU","231.9","6.0960","49.7440","9620","2018-12-09 13:44:37","null","humidity","95.10","5238667697","2463279896"
"","","","","","","","","","","","","temperature","7.30","5238667696",""
"SDS011","Nova Fitness","14","1","13281","LU","225.2","6.1160","49.7560","6709","2018-12-09 13:44:40","null","P1","0.00","5238668278","2463280169"
"","","","","","","","","","","","","P2","0.00","5238668279",""
"DHT22","various","9","7","13282","LU","225.2","6.1160","49.7560","6709","2018-12-09 13:44:40","null","humidity","58.70","5238668320","2463280188"
"","","","","","","","","","","","","temperature","17.40","5238668319",""
"SDS011","Nova Fitness","14","1","12114","LU","165.9","6.4180","49.8100","6121","2018-12-09 13:44:49","null","P1","0.70","5238669504","2463280754"
"","","","","","","","","","","","","P2","0.70","5238669506",""
"DHT22","various","9","7","12115","LU","165.9","6.4180","49.8100","6121","2018-12-09 13:44:49","null","humidity","99.90","5238669571","2463280785"
"","","","","","","","","","","","","temperature","11.40","5238669570",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-09 13:44:51","null","P1","1.87","5238669891","2463280940"
"","","","","","","","","","","","","P2","0.88","5238669892",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-09 13:44:51","null","humidity","99.90","5238669974","2463280979"
"","","","","","","","","","","","","temperature","6.80","5238669972",""
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-09 13:44:56","null","P1","0.00","5238670992","2463281469"
"","","","","","","","","","","","","P2","0.00","5238670993",""
"DHT22","various","9","7","9401","LU","287.7","6.1400","49.5920","4740","2018-12-09 13:44:57","null","humidity","99.90","5238671221","2463281578"
"","","","","","","","","","","","","temperature","6.80","5238671220",""
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-09 13:45:14","null","P1","1.77","5238673634","2463282718"
"","","","","","","","","","","","","P2","0.70","5238673635",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-09 13:45:14","null","humidity","99.90","5238673684","2463282742"
"","","","","","","","","","","","","temperature","7.30","5238673682",""
"SDS011","Nova Fitness","14","1","16703","LU","201.1","6.1140","49.8580","8468","2018-12-09 13:45:28","null","P1","1.33","5238676084","2463283881"
"","","","","","","","","","","","","P2","0.50","5238676085",""
"SDS011","Nova Fitness","14","1","12699","LU","328.9","6.0600","49.5700","6414","2018-12-09 13:45:32","null","P1","9.00","5238676660","2463284155"
"","","","","","","","","","","","","P2","1.23","5238676662",""
"DHT22","various","9","7","12700","LU","328.9","6.0600","49.5700","6414","2018-12-09 13:45:33","null","humidity","99.90","5238676732","2463284187"
"","","","","","","","","","","","","temperature","6.40","5238676722",""
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:45:52","null","P1","2.43","5238679989","2463285747"
"","","","","","","","","","","","","P2","0.50","5238679990",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-09 13:45:53","null","humidity","92.00","5238680058","2463285779"
"","","","","","","","","","","","","temperature","8.70","5238680057",""
