"timestamp","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","sensor__pin","id","location__country","location__altitude","location__longitude","location__id","location__latitude","sampling_rate","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value"
"","","","","","","","","","","","","","5348974549","temperature","6.20"
"2018-12-17 11:56:34","Nova Fitness","14","SDS011","16703","1","2515663075","LU","201.1","6.1140","8468","49.8580","null","5348975164","P1","4.00"
"","","","","","","","","","","","","","5348975297","P2","3.70"
"2018-12-17 11:56:44","Nova Fitness","14","SDS011","12008","1","2515663460","LU","175.8","6.3620","6063","49.5860","null","5348975947","P1","17.67"
"","","","","","","","","","","","","","5348976138","P2","10.63"
"2018-12-17 11:57:08","Nova Fitness","14","SDS011","12699","1","2515664004","LU","328.9","6.0600","6414","49.5700","null","5348977148","P1","16.27"
"","","","","","","","","","","","","","5348977203","P2","6.20"
"2018-12-17 11:57:21","Nova Fitness","14","SDS011","12886","1","2515664312","LU","229.9","6.0940","6511","49.7460","null","5348977771","P1","8.10"
"","","","","","","","","","","","","","5348977828","P2","4.87"
"2018-12-17 11:57:21","Nova Fitness","14","SDS011","13112","1","2515664322","LU","240.9","6.1000","6622","49.7520","null","5348977806","P1","15.25"
"","","","","","","","","","","","","","5348977973","P2","10.77"
"2018-12-17 11:57:21","Nova Fitness","14","SDS011","13317","1","2515664333","LU","303.6","6.1280","6728","49.7560","null","5348977797","P1","11.3"
"","","","","","","","","","","","","","5348977781","P2","6.3"
"2018-12-17 11:57:36","Nova Fitness","14","SDS011","12114","1","2515664577","LU","165.9","6.4180","6121","49.8100","null","5348978321","P1","7.10"
"","","","","","","","","","","","","","5348978407","P2","5.50"
"2018-12-17 11:57:42","various","9","DHT22","12115","7","2515664754","LU","165.9","6.4180","6121","49.8100","null","5348978889","humidity","99.90"
"","","","","","","","","","","","","","5348978653","temperature","10.80"
"2018-12-17 11:58:06","various","9","DHT22","12911","7","2515665405","LU","241.1","6.1200","6523","49.7580","null","5348980141","humidity","99.90"
"","","","","","","","","","","","","","5348980116","temperature","6.00"
"2018-12-17 11:58:28","Nova Fitness","14","SDS011","13847","1","2515668135","LU","231.8","6.0940","6994","49.7520","null","5348985897","P1","7.68"
"","","","","","","","","","","","","","5348985898","P2","4.40"
"2018-12-17 11:58:29","Nova Fitness","14","SDS011","7971","1","2515668168","LU","240.6","6.1200","4031","49.7580","null","5348985971","P1","4.00"
"","","","","","","","","","","","","","5348985975","P2","3.10"
"2018-12-17 11:58:29","Bosch","17","BME280","13318","11","2515668173","LU","303.6","6.1280","6728","49.7560","null","5348985977","humidity","99.9"
"","","","","","","","","","","","","","5348985974","pressure","0"
"","","","","","","","","","","","","","5348985976","temperature","6.4"
"","","","","","","","","","","","","","","pressure_at_sealevel","0"
"2018-12-17 11:58:29","various","9","DHT22","13848","7","2515668193","LU","231.8","6.0940","6994","49.7520","null","5348986018","humidity","99.90"
"","","","","","","","","","","","","","5348986017","temperature","8.50"
"2018-12-17 11:58:29","various","9","DHT22","7972","7","2515668246","LU","240.6","6.1200","4031","49.7580","null","5348986125","humidity","99.90"
"","","","","","","","","","","","","","5348986123","temperature","6.20"
"2018-12-17 11:58:30","Nova Fitness","14","SDS011","9400","1","2515668380","LU","287.7","6.1400","4740","49.5920","null","5348986399","P1","8.63"
"","","","","","","","","","","","","","5348986403","P2","5.60"
"2018-12-17 11:58:36","Nova Fitness","14","SDS011","18342","1","2515668947","LU","225.6","6.0820","9298","49.7440","null","5348987606","P1","11.40"
"","","","","","","","","","","","","","5348987608","P2","4.03"
"2018-12-17 11:58:36","various","9","DHT22","18343","7","2515668974","LU","225.6","6.0820","9298","49.7440","null","5348987671","humidity","99.90"
"","","","","","","","","","","","","","5348987670","temperature","6.60"
"2018-12-17 11:58:42","Nova Fitness","14","SDS011","12725","1","2515669593","LU","244.1","6.1060","6427","49.7540","null","5348988977","P1","11.80"
"","","","","","","","","","","","","","5348988980","P2","4.60"
"2018-12-17 11:58:43","various","9","DHT22","12726","7","2515669620","LU","244.1","6.1060","6427","49.7540","null","5348989035","humidity","91.50"
"","","","","","","","","","","","","","5348989033","temperature","8.50"
"2018-12-17 11:58:44","Nova Fitness","14","SDS011","13281","1","2515669735","LU","225.2","6.1160","6709","49.7560","null","5348989273","P1","0.00"
"","","","","","","","","","","","","","5348989274","P2","0.00"
"2018-12-17 11:58:45","various","9","DHT22","13282","7","2515669746","LU","225.2","6.1160","6709","49.7560","null","5348989301","humidity","56.80"
"","","","","","","","","","","","","","5348989300","temperature","15.70"
"2018-12-17 11:58:47","Nova Fitness","14","SDS011","12760","1","2515669810","LU","225.5","6.1140","6444","49.7420","null","5348989433","P1","8.83"
"","","","","","","","","","","","","","5348989434","P2","5.17"
"2018-12-17 11:58:47","various","9","DHT22","12761","7","2515669819","LU","225.5","6.1140","6444","49.7420","null","5348989453","humidity","99.90"
"","","","","","","","","","","","","","5348989452","temperature","6.20"
