"sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__pin","sensor__id","location__country","location__altitude","location__longitude","location__latitude","location__id","timestamp","sampling_rate","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","id"
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-08 15:06:52","null","P1","14.53","5225742287","2457137736"
"","","","","","","","","","","","","P2","3.07","5225742288",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-08 15:06:52","null","humidity","99.90","5225742344","2457137763"
"","","","","","","","","","","","","temperature","7.40","5225742343",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-08 15:06:55","null","P1","12.80","5225742708","2457137934"
"","","","","","","","","","","","","P2","4.97","5225742709",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-08 15:06:56","null","humidity","99.90","5225742754","2457137956"
"","","","","","","","","","","","","temperature","7.20","5225742753",""
"SDS011","Nova Fitness","14","1","12008","LU","175.8","6.3620","49.5860","6063","2018-12-08 15:07:07","null","P1","9.57","5225744481","2457138783"
"","","","","","","","","","","","","P2","2.70","5225744483",""
"DHT22","various","9","7","12009","LU","175.8","6.3620","49.5860","6063","2018-12-08 15:07:08","null","humidity","99.90","5225744558","2457138819"
"","","","","","","","","","","","","temperature","7.60","5225744556",""
"SDS011","Nova Fitness","14","1","13317","LU","303.6","6.1280","49.7560","6728","2018-12-08 15:07:09","null","P1","19.7","5225744822","2457138945"
"","","","","","","","","","","","","P2","3.4","5225744821",""
"BME280","Bosch","17","11","13318","LU","303.6","6.1280","49.7560","6728","2018-12-08 15:07:10","null","humidity","99.9","5225744901","2457138983"
"","","","","","","","","","","","","pressure","0","5225744899",""
"","","","","","","","","","","","","temperature","7.3","5225744900",""
"","","","","","","","","","","","","pressure_at_sealevel","0","",""
"SDS011","Nova Fitness","14","1","12699","LU","328.9","6.0600","49.5700","6414","2018-12-08 15:07:13","null","P1","11.43","5225745397","2457139222"
"","","","","","","","","","","","","P2","3.07","5225745398",""
"DHT22","various","9","7","12700","LU","328.9","6.0600","49.5700","6414","2018-12-08 15:07:13","null","humidity","99.90","5225745460","2457139251"
"","","","","","","","","","","","","temperature","7.00","5225745459",""
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-08 15:07:25","null","P1","10.47","5225747370","2457140148"
"","","","","","","","","","","","","P2","2.33","5225747371",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-08 15:07:25","null","humidity","93.50","5225747438","2457140178"
"","","","","","","","","","","","","temperature","8.90","5225747437",""
"SDS011","Nova Fitness","14","1","14247","LU","361.3","6.0040","49.8260","7208","2018-12-08 15:07:32","null","P1","14.53","5225748362","2457140617"
"","","","","","","","","","","","","P2","3.13","5225748363",""
"DHT22","various","9","7","14248","LU","361.3","6.0040","49.8260","7208","2018-12-08 15:07:32","null","humidity","99.90","5225748410","2457140640"
"","","","","","","","","","","","","temperature","6.80","5225748409",""
"SDS011","Nova Fitness","14","1","16703","LU","201.1","6.1140","49.8580","8468","2018-12-08 15:07:35","null","P1","2.83","5225748893","2457140873"
"","","","","","","","","","","","","P2","1.30","5225748897",""
"SDS011","Nova Fitness","14","1","13847","LU","231.8","6.0940","49.7520","6994","2018-12-08 15:07:38","null","P1","8.15","5225749853","2457141321"
"","","","","","","","","","","","","P2","2.35","5225749855",""
"DHT22","various","9","7","13848","LU","231.8","6.0940","49.7520","6994","2018-12-08 15:07:39","null","humidity","99.90","5225749938","2457141358"
"","","","","","","","","","","","","temperature","8.10","5225749937",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-08 15:07:44","null","P1","7.03","5225750812","2457141774"
"","","","","","","","","","","","","P2","2.20","5225750813",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-08 15:07:45","null","humidity","99.90","5225750882","2457141806"
"","","","","","","","","","","","","temperature","7.00","5225750881",""
"DHT22","various","9","7","10818","LU","272.2","6.1160","49.6020","5461","2018-12-08 15:07:59","null","humidity","99.90","5225752759","2457142694"
"","","","","","","","","","","","","temperature","8.20","5225752758",""
"SDS011","Nova Fitness","14","1","12114","LU","165.9","6.4180","49.8100","6121","2018-12-08 15:08:09","null","P1","11.63","5225754047","2457143307"
"","","","","","","","","","","","","P2","3.17","5225754048",""
"DHT22","various","9","7","12115","LU","165.9","6.4180","49.8100","6121","2018-12-08 15:08:09","null","humidity","99.90","5225754091","2457143328"
"","","","","","","","","","","","","temperature","9.70","5225754089",""
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-08 15:08:41","null","P1","0.00","5225758753","2457145540"
"","","","","","","","","","","","","P2","0.00","5225758756",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-08 15:08:43","null","P1","9.57","5225759159","2457145733"
"","","","","","","","","","","","","P2","2.42","5225759160",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-08 15:08:44","null","humidity","99.90","5225759240","2457145771"
"","","","","","","","","","","","","temperature","7.50","5225759238",""
"SDS011","Nova Fitness","14","1","18971","LU","231.9","6.0960","49.7440","9620","2018-12-08 15:08:44","null","P1","7.70","5225759362","2457145831"
"","","","","","","","","","","","","P2","2.60","5225759366",""
"DHT22","various","9","7","18972","LU","231.9","6.0960","49.7440","9620","2018-12-08 15:08:44","null","humidity","95.20","5225759462","2457145877"
"","","","","","","","","","","","","temperature","7.60","5225759461",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-08 15:08:49","null","P1","15.03","5225760832","2457146538"
"","","","","","","","","","","","","P2","3.10","5225760833",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-08 15:08:50","null","humidity","99.90","5225760894","2457146568"
"","","","","","","","","","","","","temperature","7.20","5225760892",""
"SDS011","Nova Fitness","14","1","18342","LU","225.6","6.0820","49.7440","9298","2018-12-08 15:08:59","null","P1","13.43","5225762387","2457147282"
"","","","","","","","","","","","","P2","2.37","5225762388",""
"DHT22","various","9","7","18343","LU","225.6","6.0820","49.7440","9298","2018-12-08 15:08:59","null","humidity","99.90","5225762466","2457147322"
"","","","","","","","","","","","","temperature","7.30","5225762465",""
"SDS011","Nova Fitness","14","1","13281","LU","225.2","6.1160","49.7560","6709","2018-12-08 15:09:00","null","P1","0.00","5225762693","2457147429"
"","","","","","","","","","","","","P2","0.00","5225762694",""
"DHT22","various","9","7","13282","LU","225.2","6.1160","49.7560","6709","2018-12-08 15:09:00","null","humidity","59.90","5225762741","2457147452"
"","","","","","","","","","","","","temperature","17.20","5225762740",""
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-08 15:09:19","null","P1","13.93","5225765939","2457148971"
"","","","","","","","","","","","","P2","2.67","5225765940",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-08 15:09:20","null","humidity","99.90","5225765994","2457148997"
"","","","","","","","","","","","","temperature","7.40","5225765993",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-08 15:09:22","null","P1","16.93","5225766228","2457149109"
"","","","","","","","","","","","","P2","8.43","5225766229",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-08 15:09:22","null","humidity","99.90","5225766272","2457149130"
"","","","","","","","","","","","","temperature","7.30","5225766271",""
"SDS011","Nova Fitness","14","1","12008","LU","175.8","6.3620","49.5860","6063","2018-12-08 15:09:34","null","P1","6.53","5225768019","2457149969"
"","","","","","","","","","","","","P2","2.33","5225768020",""
"DHT22","various","9","7","12009","LU","175.8","6.3620","49.5860","6063","2018-12-08 15:09:34","null","humidity","99.90","5225768089","2457150002"
"","","","","","","","","","","","","temperature","7.60","5225768088",""
