"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"49.7520","LU","240.9","6.1000","6622","2018-12-22 12:41:56","1","Nova Fitness","SDS011","14","13112","P1","15.47","5420185263","null","2549471426"
"","","","","","","","","","","","P2","6.20","5420185268","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-22 12:41:56","7","various","DHT22","9","13113","humidity","99.90","5420185321","null","2549471458"
"","","","","","","","","","","","temperature","9.70","5420185320","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-22 12:42:01","1","Nova Fitness","SDS011","14","12699","P1","9.00","5420186015","null","2549471791"
"","","","","","","","","","","","P2","1.60","5420186017","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-22 12:42:01","7","various","DHT22","9","12700","humidity","99.90","5420186067","null","2549471816"
"","","","","","","","","","","","temperature","9.50","5420186066","",""
"49.8260","LU","361.3","6.0040","7208","2018-12-22 12:42:05","1","Nova Fitness","SDS011","14","14247","P1","6.70","5420186552","null","2549472045"
"","","","","","","","","","","","P2","2.00","5420186553","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-22 12:42:06","1","Nova Fitness","SDS011","14","13281","P1","0.00","5420186753","null","2549472137"
"","","","","","","","","","","","P2","0.00","5420186754","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-22 12:42:06","7","various","DHT22","9","13282","humidity","59.50","5420186804","null","2549472160"
"","","","","","","","","","","","temperature","17.20","5420186803","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-22 12:42:07","1","Nova Fitness","SDS011","14","12886","P1","14.65","5420186960","null","2549472234"
"","","","","","","","","","","","P2","2.60","5420186961","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-22 12:42:08","7","various","DHT22","9","12887","humidity","99.90","5420187035","null","2549472268"
"","","","","","","","","","","","temperature","9.70","5420187034","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-22 12:42:10","1","Nova Fitness","SDS011","14","13317","P1","10.3","5420187313","null","2549472397"
"","","","","","","","","","","","P2","2.7","5420187312","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-22 12:42:10","11","Bosch","BME280","17","13318","humidity","99.9","5420187388","null","2549472431"
"","","","","","","","","","","","pressure","0","5420187384","",""
"","","","","","","","","","","","temperature","10.0","5420187387","",""
"","","","","","","","","","","","pressure_at_sealevel","0","","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-22 12:42:27","1","Nova Fitness","SDS011","14","7971","P1","2.63","5420189750","null","2549473554"
