"location__country","location__latitude","location__longitude","location__id","location__altitude","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","sampling_rate","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","sensor__pin","id","timestamp"
"LU","49.5700","6.0600","6414","328.9","5434409295","P1","2.27","null","14","Nova Fitness","SDS011","12699","1","2556212274","2018-12-23 13:38:22"
"","","","","","5434409297","P2","0.90","","","","","","","",""
"LU","49.5700","6.0600","6414","328.9","5434409352","humidity","99.90","null","9","various","DHT22","12700","7","2556212300","2018-12-23 13:38:23"
"","","","","","5434409351","temperature","8.30","","","","","","","",""
"LU","49.8260","6.0040","7208","361.3","5434409503","P1","10.07","null","14","Nova Fitness","SDS011","14247","1","2556212373","2018-12-23 13:38:24"
"","","","","","5434409504","P2","7.33","","","","","","","",""
"LU","49.5860","6.3620","6063","175.8","5434411023","P1","7.60","null","14","Nova Fitness","SDS011","12008","1","2556213091","2018-12-23 13:38:34"
"","","","","","5434411024","P2","3.93","","","","","","","",""
"LU","49.5860","6.3620","6063","175.8","5434411090","humidity","99.90","null","9","various","DHT22","12009","7","2556213122","2018-12-23 13:38:35"
"","","","","","5434411088","temperature","8.20","","","","","","","",""
"LU","49.7460","6.0940","6511","229.9","5434412587","P1","2.90","null","14","Nova Fitness","SDS011","12886","1","2556213822","2018-12-23 13:38:44"
"","","","","","5434412588","P2","1.60","","","","","","","",""
"LU","49.7460","6.0940","6511","229.9","5434412632","humidity","99.90","null","9","various","DHT22","12887","7","2556213843","2018-12-23 13:38:44"
"","","","","","5434412631","temperature","7.90","","","","","","","",""
"LU","49.7420","6.1140","6444","225.5","5434413587","P1","7.53","null","14","Nova Fitness","SDS011","12760","1","2556214300","2018-12-23 13:38:51"
"","","","","","5434413589","P2","4.97","","","","","","","",""
"LU","49.7420","6.1140","6444","225.5","5434413653","humidity","99.90","null","9","various","DHT22","12761","7","2556214331","2018-12-23 13:38:51"
"","","","","","5434413652","temperature","8.10","","","","","","","",""
"LU","49.7560","6.1160","6709","225.2","5434416807","P1","0.00","null","14","Nova Fitness","SDS011","13281","1","2556215810","2018-12-23 13:39:11"
"","","","","","5434416808","P2","0.00","","","","","","","",""
"LU","49.7560","6.1160","6709","225.2","5434416870","humidity","60.20","null","9","various","DHT22","13282","7","2556215840","2018-12-23 13:39:12"
"","","","","","5434416869","temperature","17.30","","","","","","","",""
"LU","49.7520","6.0940","6994","231.8","5434418027","P1","1.30","null","14","Nova Fitness","SDS011","13847","1","2556216389","2018-12-23 13:39:20"
"","","","","","5434418028","P2","1.05","","","","","","","",""
"LU","49.7520","6.0940","6994","231.8","5434418086","humidity","99.90","null","9","various","DHT22","13848","7","2556216416","2018-12-23 13:39:20"
"","","","","","5434418085","temperature","9.10","","","","","","","",""
"LU","49.5420","6.1980","6626","265.7","5434418970","P1","35.80","null","14","Nova Fitness","SDS011","13120","1","2556216831","2018-12-23 13:39:26"
"","","","","","5434418971","P2","33.40","","","","","","","",""
"LU","49.5420","6.1980","6626","265.7","5434419111","humidity","99.90","null","9","various","DHT22","13121","7","2556216898","2018-12-23 13:39:27"
"","","","","","5434419110","temperature","9.00","","","","","","","",""
"LU","49.7440","6.0820","9298","225.6","5434421684","P1","2.42","null","14","Nova Fitness","SDS011","18342","1","2556218111","2018-12-23 13:39:46"
"","","","","","5434421685","P2","1.10","","","","","","","",""
"LU","49.7440","6.0820","9298","225.6","5434421729","humidity","99.90","null","9","various","DHT22","18343","7","2556218132","2018-12-23 13:39:46"
"","","","","","5434421728","temperature","8.40","","","","","","","",""
"LU","49.8100","6.4180","6121","165.9","5434422039","humidity","99.90","null","9","various","DHT22","12115","7","2556218280","2018-12-23 13:39:49"
"","","","","","5434422038","temperature","10.40","","","","","","","",""
"LU","49.7580","6.1200","4031","240.6","5434422507","P1","1.33","null","14","Nova Fitness","SDS011","7971","1","2556218500","2018-12-23 13:39:53"
"","","","","","5434422508","P2","1.23","","","","","","","",""
"LU","49.7580","6.1200","4031","240.6","5434422584","humidity","99.90","null","9","various","DHT22","7972","7","2556218536","2018-12-23 13:39:53"
"","","","","","5434422583","temperature","8.10","","","","","","","",""
"LU","49.5920","6.1400","4740","287.7","5434423154","P1","3.00","null","14","Nova Fitness","SDS011","9400","1","2556218808","2018-12-23 13:39:59"
"","","","","","5434423155","P2","2.80","","","","","","","",""
"LU","49.7540","6.1060","6427","244.1","5434425489","P1","10.60","null","14","Nova Fitness","SDS011","12725","1","2556219927","2018-12-23 13:40:25"
"","","","","","5434425490","P2","3.70","","","","","","","",""
"LU","49.7540","6.1060","6427","244.1","5434425536","humidity","95.30","null","9","various","DHT22","12726","7","2556219950","2018-12-23 13:40:26"
"","","","","","5434425535","temperature","10.00","","","","","","","",""
"LU","49.7580","6.1200","6523","241.1","5434425659","P1","1.90","null","14","Nova Fitness","SDS011","12910","1","2556220010","2018-12-23 13:40:27"
"","","","","","5434425660","P2","1.70","","","","","","","",""
"LU","49.7440","6.0960","9620","231.9","5434426103","P1","12.13","null","14","Nova Fitness","SDS011","18971","1","2556220221","2018-12-23 13:40:32"
"","","","","","5434426104","P2","5.13","","","","","","","",""
"LU","49.7440","6.0960","9620","231.9","5434426132","humidity","99.90","null","9","various","DHT22","18972","7","2556220235","2018-12-23 13:40:33"
"","","","","","5434426131","temperature","8.50","","","","","","","",""
"LU","49.7520","6.1000","6622","240.9","5434427190","P1","3.00","null","14","Nova Fitness","SDS011","13112","1","2556220739","2018-12-23 13:40:45"
"","","","","","5434427191","P2","2.03","","","","","","","",""
"LU","49.7520","6.1000","6622","240.9","5434427422","humidity","99.90","null","9","various","DHT22","13113","7","2556220848","2018-12-23 13:40:47"
"","","","","","5434427421","temperature","8.80","","","","","","","",""
"LU","49.8580","6.1140","8468","201.1","5434427954","P1","4.13","null","14","Nova Fitness","SDS011","16703","1","2556221102","2018-12-23 13:40:51"
"","","","","","5434427955","P2","2.70","","","","","","","",""
"LU","49.8260","6.0040","7208","361.3","5434428647","P1","11.87","null","14","Nova Fitness","SDS011","14247","1","2556221436","2018-12-23 13:40:57"
"","","","","","5434428648","P2","7.63","","","","","","","",""
