"sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__pin","sensor__id","location__country","location__altitude","location__longitude","location__latitude","location__id","timestamp","sampling_rate","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","id"
"SDS011","Nova Fitness","14","1","12725","LU","244.1","6.1060","49.7540","6427","2018-12-10 22:03:06","null","P1","4.47","5257271824","2472115837"
"","","","","","","","","","","","","P2","2.10","5257271827",""
"DHT22","various","9","7","12726","LU","244.1","6.1060","49.7540","6427","2018-12-10 22:03:07","null","humidity","86.60","5257271895","2472115868"
"","","","","","","","","","","","","temperature","4.60","5257271894",""
"SDS011","Nova Fitness","14","1","9400","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:03:18","null","P1","4.83","5257273778","2472116758"
"","","","","","","","","","","","","P2","2.93","5257273781",""
"DHT22","various","9","7","9401","LU","287.7","6.1400","49.5920","4740","2018-12-10 22:03:19","null","humidity","93.80","5257273831","2472116784"
"","","","","","","","","","","","","temperature","3.00","5257273830",""
"SDS011","Nova Fitness","14","1","12760","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:03:19","null","P1","8.30","5257273869","2472116803"
"","","","","","","","","","","","","P2","3.90","5257273870",""
"DHT22","various","9","7","12761","LU","225.5","6.1140","49.7420","6444","2018-12-10 22:03:19","null","humidity","99.90","5257273921","2472116828"
"","","","","","","","","","","","","temperature","1.00","5257273920",""
"SDS011","Nova Fitness","14","1","12886","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:03:23","null","P1","3.50","5257274565","2472117134"
"","","","","","","","","","","","","P2","2.20","5257274566",""
"DHT22","various","9","7","12887","LU","229.9","6.0940","49.7460","6511","2018-12-10 22:03:23","null","humidity","99.90","5257274627","2472117163"
"","","","","","","","","","","","","temperature","4.00","5257274626",""
"SDS011","Nova Fitness","14","1","13112","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:03:29","null","P1","8.73","5257275623","2472117631"
"","","","","","","","","","","","","P2","3.03","5257275624",""
"DHT22","various","9","7","13113","LU","240.9","6.1000","49.7520","6622","2018-12-10 22:03:29","null","humidity","99.90","5257275688","2472117659"
"","","","","","","","","","","","","temperature","2.70","5257275687",""
"SDS011","Nova Fitness","14","1","7971","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:03:30","null","P1","27.65","5257275890","2472117755"
"","","","","","","","","","","","","P2","15.43","5257275891",""
"DHT22","various","9","7","7972","LU","240.6","6.1200","49.7580","4031","2018-12-10 22:03:31","null","humidity","99.90","5257275985","2472117802"
"","","","","","","","","","","","","temperature","0.30","5257275984",""
"SDS011","Nova Fitness","14","1","12910","LU","241.1","6.1200","49.7580","6523","2018-12-10 22:03:49","null","P1","19.67","5257278986","2472119221"
"","","","","","","","","","","","","P2","11.53","5257278987",""
"DHT22","various","9","7","12911","LU","241.1","6.1200","49.7580","6523","2018-12-10 22:03:49","null","humidity","99.90","5257279073","2472119263"
"","","","","","","","","","","","","temperature","1.60","5257279070",""
"SDS011","Nova Fitness","14","1","16703","LU","201.1","6.1140","49.8580","8468","2018-12-10 22:03:49","null","P1","9.40","5257279089","2472119272"
"","","","","","","","","","","","","P2","7.67","5257279091",""
"SDS011","Nova Fitness","14","1","18971","LU","231.9","6.0960","49.7440","9620","2018-12-10 22:03:50","null","P1","4.30","5257279382","2472119411"
"","","","","","","","","","","","","P2","2.80","5257279384",""
"DHT22","various","9","7","18972","LU","231.9","6.0960","49.7440","9620","2018-12-10 22:03:51","null","humidity","91.50","5257279455","2472119446"
"","","","","","","","","","","","","temperature","3.00","5257279454",""
"SDS011","Nova Fitness","14","1","12699","LU","328.9","6.0600","49.5700","6414","2018-12-10 22:04:17","null","P1","2.40","5257283520","2472121377"
"","","","","","","","","","","","","P2","1.93","5257283522",""
"DHT22","various","9","7","12700","LU","328.9","6.0600","49.5700","6414","2018-12-10 22:04:18","null","humidity","99.90","5257283597","2472121412"
"","","","","","","","","","","","","temperature","2.50","5257283595",""
"DHT22","various","9","7","14248","LU","361.3","6.0040","49.8260","7208","2018-12-10 22:04:23","null","humidity","99.90","5257284437","2472121812"
"","","","","","","","","","","","","temperature","2.10","5257284436",""
"DHT22","various","9","7","10818","LU","272.2","6.1160","49.6020","5461","2018-12-10 22:04:25","null","humidity","99.90","5257284695","2472121929"
"","","","","","","","","","","","","temperature","4.90","5257284694",""
"SDS011","Nova Fitness","14","1","12114","LU","165.9","6.4180","49.8100","6121","2018-12-10 22:04:32","null","P1","9.97","5257285996","2472122555"
"","","","","","","","","","","","","P2","6.20","5257285999",""
"DHT22","various","9","7","12115","LU","165.9","6.4180","49.8100","6121","2018-12-10 22:04:33","null","humidity","99.90","5257286080","2472122593"
"","","","","","","","","","","","","temperature","3.00","5257286079",""
"SDS011","Nova Fitness","14","1","12008","LU","175.8","6.3620","49.5860","6063","2018-12-10 22:04:49","null","P1","16.27","5257288400","2472123694"
"","","","","","","","","","","","","P2","6.30","5257288401",""
"DHT22","various","9","7","12009","LU","175.8","6.3620","49.5860","6063","2018-12-10 22:04:49","null","humidity","99.90","5257288447","2472123716"
"","","","","","","","","","","","","temperature","-1.30","5257288446",""
"SDS011","Nova Fitness","14","1","18342","LU","225.6","6.0820","49.7440","9298","2018-12-10 22:05:14","null","P1","6.47","5257292310","2472125558"
"","","","","","","","","","","","","P2","2.27","5257292313",""
"DHT22","various","9","7","18343","LU","225.6","6.0820","49.7440","9298","2018-12-10 22:05:14","null","humidity","99.90","5257292392","2472125595"
"","","","","","","","","","","","","temperature","2.90","5257292390",""
"SDS011","Nova Fitness","14","1","13847","LU","231.8","6.0940","49.7520","6994","2018-12-10 22:05:15","null","P1","13.55","5257292413","2472125606"
"","","","","","","","","","","","","P2","6.82","5257292414",""
"DHT22","various","9","7","13848","LU","231.8","6.0940","49.7520","6994","2018-12-10 22:05:15","null","humidity","99.90","5257292473","2472125632"
"","","","","","","","","","","","","temperature","3.80","5257292471",""
