"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"","","","","","","","","","","","temperature","9.40","5376967031","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:36:26","1","Nova Fitness","SDS011","14","18342","P1","4.60","5376967801","null","2528957083"
"","","","","","","","","","","","P2","1.70","5376967803","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:36:26","7","various","DHT22","9","18343","humidity","99.90","5376967869","null","2528957115"
"","","","","","","","","","","","temperature","11.70","5376967868","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-19 11:36:35","1","Nova Fitness","SDS011","14","12008","P1","6.03","5376969556","null","2528957922"
"","","","","","","","","","","","P2","1.77","5376969557","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-19 11:36:35","7","various","DHT22","9","12009","humidity","99.90","5376969615","null","2528957949"
"","","","","","","","","","","","temperature","10.10","5376969613","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-19 11:36:46","1","Nova Fitness","SDS011","14","12699","P1","5.60","5376971357","null","2528958777"
"","","","","","","","","","","","P2","1.40","5376971358","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-19 11:36:47","7","various","DHT22","9","12700","humidity","99.90","5376971417","null","2528958803"
"","","","","","","","","","","","temperature","8.40","5376971416","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-19 11:36:47","1","Nova Fitness","SDS011","14","12886","P1","10.73","5376971572","null","2528958875"
"","","","","","","","","","","","P2","1.80","5376971573","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-19 11:36:48","7","various","DHT22","9","12887","humidity","99.90","5376971637","null","2528958907"
"","","","","","","","","","","","temperature","12.00","5376971636","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-19 11:37:09","1","Nova Fitness","SDS011","14","13317","P1","8.1","5376974779","null","2528960399"
"","","","","","","","","","","","P2","2.2","5376974778","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-19 11:37:10","11","Bosch","BME280","17","13318","humidity","99.9","5376974866","null","2528960441"
"","","","","","","","","","","","pressure","0","5376974864","",""
"","","","","","","","","","","","temperature","8.5","5376974865","",""
"","","","","","","","","","","","pressure_at_sealevel","0","","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-19 11:37:16","1","Nova Fitness","SDS011","14","7971","P1","2.13","5376975967","null","2528960970"
"","","","","","","","","","","","P2","0.93","5376975968","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-19 11:37:17","7","various","DHT22","9","7972","humidity","99.90","5376976013","null","2528960991"
"","","","","","","","","","","","temperature","12.40","5376976012","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-19 11:37:26","1","Nova Fitness","SDS011","14","13281","P1","0.00","5376977400","null","2528961646"
"","","","","","","","","","","","P2","0.00","5376977401","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-19 11:37:26","7","various","DHT22","9","13282","humidity","57.00","5376977454","null","2528961671"
"","","","","","","","","","","","temperature","16.20","5376977453","",""
"49.8260","LU","361.3","6.0040","7208","2018-12-19 11:37:37","1","Nova Fitness","SDS011","14","14247","P1","7.33","5376979525","null","2528962651"
"","","","","","","","","","","","P2","2.87","5376979526","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-19 11:37:42","1","Nova Fitness","SDS011","14","12114","P1","5.80","5376980361","null","2528963049"
"","","","","","","","","","","","P2","2.43","5376980363","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-19 11:37:42","7","various","DHT22","9","12115","humidity","99.90","5376980414","null","2528963073"
"","","","","","","","","","","","temperature","12.70","5376980413","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-19 11:38:00","1","Nova Fitness","SDS011","14","12910","P1","5.20","5376983350","null","2528964464"
"","","","","","","","","","","","P2","1.90","5376983351","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-19 11:38:00","7","various","DHT22","9","12911","humidity","99.90","5376983415","null","2528964495"
"","","","","","","","","","","","temperature","9.60","5376983413","",""
"49.8580","LU","201.1","6.1140","8468","2018-12-19 11:38:04","1","Nova Fitness","SDS011","14","16703","P1","4.73","5376983999","null","2528964772"
"","","","","","","","","","","","P2","1.93","5376984000","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-19 11:38:16","1","Nova Fitness","SDS011","14","12725","P1","7.50","5376985818","null","2528965635"
"","","","","","","","","","","","P2","1.60","5376985819","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-19 11:38:16","7","various","DHT22","9","12726","humidity","89.80","5376985878","null","2528965663"
"","","","","","","","","","","","temperature","10.60","5376985877","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-19 11:38:19","1","Nova Fitness","SDS011","14","12760","P1","4.77","5376986460","null","2528965935"
"","","","","","","","","","","","P2","1.80","5376986461","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-19 11:38:20","7","various","DHT22","9","12761","humidity","99.90","5376986518","null","2528965962"
"","","","","","","","","","","","temperature","9.20","5376986517","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-19 11:38:25","1","Nova Fitness","SDS011","14","13847","P1","2.95","5376987498","null","2528966429"
"","","","","","","","","","","","P2","1.08","5376987499","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-19 11:38:26","7","various","DHT22","9","13848","humidity","99.90","5376987553","null","2528966455"
"","","","","","","","","","","","temperature","11.70","5376987552","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-19 11:38:27","1","Nova Fitness","SDS011","14","13112","P1","6.50","5376987722","null","2528966534"
"","","","","","","","","","","","P2","1.73","5376987724","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-19 11:38:27","7","various","DHT22","9","13113","humidity","99.90","5376987824","null","2528966584"
"","","","","","","","","","","","temperature","9.50","5376987822","",""
"49.5920","LU","287.7","6.1400","4740","2018-12-19 11:38:38","1","Nova Fitness","SDS011","14","9400","P1","3.33","5376989562","null","2528967411"
"","","","","","","","","","","","P2","1.90","5376989564","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-19 11:38:47","1","Nova Fitness","SDS011","14","18971","P1","5.40","5376991209","null","2528968204"
"","","","","","","","","","","","P2","2.03","5376991210","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-19 11:38:47","7","various","DHT22","9","18972","humidity","93.60","5376991266","null","2528968231"
"","","","","","","","","","","","temperature","9.40","5376991265","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:38:53","1","Nova Fitness","SDS011","14","18342","P1","6.17","5376992074","null","2528968615"
"","","","","","","","","","","","P2","1.43","5376992075","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-19 11:38:53","7","various","DHT22","9","18343","humidity","99.90","5376992138","null","2528968646"
"","","","","","","","","","","","temperature","10.60","5376992137","",""
