"location__id","location__country","location__latitude","location__altitude","location__longitude","id","sensor__id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sampling_rate"
"6121","LU","49.8100","165.9","6.4180","2451835401","12114","SDS011","14","Nova Fitness","1","2018-12-07 19:12:58","P1","5214570138","10.93","null"
"","","","","","","","","","","","","P2","5214570139","2.30",""
"6121","LU","49.8100","165.9","6.4180","2451835419","12115","DHT22","9","various","7","2018-12-07 19:12:58","humidity","5214570178","99.90","null"
"","","","","","","","","","","","","temperature","5214570176","8.30",""
"6511","LU","49.7460","229.9","6.0940","2451836162","12886","SDS011","14","Nova Fitness","1","2018-12-07 19:13:08","P1","5214571745","5.47","null"
"","","","","","","","","","","","","P2","5214571746","1.20",""
"6511","LU","49.7460","229.9","6.0940","2451836186","12887","DHT22","9","various","7","2018-12-07 19:13:09","humidity","5214571797","99.90","null"
"","","","","","","","","","","","","temperature","5214571796","6.80",""
"6728","LU","49.7560","303.6","6.1280","2451836223","13317","SDS011","14","Nova Fitness","1","2018-12-07 19:13:09","P1","5214571877","9.6","null"
"","","","","","","","","","","","","P2","5214571875","1.9",""
"6728","LU","49.7560","303.6","6.1280","2451836272","13318","BME280","17","Bosch","11","2018-12-07 19:13:10","humidity","5214571979","99.9","null"
"","","","","","","","","","","","","pressure","5214571977","0",""
"","","","","","","","","","","","","temperature","5214571978","7.0",""
"","","","","","","","","","","","","pressure_at_sealevel","","0",""
"6622","LU","49.7520","240.9","6.1000","2451837714","13112","SDS011","14","Nova Fitness","1","2018-12-07 19:13:27","P1","5214575011","7.35","null"
"","","","","","","","","","","","","P2","5214575012","2.80",""
"6622","LU","49.7520","240.9","6.1000","2451837737","13113","DHT22","9","various","7","2018-12-07 19:13:28","humidity","5214575059","99.90","null"
"","","","","","","","","","","","","temperature","5214575058","7.70",""
"6709","LU","49.7560","225.2","6.1160","2451839197","13281","SDS011","14","Nova Fitness","1","2018-12-07 19:13:47","P1","5214578140","0.00","null"
"","","","","","","","","","","","","P2","5214578141","0.00",""
"6709","LU","49.7560","225.2","6.1160","2451839219","13282","DHT22","9","various","7","2018-12-07 19:13:47","humidity","5214578186","58.80","null"
"","","","","","","","","","","","","temperature","5214578185","17.50",""
"6994","LU","49.7520","231.8","6.0940","2451840388","13847","SDS011","14","Nova Fitness","1","2018-12-07 19:14:04","P1","5214580664","4.57","null"
"","","","","","","","","","","","","P2","5214580665","1.42",""
"6994","LU","49.7520","231.8","6.0940","2451840424","13848","DHT22","9","various","7","2018-12-07 19:14:04","humidity","5214580740","99.90","null"
"","","","","","","","","","","","","temperature","5214580738","8.30",""
"9298","LU","49.7440","225.6","6.0820","2451841238","18342","SDS011","14","Nova Fitness","1","2018-12-07 19:14:15","P1","5214582447","7.80","null"
"","","","","","","","","","","","","P2","5214582448","1.47",""
"9298","LU","49.7440","225.6","6.0820","2451841277","18343","DHT22","9","various","7","2018-12-07 19:14:15","humidity","5214582531","99.90","null"
"","","","","","","","","","","","","temperature","5214582530","7.00",""
"4031","LU","49.7580","240.6","6.1200","2451841935","7971","SDS011","14","Nova Fitness","1","2018-12-07 19:14:24","P1","5214583910","6.63","null"
"","","","","","","","","","","","","P2","5214583911","1.13",""
"4031","LU","49.7580","240.6","6.1200","2451841968","7972","DHT22","9","various","7","2018-12-07 19:14:24","humidity","5214583980","99.90","null"
"","","","","","","","","","","","","temperature","5214583979","7.00",""
"9620","LU","49.7440","231.9","6.0960","2451842085","18971","SDS011","14","Nova Fitness","1","2018-12-07 19:14:26","P1","5214584221","4.67","null"
"","","","","","","","","","","","","P2","5214584222","1.37",""
"9620","LU","49.7440","231.9","6.0960","2451842102","18972","DHT22","9","various","7","2018-12-07 19:14:26","humidity","5214584259","92.20","null"
"","","","","","","","","","","","","temperature","5214584258","7.70",""
"5461","LU","49.6020","272.2","6.1160","2451842616","10818","DHT22","9","various","7","2018-12-07 19:14:33","humidity","5214585340","99.90","null"
"","","","","","","","","","","","","temperature","5214585339","8.40",""
"6523","LU","49.7580","241.1","6.1200","2451844050","12910","SDS011","14","Nova Fitness","1","2018-12-07 19:14:52","P1","5214588355","7.33","null"
"","","","","","","","","","","","","P2","5214588356","1.20",""
"6523","LU","49.7580","241.1","6.1200","2451844081","12911","DHT22","9","various","7","2018-12-07 19:14:52","humidity","5214588419","99.90","null"
"","","","","","","","","","","","","temperature","5214588417","7.70",""
"6427","LU","49.7540","244.1","6.1060","2451844112","12725","SDS011","14","Nova Fitness","1","2018-12-07 19:14:53","P1","5214588482","6.80","null"
"","","","","","","","","","","","","P2","5214588483","1.27",""
"6427","LU","49.7540","244.1","6.1060","2451844147","12726","DHT22","9","various","7","2018-12-07 19:14:53","humidity","5214588558","91.10","null"
"","","","","","","","","","","","","temperature","5214588557","8.90",""
"6444","LU","49.7420","225.5","6.1140","2451844542","12760","SDS011","14","Nova Fitness","1","2018-12-07 19:14:58","P1","5214589387","7.67","null"
"","","","","","","","","","","","","P2","5214589388","1.77",""
"6444","LU","49.7420","225.5","6.1140","2451844586","12761","DHT22","9","various","7","2018-12-07 19:14:59","humidity","5214589480","99.90","null"
"","","","","","","","","","","","","temperature","5214589479","7.40",""
"4740","LU","49.5920","287.7","6.1400","2451844911","9400","SDS011","14","Nova Fitness","1","2018-12-07 19:15:04","P1","5214590173","6.53","null"
"","","","","","","","","","","","","P2","5214590174","2.20",""
"4740","LU","49.5920","287.7","6.1400","2451844950","9401","DHT22","9","various","7","2018-12-07 19:15:04","humidity","5214590254","99.90","null"
"","","","","","","","","","","","","temperature","5214590253","6.80",""
