"location__id","location__country","location__latitude","location__altitude","location__longitude","id","sensor__id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sampling_rate"
"4031","LU","49.7580","240.6","6.1200","2443703854","7971","SDS011","14","Nova Fitness","1","2018-12-06 13:12:00","P1","5197441290","6.70","null"
"","","","","","","","","","","","","P2","5197441291","4.70",""
"4031","LU","49.7580","240.6","6.1200","2443703887","7972","DHT22","9","various","7","2018-12-06 13:12:01","humidity","5197441361","99.90","null"
"","","","","","","","","","","","","temperature","5197441360","12.30",""
"6511","LU","49.7460","229.9","6.0940","2443705090","12886","SDS011","14","Nova Fitness","1","2018-12-06 13:12:10","P1","5197443889","7.57","null"
"","","","","","","","","","","","","P2","5197443890","5.25",""
"6511","LU","49.7460","229.9","6.0940","2443705127","12887","DHT22","9","various","7","2018-12-06 13:12:10","humidity","5197443971","99.90","null"
"","","","","","","","","","","","","temperature","5197443964","11.90",""
"4740","LU","49.5920","287.7","6.1400","2443705745","9400","SDS011","14","Nova Fitness","1","2018-12-06 13:12:18","P1","5197445265","9.87","null"
"","","","","","","","","","","","","P2","5197445268","7.97",""
"4740","LU","49.5920","287.7","6.1400","2443705789","9401","DHT22","9","various","7","2018-12-06 13:12:18","humidity","5197445360","99.90","null"
"","","","","","","","","","","","","temperature","5197445359","11.80",""
"6427","LU","49.7540","244.1","6.1060","2443706530","12725","SDS011","14","Nova Fitness","1","2018-12-06 13:12:28","P1","5197446908","8.23","null"
"","","","","","","","","","","","","P2","5197446909","5.43",""
"6427","LU","49.7540","244.1","6.1060","2443706560","12726","DHT22","9","various","7","2018-12-06 13:12:28","humidity","5197446969","90.80","null"
"","","","","","","","","","","","","temperature","5197446968","13.70",""
"6523","LU","49.7580","241.1","6.1200","2443707443","12910","SDS011","14","Nova Fitness","1","2018-12-06 13:12:41","P1","5197448833","8.57","null"
"","","","","","","","","","","","","P2","5197448835","6.10",""
"6523","LU","49.7580","241.1","6.1200","2443707467","12911","DHT22","9","various","7","2018-12-06 13:12:41","humidity","5197448883","99.90","null"
"","","","","","","","","","","","","temperature","5197448879","11.70",""
"7208","LU","49.8260","361.3","6.0040","2443707606","14247","SDS011","14","Nova Fitness","1","2018-12-06 13:12:43","P1","5197449182","13.13","null"
"","","","","","","","","","","","","P2","5197449183","10.23",""
"7208","LU","49.8260","361.3","6.0040","2443707633","14248","DHT22","9","various","7","2018-12-06 13:12:44","humidity","5197449241","99.90","null"
"","","","","","","","","","","","","temperature","5197449240","10.80",""
"6709","LU","49.7560","225.2","6.1160","2443707763","13281","SDS011","14","Nova Fitness","1","2018-12-06 13:12:46","P1","5197449514","0.00","null"
"","","","","","","","","","","","","P2","5197449517","0.00",""
"6709","LU","49.7560","225.2","6.1160","2443707788","13282","DHT22","9","various","7","2018-12-06 13:12:46","humidity","5197449569","64.40","null"
"","","","","","","","","","","","","temperature","5197449568","16.40",""
"8468","LU","49.8580","201.1","6.1140","2443708904","16703","SDS011","14","Nova Fitness","1","2018-12-06 13:13:01","P1","5197451952","2.50","null"
"","","","","","","","","","","","","P2","5197451954","1.75",""
"6728","LU","49.7560","303.6","6.1280","2443709467","13317","SDS011","14","Nova Fitness","1","2018-12-06 13:13:10","P1","5197453156","10.6","null"
"","","","","","","","","","","","","P2","5197453155","6.2",""
"6728","LU","49.7560","303.6","6.1280","2443709497","13318","BME280","17","Bosch","11","2018-12-06 13:13:10","humidity","5197453226","99.9","null"
"","","","","","","","","","","","","pressure","5197453224","0",""
"","","","","","","","","","","","","temperature","5197453225","12.3",""
"","","","","","","","","","","","","pressure_at_sealevel","","0",""
"5461","LU","49.6020","272.2","6.1160","2443709925","10818","DHT22","9","various","7","2018-12-06 13:13:17","humidity","5197454120","99.90","null"
"","","","","","","","","","","","","temperature","5197454119","12.90",""
"6063","LU","49.5860","175.8","6.3620","2443710401","12008","SDS011","14","Nova Fitness","1","2018-12-06 13:13:24","P1","5197455118","7.67","null"
"","","","","","","","","","","","","P2","5197455119","5.93",""
"6063","LU","49.5860","175.8","6.3620","2443710432","12009","DHT22","9","various","7","2018-12-06 13:13:24","humidity","5197455185","99.90","null"
"","","","","","","","","","","","","temperature","5197455183","11.80",""
"6994","LU","49.7520","231.8","6.0940","2443710785","13847","SDS011","14","Nova Fitness","1","2018-12-06 13:13:29","P1","5197455927","5.62","null"
"","","","","","","","","","","","","P2","5197455928","3.60",""
"6994","LU","49.7520","231.8","6.0940","2443710810","13848","DHT22","9","various","7","2018-12-06 13:13:29","humidity","5197455980","99.90","null"
"","","","","","","","","","","","","temperature","5197455979","13.50",""
"6622","LU","49.7520","240.9","6.1000","2443711808","13112","SDS011","14","Nova Fitness","1","2018-12-06 13:13:42","P1","5197458059","6.20","null"
"","","","","","","","","","","","","P2","5197458060","4.00",""
"6622","LU","49.7520","240.9","6.1000","2443711838","13113","DHT22","9","various","7","2018-12-06 13:13:42","humidity","5197458128","99.90","null"
"","","","","","","","","","","","","temperature","5197458126","12.10",""
"9620","LU","49.7440","231.9","6.0960","2443712197","18971","SDS011","14","Nova Fitness","1","2018-12-06 13:13:46","P1","5197458875","9.03","null"
"","","","","","","","","","","","","P2","5197458876","5.50",""
"9620","LU","49.7440","231.9","6.0960","2443712225","18972","DHT22","9","various","7","2018-12-06 13:13:47","humidity","5197458935","93.10","null"
"","","","","","","","","","","","","temperature","5197458934","12.10",""
"6444","LU","49.7420","225.5","6.1140","2443712390","12760","SDS011","14","Nova Fitness","1","2018-12-06 13:13:49","P1","5197459278","10.88","null"
"","","","","","","","","","","","","P2","5197459279","7.20",""
"6444","LU","49.7420","225.5","6.1140","2443712419","12761","DHT22","9","various","7","2018-12-06 13:13:49","humidity","5197459341","99.90","null"
"","","","","","","","","","","","","temperature","5197459340","12.00",""
"6414","LU","49.5700","328.9","6.0600","2443712978","12699","SDS011","14","Nova Fitness","1","2018-12-06 13:13:57","P1","5197460524","12.37","null"
"","","","","","","","","","","","","P2","5197460526","6.10",""
"6414","LU","49.5700","328.9","6.0600","2443713009","12700","DHT22","9","various","7","2018-12-06 13:13:58","humidity","5197460590","99.90","null"
"","","","","","","","","","","","","temperature","5197460589","11.10",""
"6121","LU","49.8100","165.9","6.4180","2443714176","12114","SDS011","14","Nova Fitness","1","2018-12-06 13:14:10","P1","5197463037","8.97","null"
"","","","","","","","","","","","","P2","5197463038","5.00",""
"6121","LU","49.8100","165.9","6.4180","2443714205","12115","DHT22","9","various","7","2018-12-06 13:14:10","humidity","5197463098","99.90","null"
"","","","","","","","","","","","","temperature","5197463097","14.90",""
"9298","LU","49.7440","225.6","6.0820","2443714590","18342","SDS011","14","Nova Fitness","1","2018-12-06 13:14:17","P1","5197463917","9.77","null"
"","","","","","","","","","","","","P2","5197463918","4.40",""
"9298","LU","49.7440","225.6","6.0820","2443714607","18343","DHT22","9","various","7","2018-12-06 13:14:17","humidity","5197463953","99.90","null"
"","","","","","","","","","","","","temperature","5197463952","12.60",""
"4031","LU","49.7580","240.6","6.1200","2443715035","7971","SDS011","14","Nova Fitness","1","2018-12-06 13:14:27","P1","5197464856","6.67","null"
"","","","","","","","","","","","","P2","5197464858","4.63",""
"4031","LU","49.7580","240.6","6.1200","2443715072","7972","DHT22","9","various","7","2018-12-06 13:14:27","humidity","5197464936","99.90","null"
"","","","","","","","","","","","","temperature","5197464933","12.20",""
"6511","LU","49.7460","229.9","6.0940","2443716237","12886","SDS011","14","Nova Fitness","1","2018-12-06 13:14:37","P1","5197467362","8.10","null"
"","","","","","","","","","","","","P2","5197467363","5.30",""
"6511","LU","49.7460","229.9","6.0940","2443716273","12887","DHT22","9","various","7","2018-12-06 13:14:38","humidity","5197467438","99.90","null"
"","","","","","","","","","","","","temperature","5197467437","11.80",""
"4740","LU","49.5920","287.7","6.1400","2443716816","9400","SDS011","14","Nova Fitness","1","2018-12-06 13:14:44","P1","5197468573","9.83","null"
"","","","","","","","","","","","","P2","5197468574","7.00",""
"4740","LU","49.5920","287.7","6.1400","2443716861","9401","DHT22","9","various","7","2018-12-06 13:14:45","humidity","5197468666","99.90","null"
"","","","","","","","","","","","","temperature","5197468664","11.80",""
"6427","LU","49.7540","244.1","6.1060","2443717682","12725","SDS011","14","Nova Fitness","1","2018-12-06 13:14:55","P1","5197470400","7.40","null"
"","","","","","","","","","","","","P2","5197470402","5.10",""
"6427","LU","49.7540","244.1","6.1060","2443717710","12726","DHT22","9","various","7","2018-12-06 13:14:56","humidity","5197470458","90.70","null"
"","","","","","","","","","","","","temperature","5197470457","13.70",""
"6523","LU","49.7580","241.1","6.1200","2443718573","12910","SDS011","14","Nova Fitness","1","2018-12-06 13:15:08","P1","5197472305","6.87","null"
"","","","","","","","","","","","","P2","5197472306","5.50",""
"6523","LU","49.7580","241.1","6.1200","2443718600","12911","DHT22","9","various","7","2018-12-06 13:15:08","humidity","5197472364","99.90","null"
"","","","","","","","","","","","","temperature","5197472363","11.70",""
"7208","LU","49.8260","361.3","6.0040","2443718685","14247","SDS011","14","Nova Fitness","1","2018-12-06 13:15:10","P1","5197472538","10.70","null"
"","","","","","","","","","","","","P2","5197472539","9.67",""
"7208","LU","49.8260","361.3","6.0040","2443718713","14248","DHT22","9","various","7","2018-12-06 13:15:10","humidity","5197472599","99.90","null"
"","","","","","","","","","","","","temperature","5197472598","10.90",""
"6709","LU","49.7560","225.2","6.1160","2443718855","13281","SDS011","14","Nova Fitness","1","2018-12-06 13:15:12","P1","5197472903","0.00","null"
"","","","","","","","","","","","","P2","5197472904","0.00",""
"6709","LU","49.7560","225.2","6.1160","2443718879","13282","DHT22","9","various","7","2018-12-06 13:15:13","humidity","5197472954","64.40","null"
"","","","","","","","","","","","","temperature","5197472952","16.40",""
"8468","LU","49.8580","201.1","6.1140","2443720062","16703","SDS011","14","Nova Fitness","1","2018-12-06 13:15:29","P1","5197475464","2.55","null"
"","","","","","","","","","","","","P2","5197475465","1.27",""
"5461","LU","49.6020","272.2","6.1160","2443720953","10818","DHT22","9","various","7","2018-12-06 13:15:43","humidity","5197477330","99.90","null"
"","","","","","","","","","","","","temperature","5197477329","12.90",""
"6063","LU","49.5860","175.8","6.3620","2443721420","12008","SDS011","14","Nova Fitness","1","2018-12-06 13:15:50","P1","5197478326","9.43","null"
"","","","","","","","","","","","","P2","5197478327","6.47",""
"6063","LU","49.5860","175.8","6.3620","2443721447","12009","DHT22","9","various","7","2018-12-06 13:15:51","humidity","5197478389","99.90","null"
"","","","","","","","","","","","","temperature","5197478388","11.80",""
"6994","LU","49.7520","231.8","6.0940","2443721895","13847","SDS011","14","Nova Fitness","1","2018-12-06 13:15:56","P1","5197479336","7.62","null"
"","","","","","","","","","","","","P2","5197479339","4.85",""
"6994","LU","49.7520","231.8","6.0940","2443721932","13848","DHT22","9","various","7","2018-12-06 13:15:56","humidity","5197479416","99.90","null"
"","","","","","","","","","","","","temperature","5197479414","13.50",""
"6622","LU","49.7520","240.9","6.1000","2443722898","13112","SDS011","14","Nova Fitness","1","2018-12-06 13:16:08","P1","5197481455","8.37","null"
"","","","","","","","","","","","","P2","5197481456","3.80",""
"6622","LU","49.7520","240.9","6.1000","2443722925","13113","DHT22","9","various","7","2018-12-06 13:16:09","humidity","5197481512","99.90","null"
"","","","","","","","","","","","","temperature","5197481511","12.00",""
"9620","LU","49.7440","231.9","6.0960","2443723262","18971","SDS011","14","Nova Fitness","1","2018-12-06 13:16:13","P1","5197482210","13.23","null"
"","","","","","","","","","","","","P2","5197482211","5.80",""
"9620","LU","49.7440","231.9","6.0960","2443723285","18972","DHT22","9","various","7","2018-12-06 13:16:13","humidity","5197482267","92.80","null"
"","","","","","","","","","","","","temperature","5197482265","12.10",""
"6444","LU","49.7420","225.5","6.1140","2443723427","12760","SDS011","14","Nova Fitness","1","2018-12-06 13:16:15","P1","5197482567","8.07","null"
"","","","","","","","","","","","","P2","5197482568","5.80",""
"6444","LU","49.7420","225.5","6.1140","2443723462","12761","DHT22","9","various","7","2018-12-06 13:16:16","humidity","5197482641","99.90","null"
"","","","","","","","","","","","","temperature","5197482640","12.00",""
"6121","LU","49.8100","165.9","6.4180","2443725258","12114","SDS011","14","Nova Fitness","1","2018-12-06 13:16:37","P1","5197486381","7.53","null"
"","","","","","","","","","","","","P2","5197486382","5.17",""
"6121","LU","49.8100","165.9","6.4180","2443725279","12115","DHT22","9","various","7","2018-12-06 13:16:37","humidity","5197486425","99.90","null"
"","","","","","","","","","","","","temperature","5197486424","15.00",""
"6414","LU","49.5700","328.9","6.0600","2443725691","12700","DHT22","9","various","7","2018-12-06 13:16:43","humidity","5197487287","99.90","null"
"","","","","","","","","","","","","temperature","5197487286","11.10",""
"9298","LU","49.7440","225.6","6.0820","2443725700","18342","SDS011","14","Nova Fitness","1","2018-12-06 13:16:43","P1","5197487304","6.50","null"
"","","","","","","","","","","","","P2","5197487305","4.17",""
"9298","LU","49.7440","225.6","6.0820","2443725717","18343","DHT22","9","various","7","2018-12-06 13:16:44","humidity","5197487340","99.90","null"
"","","","","","","","","","","","","temperature","5197487339","12.60",""
"6414","LU","49.5700","328.9","6.0600","2443725823","12699","SDS011","14","Nova Fitness","1","2018-12-06 13:16:46","P1","5197487566","11.07","null"
"","","","","","","","","","","","","P2","5197487568","5.10",""
"4031","LU","49.7580","240.6","6.1200","2443726119","7971","SDS011","14","Nova Fitness","1","2018-12-06 13:16:53","P1","5197488202","6.27","null"
"","","","","","","","","","","","","P2","5197488203","5.00",""
"4031","LU","49.7580","240.6","6.1200","2443726156","7972","DHT22","9","various","7","2018-12-06 13:16:54","humidity","5197488281","99.90","null"
"","","","","","","","","","","","","temperature","5197488280","12.20",""
