"timestamp","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","sensor__pin","id","location__country","location__altitude","location__longitude","location__id","location__latitude","sampling_rate","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value"
"2018-12-15 17:49:04","Nova Fitness","14","SDS011","12760","1","2503953979","LU","225.5","6.1140","6444","49.7420","null","5324313417","P1","32.30"
"","","","","","","","","","","","","","5324313419","P2","21.20"
"2018-12-15 17:49:04","various","9","DHT22","12761","7","2503954020","LU","225.5","6.1140","6444","49.7420","null","5324313506","humidity","99.90"
"","","","","","","","","","","","","","5324313505","temperature","-1.40"
"2018-12-15 17:49:13","Nova Fitness","14","SDS011","13112","1","2503954566","LU","240.9","6.1000","6622","49.7520","null","5324314669","P1","17.50"
"","","","","","","","","","","","","","5324314670","P2","10.43"
"2018-12-15 17:49:16","various","9","DHT22","13113","7","2503954700","LU","240.9","6.1000","6622","49.7520","null","5324314947","humidity","99.90"
"","","","","","","","","","","","","","5324314946","temperature","-0.40"
"2018-12-15 17:49:25","Nova Fitness","14","SDS011","18971","1","2503955167","LU","231.9","6.0960","9620","49.7440","null","5324315945","P1","21.40"
"","","","","","","","","","","","","","5324315946","P2","14.03"
"2018-12-15 17:49:26","various","9","DHT22","18972","7","2503955201","LU","231.9","6.0960","9620","49.7440","null","5324316016","humidity","77.50"
"","","","","","","","","","","","","","5324316014","temperature","-1.10"
"2018-12-15 17:49:26","Nova Fitness","14","SDS011","12886","1","2503955221","LU","229.9","6.0940","6511","49.7460","null","5324316059","P1","27.40"
"","","","","","","","","","","","","","5324316060","P2","14.30"
"2018-12-15 17:49:26","various","9","DHT22","12887","7","2503955262","LU","229.9","6.0940","6511","49.7460","null","5324316144","humidity","99.90"
"","","","","","","","","","","","","","5324316143","temperature","-1.60"
"2018-12-15 17:49:27","Nova Fitness","14","SDS011","9400","1","2503955434","LU","287.7","6.1400","4740","49.5920","null","5324316504","P1","21.20"
"","","","","","","","","","","","","","5324316505","P2","13.90"
"2018-12-15 17:49:53","Nova Fitness","14","SDS011","12910","1","2503957447","LU","241.1","6.1200","6523","49.7580","null","5324320741","P1","21.47"
"","","","","","","","","","","","","","5324320743","P2","12.77"
"2018-12-15 17:49:54","various","9","DHT22","12911","7","2503957474","LU","241.1","6.1200","6523","49.7580","null","5324320797","humidity","99.90"
"","","","","","","","","","","","","","5324320796","temperature","-1.50"
"2018-12-15 17:50:06","Nova Fitness","14","SDS011","7971","1","2503958513","LU","240.6","6.1200","4031","49.7580","null","5324322989","P1","20.90"
"","","","","","","","","","","","","","5324322996","P2","12.20"
"2018-12-15 17:50:06","various","9","DHT22","7972","7","2503958573","LU","240.6","6.1200","4031","49.7580","null","5324323111","humidity","99.90"
"","","","","","","","","","","","","","5324323107","temperature","-1.90"
"2018-12-15 17:50:10","Nova Fitness","14","SDS011","12008","1","2503959139","LU","175.8","6.3620","6063","49.5860","null","5324324292","P1","31.62"
"","","","","","","","","","","","","","5324324294","P2","17.05"
"2018-12-15 17:50:11","various","9","DHT22","12009","7","2503959185","LU","175.8","6.3620","6063","49.5860","null","5324324392","humidity","99.90"
"","","","","","","","","","","","","","5324324391","temperature","-1.90"
"2018-12-15 17:50:19","Nova Fitness","14","SDS011","13281","1","2503959849","LU","225.2","6.1160","6709","49.7560","null","5324325790","P1","0.00"
"","","","","","","","","","","","","","5324325791","P2","0.00"
"2018-12-15 17:50:19","various","9","DHT22","13282","7","2503959890","LU","225.2","6.1160","6709","49.7560","null","5324325876","humidity","55.70"
"","","","","","","","","","","","","","5324325874","temperature","15.10"
"2018-12-15 17:50:21","Nova Fitness","14","SDS011","12114","1","2503960026","LU","165.9","6.4180","6121","49.8100","null","5324326160","P1","29.87"
"","","","","","","","","","","","","","5324326162","P2","22.20"
"2018-12-15 17:50:22","various","9","DHT22","12115","7","2503960060","LU","165.9","6.4180","6121","49.8100","null","5324326233","humidity","99.90"
"","","","","","","","","","","","","","5324326231","temperature","0.20"
"2018-12-15 17:50:22","various","9","DHT22","12700","7","2503960066","LU","328.9","6.0600","6414","49.5700","null","5324326244","humidity","99.90"
"","","","","","","","","","","","","","5324326243","temperature","-2.00"
"2018-12-15 17:50:45","Nova Fitness","14","SDS011","12725","1","2503962094","LU","244.1","6.1060","6427","49.7540","null","5324330503","P1","23.27"
"","","","","","","","","","","","","","5324330504","P2","12.50"
