"location__id","location__country","location__latitude","location__altitude","location__longitude","id","sensor__id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","timestamp","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sampling_rate"
"6994","LU","49.7520","231.8","6.0940","2438077807","13847","SDS011","14","Nova Fitness","1","2018-12-05 16:15:59","P1","5185589960","27.52","null"
"","","","","","","","","","","","","P2","5185589961","14.63",""
"6994","LU","49.7520","231.8","6.0940","2438077839","13848","DHT22","9","various","7","2018-12-05 16:15:59","humidity","5185590029","99.90","null"
"","","","","","","","","","","","","temperature","5185590028","8.40",""
"6622","LU","49.7520","240.9","6.1000","2438079530","13112","SDS011","14","Nova Fitness","1","2018-12-05 16:16:23","P1","5185593610","19.73","null"
"","","","","","","","","","","","","P2","5185593611","10.33",""
"6622","LU","49.7520","240.9","6.1000","2438079559","13113","DHT22","9","various","7","2018-12-05 16:16:23","humidity","5185593672","99.90","null"
"","","","","","","","","","","","","temperature","5185593671","7.70",""
"6063","LU","49.5860","175.8","6.3620","2438079941","12008","SDS011","14","Nova Fitness","1","2018-12-05 16:16:28","P1","5185594494","24.67","null"
"","","","","","","","","","","","","P2","5185594495","14.40",""
"6063","LU","49.5860","175.8","6.3620","2438079981","12009","DHT22","9","various","7","2018-12-05 16:16:28","humidity","5185594581","99.90","null"
"","","","","","","","","","","","","temperature","5185594580","7.00",""
"5461","LU","49.6020","272.2","6.1160","2438080769","10818","DHT22","9","various","7","2018-12-05 16:16:39","humidity","5185596251","99.90","null"
"","","","","","","","","","","","","temperature","5185596250","7.50",""
"4740","LU","49.5920","287.7","6.1400","2438082591","9400","SDS011","14","Nova Fitness","1","2018-12-05 16:17:04","P1","5185600087","20.40","null"
"","","","","","","","","","","","","P2","5185600088","13.70",""
"4740","LU","49.5920","287.7","6.1400","2438082646","9401","DHT22","9","various","7","2018-12-05 16:17:04","humidity","5185600199","99.90","null"
"","","","","","","","","","","","","temperature","5185600198","7.50",""
"9298","LU","49.7440","225.6","6.0820","2438082820","18342","SDS011","14","Nova Fitness","1","2018-12-05 16:17:06","P1","5185600563","27.20","null"
"","","","","","","","","","","","","P2","5185600564","13.70",""
"9298","LU","49.7440","225.6","6.0820","2438082846","18343","DHT22","9","various","7","2018-12-05 16:17:07","humidity","5185600619","99.90","null"
"","","","","","","","","","","","","temperature","5185600618","8.20",""
"6728","LU","49.7560","303.6","6.1280","2438083033","13317","SDS011","14","Nova Fitness","1","2018-12-05 16:17:09","P1","5185601027","48.1","null"
