"id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","timestamp","sampling_rate","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country"
"2364253725","5030284192","99.90","humidity","2018-11-24 12:48:29","null","7","various","9","DHT22","10818","49.6020","5461","272.2","6.1160","LU"
"","5030284191","9.10","temperature","","","","","","","","","","","",""
"2364254176","5030285137","2.83","P1","2018-11-24 12:48:35","null","1","Nova Fitness","14","SDS011","12699","49.5700","6414","328.9","6.0600","LU"
"","5030285138","1.70","P2","","","","","","","","","","","",""
"2364254205","5030285200","99.90","humidity","2018-11-24 12:48:35","null","7","various","9","DHT22","12700","49.5700","6414","328.9","6.0600","LU"
"","5030285197","7.30","temperature","","","","","","","","","","","",""
"2364254440","5030285692","10.07","P1","2018-11-24 12:48:39","null","1","Nova Fitness","14","SDS011","16703","49.8580","8468","201.1","6.1140","LU"
"","5030285693","9.37","P2","","","","","","","","","","","",""
"2364255029","5030286910","2.10","P1","2018-11-24 12:48:49","null","1","Nova Fitness","14","SDS011","12725","49.7540","6427","244.1","6.1060","LU"
"","5030286911","1.73","P2","","","","","","","","","","","",""
"2364255053","5030286961","90.90","humidity","2018-11-24 12:48:49","null","7","various","9","DHT22","12726","49.7540","6427","244.1","6.1060","LU"
"","5030286960","9.60","temperature","","","","","","","","","","","",""
"2364255405","5030287692","4.47","P1","2018-11-24 12:48:56","null","1","Nova Fitness","14","SDS011","7971","49.7580","4031","240.6","6.1200","LU"
"","5030287693","1.60","P2","","","","","","","","","","","",""
"2364255468","5030287821","99.90","humidity","2018-11-24 12:48:56","null","7","various","9","DHT22","7972","49.7580","4031","240.6","6.1200","LU"
"","5030287819","7.90","temperature","","","","","","","","","","","",""
"2364256370","5030289717","31.73","P1","2018-11-24 12:49:09","null","1","Nova Fitness","14","SDS011","13120","49.5420","6626","265.7","6.1980","LU"
"","5030289719","29.73","P2","","","","","","","","","","","",""
"2364256415","5030289813","99.90","humidity","2018-11-24 12:49:10","null","7","various","9","DHT22","13121","49.5420","6626","265.7","6.1980","LU"
"","5030289812","7.80","temperature","","","","","","","","","","","",""
"2364256838","5030290717","1.80","P1","2018-11-24 12:49:16","null","1","Nova Fitness","14","SDS011","9400","49.5920","4740","287.7","6.1400","LU"
"","5030290718","1.70","P2","","","","","","","","","","","",""
"2364256878","5030290800","99.90","humidity","2018-11-24 12:49:17","null","7","various","9","DHT22","9401","49.5920","4740","287.7","6.1400","LU"
"","5030290799","6.80","temperature","","","","","","","","","","","",""
"2364257838","5030292844","99.90","humidity","2018-11-24 12:49:31","null","7","various","9","DHT22","12115","49.8100","6121","165.9","6.4180","LU"
"","5030292843","9.80","temperature","","","","","","","","","","","",""
"2364258313","5030293838","2.10","P1","2018-11-24 12:49:39","null","1","Nova Fitness","14","SDS011","18342","49.7440","9298","225.6","6.0820","LU"
"","5030293841","1.40","P2","","","","","","","","","","","",""
"2364258331","5030293879","98.70","humidity","2018-11-24 12:49:39","null","7","various","9","DHT22","18343","49.7440","9298","225.6","6.0820","LU"
"","5030293878","8.60","temperature","","","","","","","","","","","",""
"2364258358","5030293935","1.63","P1","2018-11-24 12:49:39","null","1","Nova Fitness","14","SDS011","13112","49.7520","6622","240.9","6.1000","LU"
"","5030293936","1.37","P2","","","","","","","","","","","",""
"2364258388","5030293997","99.90","humidity","2018-11-24 12:49:40","null","7","various","9","DHT22","13113","49.7520","6622","240.9","6.1000","LU"
"","5030293996","8.10","temperature","","","","","","","","","","","",""
"2364258399","5030294019","2.97","P1","2018-11-24 12:49:40","null","1","Nova Fitness","14","SDS011","12910","49.7580","6523","241.1","6.1200","LU"
"","5030294020","2.07","P2","","","","","","","","","","","",""
"2364258433","5030294090","99.90","humidity","2018-11-24 12:49:40","null","7","various","9","DHT22","12911","49.7580","6523","241.1","6.1200","LU"
"","5030294089","7.90","temperature","","","","","","","","","","","",""
"2364258742","5030294732","1.60","P1","2018-11-24 12:49:46","null","1","Nova Fitness","14","SDS011","13847","49.7520","6994","231.8","6.0940","LU"
"","5030294733","1.02","P2","","","","","","","","","","","",""
"2364258762","5030294776","99.90","humidity","2018-11-24 12:49:46","null","7","various","9","DHT22","13848","49.7520","6994","231.8","6.0940","LU"
"","5030294774","9.00","temperature","","","","","","","","","","","",""
"2364258927","5030295121","4.63","P1","2018-11-24 12:49:49","null","1","Nova Fitness","14","SDS011","12008","49.5860","6063","175.8","6.3620","LU"
"","5030295122","3.40","P2","","","","","","","","","","","",""
"2364258976","5030295227","99.90","humidity","2018-11-24 12:49:50","null","7","various","9","DHT22","12009","49.5860","6063","175.8","6.3620","LU"
"","5030295226","7.80","temperature","","","","","","","","","","","",""
"2364259408","5030296123","1.83","P1","2018-11-24 12:49:56","null","1","Nova Fitness","14","SDS011","12760","49.7420","6444","225.5","6.1140","LU"
"","5030296124","1.70","P2","","","","","","","","","","","",""
"2364259440","5030296190","99.90","humidity","2018-11-24 12:49:56","null","7","various","9","DHT22","12761","49.7420","6444","225.5","6.1140","LU"
"","5030296189","7.80","temperature","","","","","","","","","","","",""
"2364259678","5030296701","4.00","P1","2018-11-24 12:49:59","null","1","Nova Fitness","14","SDS011","14247","49.8260","7208","361.3","6.0040","LU"
