"sampling_rate","id","sensor__pin","sensor__id","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","location__country","location__latitude","location__id","location__altitude","location__longitude","timestamp"
"null","2392013783","1","13847","Nova Fitness","14","SDS011","5.50","P1","5088681209","LU","49.7520","6994","231.8","6.0940","2018-11-28 16:49:16"
"","","","","","","","3.83","P2","5088681210","","","","","",""
"null","2392013801","7","13848","various","9","DHT22","99.90","humidity","5088681246","LU","49.7520","6994","231.8","6.0940","2018-11-28 16:49:16"
"","","","","","","","6.40","temperature","5088681244","","","","","",""
"null","2392013966","1","12699","Nova Fitness","14","SDS011","22.17","P1","5088681600","LU","49.5700","6414","328.9","6.0600","2018-11-28 16:49:19"
"","","","","","","","11.53","P2","5088681601","","","","","",""
"null","2392013985","7","12700","various","9","DHT22","99.90","humidity","5088681647","LU","49.5700","6414","328.9","6.0600","2018-11-28 16:49:20"
"","","","","","","","4.70","temperature","5088681646","","","","","",""
"null","2392015029","1","12886","Nova Fitness","14","SDS011","35.17","P1","5088683834","LU","49.7460","6511","229.9","6.0940","2018-11-28 16:49:38"
"","","","","","","","10.87","P2","5088683835","","","","","",""
"null","2392015059","7","12887","various","9","DHT22","99.90","humidity","5088683896","LU","49.7460","6511","229.9","6.0940","2018-11-28 16:49:38"
"","","","","","","","5.00","temperature","5088683895","","","","","",""
"null","2392015123","1","12910","Nova Fitness","14","SDS011","6.73","P1","5088684029","LU","49.7580","6523","241.1","6.1200","2018-11-28 16:49:39"
"","","","","","","","4.50","P2","5088684030","","","","","",""
"null","2392015146","7","12911","various","9","DHT22","99.90","humidity","5088684079","LU","49.7580","6523","241.1","6.1200","2018-11-28 16:49:40"
"","","","","","","","5.40","temperature","5088684078","","","","","",""
"null","2392015883","1","7971","Nova Fitness","14","SDS011","3.87","P1","5088685616","LU","49.7580","4031","240.6","6.1200","2018-11-28 16:49:52"
"","","","","","","","3.33","P2","5088685617","","","","","",""
"null","2392015924","7","7972","various","9","DHT22","99.90","humidity","5088685704","LU","49.7580","4031","240.6","6.1200","2018-11-28 16:49:53"
"","","","","","","","5.20","temperature","5088685703","","","","","",""
"null","2392017287","1","13112","Nova Fitness","14","SDS011","6.30","P1","5088688547","LU","49.7520","6622","240.9","6.1000","2018-11-28 16:50:09"
"","","","","","","","5.00","P2","5088688549","","","","","",""
"null","2392017369","7","13113","various","9","DHT22","99.90","humidity","5088688732","LU","49.7520","6622","240.9","6.1000","2018-11-28 16:50:09"
"","","","","","","","6.10","temperature","5088688708","","","","","",""
"null","2392019628","1","18342","Nova Fitness","14","SDS011","6.30","P1","5088693468","LU","49.7440","9298","225.6","6.0820","2018-11-28 16:50:23"
"","","","","","","","5.10","P2","5088693469","","","","","",""
"null","2392019679","7","18343","various","9","DHT22","99.90","humidity","5088693575","LU","49.7440","9298","225.6","6.0820","2018-11-28 16:50:23"
"","","","","","","","6.10","temperature","5088693572","","","","","",""
"null","2392019715","1","13120","Nova Fitness","14","SDS011","45.00","P1","5088693651","LU","49.5420","6626","265.7","6.1980","2018-11-28 16:50:24"
"","","","","","","","40.80","P2","5088693653","","","","","",""
"null","2392019743","1","12008","Nova Fitness","14","SDS011","32.93","P1","5088693708","LU","49.5860","6063","175.8","6.3620","2018-11-28 16:50:24"
"","","","","","","","16.33","P2","5088693709","","","","","",""
"null","2392019823","7","13121","various","9","DHT22","99.90","humidity","5088693880","LU","49.5420","6626","265.7","6.1980","2018-11-28 16:50:24"
"","","","","","","","5.80","temperature","5088693879","","","","","",""
"null","2392019846","7","12009","various","9","DHT22","99.90","humidity","5088693948","LU","49.5860","6063","175.8","6.3620","2018-11-28 16:50:25"
"","","","","","","","5.30","temperature","5088693938","","","","","",""
"null","2392020006","7","10818","various","9","DHT22","99.90","humidity","5088694265","LU","49.6020","5461","272.2","6.1160","2018-11-28 16:50:26"
"","","","","","","","5.60","temperature","5088694261","","","","","",""
"null","2392021372","1","14247","Nova Fitness","14","SDS011","49.23","P1","5088697156","LU","49.8260","7208","361.3","6.0040","2018-11-28 16:50:38"
"","","","","","","","17.80","P2","5088697158","","","","","",""
"null","2392021464","7","14248","various","9","DHT22","99.90","humidity","5088697360","LU","49.8260","7208","361.3","6.0040","2018-11-28 16:50:39"
"","","","","","","","4.80","temperature","5088697359","","","","","",""
"null","2392022320","1","12725","Nova Fitness","14","SDS011","13.53","P1","5088699149","LU","49.7540","6427","244.1","6.1060","2018-11-28 16:50:48"
"","","","","","","","8.97","P2","5088699150","","","","","",""
"null","2392022349","7","12726","various","9","DHT22","95.10","humidity","5088699212","LU","49.7540","6427","244.1","6.1060","2018-11-28 16:50:49"
"","","","","","","","7.10","temperature","5088699210","","","","","",""
"null","2392022704","1","12114","Nova Fitness","14","SDS011","17.93","P1","5088699969","LU","49.8100","6121","165.9","6.4180","2018-11-28 16:50:54"
"","","","","","","","15.00","P2","5088699970","","","","","",""
"null","2392022740","7","12115","various","9","DHT22","99.90","humidity","5088700045","LU","49.8100","6121","165.9","6.4180","2018-11-28 16:50:54"
"","","","","","","","7.10","temperature","5088700044","","","","","",""
"null","2392022975","1","12760","Nova Fitness","14","SDS011","13.03","P1","5088700532","LU","49.7420","6444","225.5","6.1140","2018-11-28 16:50:59"
"","","","","","","","7.57","P2","5088700533","","","","","",""
"null","2392022999","7","12761","various","9","DHT22","99.90","humidity","5088700581","LU","49.7420","6444","225.5","6.1140","2018-11-28 16:50:59"
"","","","","","","","5.20","temperature","5088700580","","","","","",""
"null","2392024557","1","13281","Nova Fitness","14","SDS011","0.00","P1","5088703880","LU","49.7560","6709","225.2","6.1160","2018-11-28 16:51:27"
"","","","","","","","0.00","P2","5088703881","","","","","",""
"null","2392024588","7","13282","various","9","DHT22","52.00","humidity","5088703950","LU","49.7560","6709","225.2","6.1160","2018-11-28 16:51:27"
"","","","","","","","18.50","temperature","5088703947","","","","","",""
"null","2392024648","1","9400","Nova Fitness","14","SDS011","7.83","P1","5088704079","LU","49.5920","4740","287.7","6.1400","2018-11-28 16:51:28"
"","","","","","","","7.03","P2","5088704080","","","","","",""
"null","2392024683","7","9401","various","9","DHT22","99.90","humidity","5088704158","LU","49.5920","4740","287.7","6.1400","2018-11-28 16:51:29"
"","","","","","","","5.20","temperature","5088704157","","","","","",""
"null","2392025478","1","16703","Nova Fitness","14","SDS011","1.57","P1","5088705827","LU","49.8580","8468","201.1","6.1140","2018-11-28 16:51:43"
"","","","","","","","1.47","P2","5088705829","","","","","",""
"null","2392025495","1","13847","Nova Fitness","14","SDS011","5.45","P1","5088705863","LU","49.7520","6994","231.8","6.0940","2018-11-28 16:51:43"
"","","","","","","","3.87","P2","5088705864","","","","","",""
"null","2392025517","7","13848","various","9","DHT22","99.90","humidity","5088705911","LU","49.7520","6994","231.8","6.0940","2018-11-28 16:51:43"
"","","","","","","","6.40","temperature","5088705910","","","","","",""
