"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12760","SDS011","Nova Fitness","14","P1","5293069954","14.73","2018-12-13 12:15:00","2489123635","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5293069956","5.83","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5293070049","99.90","2018-12-13 12:15:00","2489123680","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5293070048","0.80","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5293070319","10.37","2018-12-13 12:15:02","2489123813","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5293070329","6.50","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5293070567","99.90","2018-12-13 12:15:03","2489123924","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5293070541","4.20","","","","","","","",""
"1","12008","SDS011","Nova Fitness","14","P1","5293073816","8.60","2018-12-13 12:15:14","2489125496","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5293073817","6.37","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5293073902","99.90","2018-12-13 12:15:15","2489125537","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5293073899","8.30","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5293075630","6.03","2018-12-13 12:15:21","2489126355","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5293075631","5.47","","","","","","","",""
"1","18342","SDS011","Nova Fitness","14","P1","5293077718","11.50","2018-12-13 12:15:28","2489127335","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","P2","5293077720","5.23","","","","","","","",""
"7","18343","DHT22","various","9","humidity","5293077795","99.90","2018-12-13 12:15:28","2489127371","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","temperature","5293077794","3.90","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5293080623","10.98","2018-12-13 12:15:44","2489128713","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5293080624","6.53","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5293080646","82.50","2018-12-13 12:15:45","2489128723","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5293080644","4.90","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5293082036","0.00","2018-12-13 12:15:58","2489129383","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5293082037","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5293082096","62.30","2018-12-13 12:15:58","2489129411","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5293082095","12.90","","","","","","","",""
"1","9400","SDS011","Nova Fitness","14","P1","5293083512","10.40","2018-12-13 12:16:09","2489130071","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","P2","5293083513","6.93","","","","","","","",""
"7","9401","DHT22","various","9","humidity","5293083566","56.10","2018-12-13 12:16:10","2489130096","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","temperature","5293083565","1.90","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5293083811","12.83","2018-12-13 12:16:12","2489130214","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5293083817","5.50","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5293083856","69.70","2018-12-13 12:16:13","2489130233","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5293083854","2.90","","","","","","","",""
