"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12114","SDS011","Nova Fitness","14","P1","5293085054","14.67","2018-12-13 12:16:26","2489130798","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5293085055","10.73","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5293085081","94.50","2018-12-13 12:16:26","2489130811","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5293085080","4.40","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5293086863","68.00","2018-12-13 12:16:42","2489131655","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5293086862","3.20","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5293087167","5.53","2018-12-13 12:16:44","2489131799","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5293087168","4.00","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5293087698","99.90","2018-12-13 12:16:47","2489132049","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5293087697","1.90","","","","","","","",""
"1","18971","SDS011","Nova Fitness","14","P1","5293088303","10.53","2018-12-13 12:16:50","2489132342","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","P2","5293088305","6.80","","","","","","","",""
"7","18972","DHT22","various","9","humidity","5293088383","74.40","2018-12-13 12:16:50","2489132379","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","temperature","5293088381","1.50","","","","","","","",""
"1","12886","SDS011","Nova Fitness","14","P1","5293088452","12.13","2018-12-13 12:16:50","2489132415","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","P2","5293088454","7.10","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5293088521","10.17","2018-12-13 12:16:51","2489132448","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5293088522","6.40","","","","","","","",""
"7","12887","DHT22","various","9","humidity","5293088534","99.90","2018-12-13 12:16:51","2489132454","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","temperature","5293088533","4.20","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5293088589","99.90","2018-12-13 12:16:51","2489132480","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5293088588","1.80","","","","","","","",""
"1","13317","SDS011","Nova Fitness","14","P1","5293091398","13.6","2018-12-13 12:17:09","2489133814","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","P2","5293091396","7.6","","","","","","","",""
"11","13318","BME280","Bosch","17","humidity","5293091456","66.6","2018-12-13 12:17:10","2489133842","49.7560","LU","6728","6.1280","303.6","null"
"","","","","","pressure","5293091454","0","","","","","","","",""
"","","","","","temperature","5293091455","0.8","","","","","","","",""
"","","","","","pressure_at_sealevel","","0","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5293093718","12.40","2018-12-13 12:17:26","2489134922","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5293093719","6.07","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5293093806","99.90","2018-12-13 12:17:27","2489134964","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5293093804","0.80","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5293094191","9.13","2018-12-13 12:17:29","2489135151","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5293094194","7.03","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5293094292","99.90","2018-12-13 12:17:29","2489135198","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5293094291","3.60","","","","","","","",""
"1","12699","SDS011","Nova Fitness","14","P1","5293095984","10.00","2018-12-13 12:17:35","2489136020","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","P2","5293095985","4.77","","","","","","","",""
"7","12700","DHT22","various","9","humidity","5293096072","99.90","2018-12-13 12:17:36","2489136060","49.5700","LU","6414","6.0600","328.9","null"
"","","","","","temperature","5293096070","1.60","","","","","","","",""
"1","12008","SDS011","Nova Fitness","14","P1","5293097411","8.37","2018-12-13 12:17:41","2489136708","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5293097414","6.47","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5293097510","99.90","2018-12-13 12:17:41","2489136754","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5293097507","8.10","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5293099596","8.00","2018-12-13 12:17:49","2489137743","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5293099598","6.23","","","","","","","",""
"1","18342","SDS011","Nova Fitness","14","P1","5293101161","11.30","2018-12-13 12:17:54","2489138479","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","P2","5293101162","5.90","","","","","","","",""
"7","18343","DHT22","various","9","humidity","5293101248","99.90","2018-12-13 12:17:55","2489138520","49.7440","LU","9298","6.0820","225.6","null"
"","","","","","temperature","5293101247","3.20","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5293104328","9.43","2018-12-13 12:18:12","2489139971","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5293104329","5.93","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5293104370","81.50","2018-12-13 12:18:12","2489139990","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5293104369","4.80","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5293105625","0.00","2018-12-13 12:18:24","2489140583","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5293105626","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5293105681","62.40","2018-12-13 12:18:25","2489140610","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5293105680","12.90","","","","","","","",""
"1","9400","SDS011","Nova Fitness","14","P1","5293107259","11.77","2018-12-13 12:18:38","2489141353","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","P2","5293107260","6.50","","","","","","","",""
"7","9401","DHT22","various","9","humidity","5293107291","55.80","2018-12-13 12:18:38","2489141368","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","temperature","5293107290","1.90","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5293107580","12.50","2018-12-13 12:18:41","2489141502","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5293107582","6.40","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5293107636","69.70","2018-12-13 12:18:41","2489141527","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5293107634","2.90","","","","","","","",""
"1","12114","SDS011","Nova Fitness","14","P1","5293108837","18.27","2018-12-13 12:18:55","2489142100","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5293108838","11.00","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5293108891","94.40","2018-12-13 12:18:56","2489142126","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5293108890","4.50","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5293110398","68.20","2018-12-13 12:19:08","2489142839","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5293110396","3.30","","","","","","","",""
"1","18971","SDS011","Nova Fitness","14","P1","5293111849","12.63","2018-12-13 12:19:16","2489143525","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","P2","5293111851","8.63","","","","","","","",""
"7","18972","DHT22","various","9","humidity","5293111941","75.70","2018-12-13 12:19:17","2489143567","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","temperature","5293111940","1.40","","","","","","","",""
"1","12886","SDS011","Nova Fitness","14","P1","5293112019","11.27","2018-12-13 12:19:17","2489143605","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","P2","5293112022","6.90","","","","","","","",""
"7","12887","DHT22","various","9","humidity","5293112096","99.90","2018-12-13 12:19:17","2489143641","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","temperature","5293112095","3.50","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5293112251","12.67","2018-12-13 12:19:18","2489143716","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5293112252","7.10","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5293112310","99.90","2018-12-13 12:19:18","2489143745","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5293112309","1.60","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5293112349","11.30","2018-12-13 12:19:19","2489143764","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5293112352","7.68","","","","","","","",""
"7","14248","DHT22","various","9","humidity","5293112566","99.90","2018-12-13 12:19:20","2489143867","49.8260","LU","7208","6.0040","361.3","null"
"","","","","","temperature","5293112565","2.20","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5293112704","99.90","2018-12-13 12:19:21","2489143933","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5293112703","1.80","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5293117366","13.27","2018-12-13 12:19:53","2489146157","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5293117367","6.77","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5293117444","99.90","2018-12-13 12:19:53","2489146194","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5293117443","0.70","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5293117804","8.58","2018-12-13 12:19:56","2489146372","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5293117808","5.97","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5293117881","99.90","2018-12-13 12:19:56","2489146407","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5293117880","3.20","","","","","","","",""
