"timestamp","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","sensor__pin","id","location__country","location__altitude","location__longitude","location__id","location__latitude","sampling_rate","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value"
"2018-12-16 10:13:59","Nova Fitness","14","SDS011","18342","1","2508499843","LU","225.6","6.0820","9298","49.7440","null","5333891444","P1","80.90"
"","","","","","","","","","","","","","5333891445","P2","36.08"
"2018-12-16 10:14:00","various","9","DHT22","18343","7","2508499867","LU","225.6","6.0820","9298","49.7440","null","5333891493","humidity","99.90"
"","","","","","","","","","","","","","5333891492","temperature","2.00"
"2018-12-16 10:14:04","Nova Fitness","14","SDS011","12725","1","2508500283","LU","244.1","6.1060","6427","49.7540","null","5333892356","P1","62.77"
"","","","","","","","","","","","","","5333892357","P2","20.97"
"2018-12-16 10:14:05","various","9","DHT22","12726","7","2508500321","LU","244.1","6.1060","6427","49.7540","null","5333892438","humidity","91.60"
"","","","","","","","","","","","","","5333892437","temperature","2.60"
"2018-12-16 10:14:11","Nova Fitness","14","SDS011","12114","1","2508500800","LU","165.9","6.4180","6121","49.8100","null","5333893448","P1","58.93"
"","","","","","","","","","","","","","5333893452","P2","34.47"
"2018-12-16 10:14:11","various","9","DHT22","12115","7","2508500823","LU","165.9","6.4180","6121","49.8100","null","5333893501","humidity","99.90"
"","","","","","","","","","","","","","5333893500","temperature","3.10"
"2018-12-16 10:14:32","Nova Fitness","14","SDS011","12699","1","2508502247","LU","328.9","6.0600","6414","49.5700","null","5333896510","P1","51.17"
"","","","","","","","","","","","","","5333896511","P2","18.57"
"2018-12-16 10:14:32","various","9","DHT22","12700","7","2508502271","LU","328.9","6.0600","6414","49.5700","null","5333896563","humidity","99.90"
"","","","","","","","","","","","","","5333896562","temperature","0.70"
"2018-12-16 10:14:42","Nova Fitness","14","SDS011","12760","1","2508502883","LU","225.5","6.1140","6444","49.7420","null","5333897854","P1","57.23"
"","","","","","","","","","","","","","5333897855","P2","23.80"
"2018-12-16 10:14:42","various","9","DHT22","12761","7","2508502917","LU","225.5","6.1140","6444","49.7420","null","5333897928","humidity","99.90"
"","","","","","","","","","","","","","5333897927","temperature","0.50"
"2018-12-16 10:14:49","Nova Fitness","14","SDS011","16703","1","2508503305","LU","201.1","6.1140","8468","49.8580","null","5333898753","P1","21.23"
"","","","","","","","","","","","","","5333898754","P2","19.20"
"2018-12-16 10:14:49","Nova Fitness","14","SDS011","9400","1","2508503334","LU","287.7","6.1400","4740","49.5920","null","5333898811","P1","41.00"
"","","","","","","","","","","","","","5333898812","P2","22.67"
"2018-12-16 10:15:04","Nova Fitness","14","SDS011","12886","1","2508504236","LU","229.9","6.0940","6511","49.7460","null","5333900711","P1","72.33"
"","","","","","","","","","","","","","5333900728","P2","26.53"
"2018-12-16 10:15:04","various","9","DHT22","12887","7","2508504273","LU","229.9","6.0940","6511","49.7460","null","5333900789","humidity","99.90"
"","","","","","","","","","","","","","5333900787","temperature","2.10"
"2018-12-16 10:15:20","Nova Fitness","14","SDS011","13847","1","2508505616","LU","231.8","6.0940","6994","49.7520","null","5333903599","P1","42.83"
"","","","","","","","","","","","","","5333903600","P2","19.95"
