"id","timestamp","location__longitude","location__country","location__latitude","location__id","location__altitude","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sampling_rate","sensor__pin","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__id"
"2377918085","2018-11-26 14:17:05","6.1160","LU","49.7560","6709","225.2","58.80","humidity","5059041432","null","7","DHT22","9","various","13282"
"","","","","","","","16.20","temperature","5059041431","","","","","",""
"2377918359","2018-11-26 14:17:09","6.1280","LU","49.7560","6728","303.6","13.1","P1","5059042007","null","1","SDS011","14","Nova Fitness","13317"
"","","","","","","","9.7","P2","5059042006","","","","","",""
"2377918383","2018-11-26 14:17:10","6.1280","LU","49.7560","6728","303.6","72.7","humidity","5059042062","null","11","BME280","17","Bosch","13318"
"","","","","","","","0","pressure","5059042060","","","","","",""
"","","","","","","","6.9","temperature","5059042061","","","","","",""
"","","","","","","","0","pressure_at_sealevel","","","","","","",""
"2377920056","2018-11-26 14:17:37","6.1160","LU","49.6020","5461","272.2","90.30","humidity","5059045565","null","7","DHT22","9","various","10818"
"","","","","","","","8.70","temperature","5059045564","","","","","",""
"2377921545","2018-11-26 14:17:47","6.1200","LU","49.7580","6523","241.1","15.67","P1","5059048708","null","1","SDS011","14","Nova Fitness","12910"
"","","","","","","","10.90","P2","5059048709","","","","","",""
"2377921595","2018-11-26 14:17:48","6.1200","LU","49.7580","6523","241.1","99.90","humidity","5059048813","null","7","DHT22","9","various","12911"
"","","","","","","","6.70","temperature","5059048812","","","","","",""
"2377921600","2018-11-26 14:17:48","6.0040","LU","49.8260","7208","361.3","18.00","P1","5059048822","null","1","SDS011","14","Nova Fitness","14247"
"","","","","","","","13.10","P2","5059048824","","","","","",""
"2377921684","2018-11-26 14:17:48","6.0040","LU","49.8260","7208","361.3","99.90","humidity","5059049000","null","7","DHT22","9","various","14248"
"","","","","","","","6.00","temperature","5059048998","","","","","",""
"2377922936","2018-11-26 14:17:58","6.1200","LU","49.7580","4031","240.6","11.80","P1","5059051643","null","1","SDS011","14","Nova Fitness","7971"
"","","","","","","","7.90","P2","5059051645","","","","","",""
"2377923007","2018-11-26 14:17:59","6.1200","LU","49.7580","4031","240.6","99.90","humidity","5059051793","null","7","DHT22","9","various","7972"
"","","","","","","","7.00","temperature","5059051792","","","","","",""
"2377923134","2018-11-26 14:18:00","6.1400","LU","49.5920","4740","287.7","12.37","P1","5059052054","null","1","SDS011","14","Nova Fitness","9400"
"","","","","","","","9.30","P2","5059052055","","","","","",""
"2377923204","2018-11-26 14:18:01","6.1400","LU","49.5920","4740","287.7","66.70","humidity","5059052200","null","7","DHT22","9","various","9401"
"","","","","","","","7.60","temperature","5059052199","","","","","",""
"2377923538","2018-11-26 14:18:03","6.1980","LU","49.5420","6626","265.7","37.63","P1","5059052910","null","1","SDS011","14","Nova Fitness","13120"
"","","","","","","","34.73","P2","5059052913","","","","","",""
"2377923639","2018-11-26 14:18:04","6.1980","LU","49.5420","6626","265.7","99.90","humidity","5059053113","null","7","DHT22","9","various","13121"
"","","","","","","","7.40","temperature","5059053112","","","","","",""
"2377924169","2018-11-26 14:18:07","6.0820","LU","49.7440","9298","225.6","16.95","P1","5059054234","null","1","SDS011","14","Nova Fitness","18342"
"","","","","","","","14.10","P2","5059054236","","","","","",""
"2377924235","2018-11-26 14:18:08","6.0820","LU","49.7440","9298","225.6","91.10","humidity","5059054374","null","7","DHT22","9","various","18343"
"","","","","","","","7.60","temperature","5059054372","","","","","",""
"2377924851","2018-11-26 14:18:12","6.1140","LU","49.8580","8468","201.1","2.70","P1","5059055676","null","1","SDS011","14","Nova Fitness","16703"
"","","","","","","","2.60","P2","5059055677","","","","","",""
"2377925566","2018-11-26 14:18:19","6.3620","LU","49.5860","6063","175.8","10.57","P1","5059057196","null","1","SDS011","14","Nova Fitness","12008"
"","","","","","","","7.60","P2","5059057197","","","","","",""
"2377925619","2018-11-26 14:18:20","6.3620","LU","49.5860","6063","175.8","99.90","humidity","5059057304","null","7","DHT22","9","various","12009"
"","","","","","","","7.50","temperature","5059057303","","","","","",""
"2377925630","2018-11-26 14:18:20","6.1060","LU","49.7540","6427","244.1","31.97","P1","5059057326","null","1","SDS011","14","Nova Fitness","12725"
"","","","","","","","19.53","P2","5059057329","","","","","",""
"2377925664","2018-11-26 14:18:20","6.1060","LU","49.7540","6427","244.1","75.70","humidity","5059057399","null","7","DHT22","9","various","12726"
"","","","","","","","8.60","temperature","5059057398","","","","","",""
"2377926354","2018-11-26 14:18:30","6.1140","LU","49.7420","6444","225.5","17.83","P1","5059058843","null","1","SDS011","14","Nova Fitness","12760"
"","","","","","","","12.67","P2","5059058844","","","","","",""
"2377926381","2018-11-26 14:18:31","6.1140","LU","49.7420","6444","225.5","99.90","humidity","5059058900","null","7","DHT22","9","various","12761"
"","","","","","","","7.10","temperature","5059058899","","","","","",""
"2377928150","2018-11-26 14:19:00","6.0600","LU","49.5700","6414","328.9","14.00","P1","5059062620","null","1","SDS011","14","Nova Fitness","12699"
"","","","","","","","9.13","P2","5059062621","","","","","",""
"2377928180","2018-11-26 14:19:01","6.0600","LU","49.5700","6414","328.9","99.90","humidity","5059062688","null","7","DHT22","9","various","12700"
"","","","","","","","6.60","temperature","5059062686","","","","","",""
"2377928421","2018-11-26 14:19:05","6.0940","LU","49.7520","6994","231.8","12.60","P1","5059063205","null","1","SDS011","14","Nova Fitness","13847"
"","","","","","","","9.88","P2","5059063206","","","","","",""
"2377928440","2018-11-26 14:19:06","6.0940","LU","49.7520","6994","231.8","92.50","humidity","5059063244","null","7","DHT22","9","various","13848"
"","","","","","","","8.60","temperature","5059063243","","","","","",""
"2377929067","2018-11-26 14:19:19","6.0940","LU","49.7460","6511","229.9","17.47","P1","5059064557","null","1","SDS011","14","Nova Fitness","12886"
"","","","","","","","11.63","P2","5059064559","","","","","",""
"2377929085","2018-11-26 14:19:19","6.0940","LU","49.7460","6511","229.9","99.90","humidity","5059064596","null","7","DHT22","9","various","12887"
"","","","","","","","7.00","temperature","5059064595","","","","","",""
"2377929099","2018-11-26 14:19:19","6.4180","LU","49.8100","6121","165.9","99.90","humidity","5059064624","null","7","DHT22","9","various","12115"
"","","","","","","","9.50","temperature","5059064623","","","","","",""
"2377929458","2018-11-26 14:19:29","6.1000","LU","49.7520","6622","240.9","15.50","P1","5059065377","null","1","SDS011","14","Nova Fitness","13112"
"","","","","","","","11.38","P2","5059065378","","","","","",""
"2377929480","2018-11-26 14:19:29","6.1000","LU","49.7520","6622","240.9","99.90","humidity","5059065423","null","7","DHT22","9","various","13113"
"","","","","","","","7.10","temperature","5059065422","","","","","",""
"2377929606","2018-11-26 14:19:31","6.1160","LU","49.7560","6709","225.2","0.00","P1","5059065682","null","1","SDS011","14","Nova Fitness","13281"
"","","","","","","","0.00","P2","5059065683","","","","","",""
"2377929638","2018-11-26 14:19:31","6.1160","LU","49.7560","6709","225.2","58.80","humidity","5059065747","null","7","DHT22","9","various","13282"
"","","","","","","","16.20","temperature","5059065746","","","","","",""
