"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"1","12760","SDS011","Nova Fitness","14","P1","5266235511","6.03","2018-12-11 13:43:17","2476374352","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5266235512","2.50","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5266235571","99.90","2018-12-11 13:43:18","2476374381","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5266235569","5.50","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5266235613","15.63","2018-12-11 13:43:18","2476374402","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5266235614","2.97","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5266235681","85.50","2018-12-11 13:43:18","2476374434","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5266235679","9.30","","","","","","","",""
"1","12008","SDS011","Nova Fitness","14","P1","5266235684","25.50","2018-12-11 13:43:18","2476374437","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5266235685","14.10","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5266235768","99.90","2018-12-11 13:43:18","2476374477","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5266235767","3.40","","","","","","","",""
"7","10818","DHT22","various","9","humidity","5266236934","99.90","2018-12-11 13:43:26","2476375028","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5266236933","5.70","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5266237557","6.67","2018-12-11 13:43:29","2476375327","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5266237559","2.80","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5266237701","99.90","2018-12-11 13:43:30","2476375394","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5266237700","5.50","","","","","","","",""
"1","9400","SDS011","Nova Fitness","14","P1","5266241070","8.20","2018-12-11 13:43:52","2476376993","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","P2","5266241071","4.43","","","","","","","",""
"7","9401","DHT22","various","9","humidity","5266241189","72.50","2018-12-11 13:43:52","2476377049","49.5920","LU","4740","6.1400","287.7","null"
"","","","","","temperature","5266241188","4.60","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5266242361","6.07","2018-12-11 13:44:00","2476377608","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5266242362","3.03","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5266242425","99.90","2018-12-11 13:44:01","2476377637","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5266242424","5.50","","","","","","","",""
"1","12725","SDS011","Nova Fitness","14","P1","5266243680","6.17","2018-12-11 13:44:09","2476378227","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","P2","5266243681","2.57","","","","","","","",""
"7","12726","DHT22","various","9","humidity","5266243737","78.20","2018-12-11 13:44:09","2476378254","49.7540","LU","6427","6.1060","244.1","null"
"","","","","","temperature","5266243736","7.10","","","","","","","",""
"7","14248","DHT22","various","9","humidity","5266245641","99.90","2018-12-11 13:44:21","2476379143","49.8260","LU","7208","6.0040","361.3","null"
"","","","","","temperature","5266245639","5.80","","","","","","","",""
