sensordatavalues__id,sensordatavalues__value_type,sensordatavalues__value,sampling_rate,timestamp,location__latitude,location__longitude,location__id,location__country,location__altitude,id,sensor__pin,sensor__sensor_type__name,sensor__sensor_type__manufacturer,sensor__sensor_type__id,sensor__id
5128744033,temperature,8,,,,,,,,,,,,,
5128744463,P1,5.6,null,12/1/2018 12:31,49.826,6.004,7208,LU,361.3,2411065246,1,SDS011,Nova Fitness,14,14247
5128744467,P2,4.2,,,,,,,,,,,,,
5128744553,humidity,99.9,null,12/1/2018 12:31,49.826,6.004,7208,LU,361.3,2411065287,7,DHT22,various,9,14248
5128744552,temperature,7.1,,,,,,,,,,,,,
5128745529,humidity,99.9,null,12/1/2018 12:31,49.542,6.198,6626,LU,265.7,2411065743,7,DHT22,various,9,13121
5128745527,temperature,9.1,,,,,,,,,,,,,
5128746518,humidity,99.9,null,12/1/2018 12:31,49.602,6.116,5461,LU,272.2,2411066212,7,DHT22,various,9,10818
5128746517,temperature,8.9,,,,,,,,,,,,,
5128746663,humidity,99.9,null,12/1/2018 12:31,49.81,6.418,6121,LU,165.9,2411066282,7,DHT22,various,9,12115
5128746660,temperature,11.8,,,,,,,,,,,,,
5128748041,P1,5.1,null,12/1/2018 12:32,49.756,6.128,6728,LU,303.6,2411066933,1,SDS011,Nova Fitness,14,13317
5128748039,P2,2.4,,,,,,,,,,,,,
5128748080,humidity,89.1,null,12/1/2018 12:32,49.756,6.128,6728,LU,303.6,2411066952,11,BME280,Bosch,17,13318
5128748070,pressure,0,,,,,,,,,,,,,
5128748076,temperature,8.7,,,,,,,,,,,,,
,pressure_at_sealevel,0,,,,,,,,,,,,,
5128749090,P1,3.9,null,12/1/2018 12:32,49.586,6.362,6063,LU,175.8,2411067432,1,SDS011,Nova Fitness,14,12008
5128749091,P2,2.1,,,,,,,,,,,,,
5128749203,humidity,99.9,null,12/1/2018 12:32,49.586,6.362,6063,LU,175.8,2411067486,7,DHT22,various,9,12009
5128749202,temperature,9,,,,,,,,,,,,,
5128750402,P1,7.03,null,12/1/2018 12:32,49.758,6.12,6523,LU,241.1,2411068059,1,SDS011,Nova Fitness,14,12910
5128750404,P2,2.3,,,,,,,,,,,,,
5128750446,humidity,99.9,null,12/1/2018 12:32,49.758,6.12,6523,LU,241.1,2411068079,7,DHT22,various,9,12911
5128750438,temperature,8.4,,,,,,,,,,,,,
5128751723,P1,7.17,null,12/1/2018 12:32,49.744,6.082,9298,LU,225.6,2411068701,1,SDS011,Nova Fitness,14,18342
5128751724,P2,2.63,,,,,,,,,,,,,
5128751913,humidity,99,null,12/1/2018 12:32,49.744,6.082,9298,LU,225.6,2411068779,7,DHT22,various,9,18343
5128751905,temperature,8.9,,,,,,,,,,,,,
5128752626,P1,2.07,null,12/1/2018 12:32,49.758,6.12,4031,LU,240.6,2411069124,1,SDS011,Nova Fitness,14,7971
5128752629,P2,1.7,,,,,,,,,,,,,
5128752965,humidity,99.9,null,12/1/2018 12:32,49.758,6.12,4031,LU,240.6,2411069286,7,DHT22,various,9,7972
5128752964,temperature,8.9,,,,,,,,,,,,,
5128753694,P1,6.17,null,12/1/2018 12:32,49.592,6.14,4740,LU,287.7,2411069633,1,SDS011,Nova Fitness,14,9400
5128753696,P2,3.2,,,,,,,,,,,,,
5128754077,humidity,90.7,null,12/1/2018 12:32,49.592,6.14,4740,LU,287.7,2411069813,7,DHT22,various,9,9401
5128754075,temperature,8.4,,,,,,,,,,,,,
5128757176,P1,8.43,null,12/1/2018 12:32,49.752,6.094,6994,LU,231.8,2411071291,1,SDS011,Nova Fitness,14,13847
5128757177,P2,5.93,,,,,,,,,,,,,
5128757325,humidity,93.4,null,12/1/2018 12:32,49.752,6.094,6994,LU,231.8,2411071363,7,DHT22,various,9,13848
5128757324,temperature,11.3,,,,,,,,,,,,,
5128757644,P1,4.97,null,12/1/2018 12:32,49.752,6.1,6622,LU,240.9,2411071512,1,SDS011,Nova Fitness,14,13112
5128757645,P2,2.3,,,,,,,,,,,,,
5128757745,humidity,99.9,null,12/1/2018 12:32,49.752,6.1,6622,LU,240.9,2411071558,7,DHT22,various,9,13113
5128757744,temperature,8.9,,,,,,,,,,,,,
5128759176,P1,1.87,null,12/1/2018 12:33,49.858,6.114,8468,LU,201.1,2411072246,1,SDS011,Nova Fitness,14,16703
5128759177,P2,1.1,,,,,,,,,,,,,
5128759998,P1,0,null,12/1/2018 12:33,49.756,6.116,6709,LU,225.2,2411072634,1,SDS011,Nova Fitness,14,13281
5128760003,P2,0,,,,,,,,,,,,,
5128760068,humidity,54.3,null,12/1/2018 12:33,49.756,6.116,6709,LU,225.2,2411072668,7,DHT22,various,9,13282
5128760067,temperature,18.8,,,,,,,,,,,,,
5128764639,P1,6.9,null,12/1/2018 12:33,49.754,6.106,6427,LU,244.1,2411074840,1,SDS011,Nova Fitness,14,12725
5128764642,P2,2.07,,,,,,,,,,,,,
5128764716,humidity,87.2,null,12/1/2018 12:33,49.754,6.106,6427,LU,244.1,2411074874,7,DHT22,various,9,12726
5128764714,temperature,9.8,,,,,,,,,,,,,
5128765600,P1,9.4,null,12/1/2018 12:33,49.746,6.094,6511,LU,229.9,2411075298,1,SDS011,Nova Fitness,14,12886
5128765608,P2,4.9,,,,,,,,,,,,,
5128765682,humidity,99.9,null,12/1/2018 12:33,49.746,6.094,6511,LU,229.9,2411075334,7,DHT22,various,9,12887
5128765680,temperature,8.5,,,,,,,,,,,,,
5128767914,P1,16.47,null,12/1/2018 12:33,49.742,6.114,6444,LU,225.5,2411076398,1,SDS011,Nova Fitness,14,12760
5128767915,P2,3.83,,,,,,,,,,,,,
5128767960,humidity,99.9,null,12/1/2018 12:33,49.742,6.114,6444,LU,225.5,2411076420,7,DHT22,various,9,12761
5128767959,temperature,8.5,,,,,,,,,,,,,
5128769209,P1,7.6,null,12/1/2018 12:33,49.826,6.004,7208,LU,361.3,2411077014,1,SDS011,Nova Fitness,14,14247
5128769210,P2,3.9,,,,,,,,,,,,,
5128769306,humidity,99.9,null,12/1/2018 12:34,49.826,6.004,7208,LU,361.3,2411077059,7,DHT22,various,9,14248
5128769305,temperature,7.1,,,,,,,,,,,,,
