"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"49.7420","LU","225.5","6.1140","6444","2018-12-21 17:01:53","1","Nova Fitness","SDS011","14","12760","P1","3.80","5408635577","null","2543991482"
"","","","","","","","","","","","P2","2.12","5408635578","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-21 17:01:54","7","various","DHT22","9","12761","humidity","99.90","5408635649","null","2543991515"
"","","","","","","","","","","","temperature","11.80","5408635648","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-21 17:02:10","1","Nova Fitness","SDS011","14","13317","P1","0.9","5408638069","null","2543992672"
"","","","","","","","","","","","P2","0.8","5408638068","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-21 17:02:10","11","Bosch","BME280","17","13318","humidity","99.9","5408638118","null","2543992694"
"","","","","","","","","","","","pressure","0","5408638116","",""
"","","","","","","","","","","","temperature","11.5","5408638117","",""
"","","","","","","","","","","","pressure_at_sealevel","0","","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-21 17:02:15","1","Nova Fitness","SDS011","14","13112","P1","1.43","5408638892","null","2543993063"
"","","","","","","","","","","","P2","1.00","5408638893","",""
"49.8260","LU","361.3","6.0040","7208","2018-12-21 17:02:15","1","Nova Fitness","SDS011","14","14247","P1","0.57","5408638951","null","2543993091"
"","","","","","","","","","","","P2","0.50","5408638952","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-21 17:02:16","7","various","DHT22","9","13113","humidity","99.90","5408639109","null","2543993164"
"","","","","","","","","","","","temperature","11.80","5408639108","",""
"49.5920","LU","287.7","6.1400","4740","2018-12-21 17:02:21","1","Nova Fitness","SDS011","14","9400","P1","1.17","5408639761","null","2543993468"
"","","","","","","","","","","","P2","1.07","5408639763","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-21 17:02:33","1","Nova Fitness","SDS011","14","18342","P1","1.03","5408641539","null","2543994307"
"","","","","","","","","","","","P2","0.70","5408641540","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-21 17:02:33","7","various","DHT22","9","18343","humidity","99.90","5408641587","null","2543994330"
"","","","","","","","","","","","temperature","11.70","5408641586","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-21 17:02:35","1","Nova Fitness","SDS011","14","12114","P1","1.73","5408642112","null","2543994583"
"","","","","","","","","","","","P2","1.33","5408642114","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-21 17:02:36","7","various","DHT22","9","12115","humidity","99.90","5408642224","null","2543994636"
"","","","","","","","","","","","temperature","12.70","5408642223","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-21 17:02:44","1","Nova Fitness","SDS011","14","12725","P1","1.60","5408644564","null","2543995742"
"","","","","","","","","","","","P2","0.63","5408644565","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-21 17:02:44","7","various","DHT22","9","12726","humidity","91.20","5408644618","null","2543995768"
"","","","","","","","","","","","temperature","13.00","5408644617","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-21 17:02:53","1","Nova Fitness","SDS011","14","18971","P1","1.53","5408646030","null","2543996435"
"","","","","","","","","","","","P2","0.93","5408646031","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-21 17:02:53","7","various","DHT22","9","18972","humidity","94.90","5408646083","null","2543996460"
"","","","","","","","","","","","temperature","12.10","5408646082","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-21 17:03:03","1","Nova Fitness","SDS011","14","13847","P1","0.47","5408647799","null","2543997268"
"","","","","","","","","","","","P2","0.40","5408647800","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-21 17:03:04","7","various","DHT22","9","13848","humidity","99.90","5408647855","null","2543997293"
"","","","","","","","","","","","temperature","12.80","5408647854","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-21 17:03:05","1","Nova Fitness","SDS011","14","12910","P1","1.27","5408648098","null","2543997411"
"","","","","","","","","","","","P2","0.80","5408648099","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-21 17:03:06","7","various","DHT22","9","12911","humidity","99.90","5408648147","null","2543997434"
"","","","","","","","","","","","temperature","12.00","5408648146","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-21 17:03:30","1","Nova Fitness","SDS011","14","13281","P1","0.00","5408651987","null","2543999255"
"","","","","","","","","","","","P2","0.00","5408651988","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-21 17:03:30","1","Nova Fitness","SDS011","14","7971","P1","1.47","5408652021","null","2543999271"
"","","","","","","","","","","","P2","1.23","5408652023","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-21 17:03:30","7","various","DHT22","9","13282","humidity","56.40","5408652056","null","2543999287"
"","","","","","","","","","","","temperature","17.70","5408652055","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-21 17:03:30","7","various","DHT22","9","7972","humidity","99.90","5408652077","null","2543999297"
"","","","","","","","","","","","temperature","11.50","5408652076","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-21 17:03:32","1","Nova Fitness","SDS011","14","12886","P1","1.10","5408652353","null","2543999428"
"","","","","","","","","","","","P2","0.80","5408652354","",""
