"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","location__longitude","location__id","location__country","location__altitude","location__latitude","timestamp","sampling_rate","id","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","sensor__pin"
"humidity","99.90","5017794557","6.1980","6626","LU","265.7","49.5420","2018-11-23 15:04:18","null","2358321838","various","9","DHT22","13121","7"
"temperature","6.50","5017794556","","","","","","","","","","","","",""
"P1","21.33","5017795599","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:04:27","null","2358322327","Nova Fitness","14","SDS011","9400","1"
"P2","15.83","5017795600","","","","","","","","","","","","",""
"P1","22.93","5017795647","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:04:28","null","2358322349","Nova Fitness","14","SDS011","13112","1"
"P2","14.10","5017795648","","","","","","","","","","","","",""
"humidity","68.30","5017795673","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:04:28","null","2358322360","various","9","DHT22","9401","7"
"temperature","7.50","5017795672","","","","","","","","","","","","",""
"humidity","99.90","5017795681","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:04:28","null","2358322364","various","9","DHT22","13113","7"
"temperature","6.90","5017795680","","","","","","","","","","","","",""
"P1","0.00","5017796794","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:04:37","null","2358322883","Nova Fitness","14","SDS011","13281","1"
"P2","0.00","5017796795","","","","","","","","","","","","",""
"humidity","55.10","5017796834","6.1160","6709","LU","225.2","49.7560","2018-11-23 15:04:38","null","2358322901","various","9","DHT22","13282","7"
"temperature","17.40","5017796833","","","","","","","","","","","","",""
"P1","29.20","5017796989","6.0600","6414","LU","328.9","49.5700","2018-11-23 15:04:39","null","2358322973","Nova Fitness","14","SDS011","12699","1"
"P2","14.10","5017796990","","","","","","","","","","","","",""
"humidity","99.90","5017797032","6.0600","6414","LU","328.9","49.5700","2018-11-23 15:04:39","null","2358322993","various","9","DHT22","12700","7"
"temperature","6.40","5017797031","","","","","","","","","","","","",""
"P1","31.40","5017797358","6.0940","6511","LU","229.9","49.7460","2018-11-23 15:04:42","null","2358323149","Nova Fitness","14","SDS011","12886","1"
"P2","17.53","5017797359","","","","","","","","","","","","",""
"humidity","99.90","5017797393","6.0940","6511","LU","229.9","49.7460","2018-11-23 15:04:42","null","2358323165","various","9","DHT22","12887","7"
"temperature","7.30","5017797392","","","","","","","","","","","","",""
"P1","16.53","5017798267","6.1140","8468","LU","201.1","49.8580","2018-11-23 15:04:51","null","2358323582","Nova Fitness","14","SDS011","16703","1"
"P2","15.00","5017798268","","","","","","","","","","","","",""
"P1","28.57","5017806386","6.1060","6427","LU","244.1","49.7540","2018-11-23 15:05:31","null","2358327445","Nova Fitness","14","SDS011","12725","1"
"P2","15.20","5017806387","","","","","","","","","","","","",""
"humidity","76.30","5017806514","6.1060","6427","LU","244.1","49.7540","2018-11-23 15:05:31","null","2358327504","various","9","DHT22","12726","7"
"temperature","8.80","5017806513","","","","","","","","","","","","",""
"P1","25.97","5017807607","6.1200","6523","LU","241.1","49.7580","2018-11-23 15:05:35","null","2358328017","Nova Fitness","14","SDS011","12910","1"
"P2","15.47","5017807608","","","","","","","","","","","","",""
"humidity","99.90","5017807706","6.1200","6523","LU","241.1","49.7580","2018-11-23 15:05:35","null","2358328065","various","9","DHT22","12911","7"
"temperature","5.50","5017807703","","","","","","","","","","","","",""
"P1","29.43","5017811135","6.0940","6994","LU","231.8","49.7520","2018-11-23 15:05:54","null","2358329698","Nova Fitness","14","SDS011","13847","1"
"P2","20.90","5017811136","","","","","","","","","","","","",""
"P1","39.60","5017811169","6.0040","7208","LU","361.3","49.8260","2018-11-23 15:05:55","null","2358329714","Nova Fitness","14","SDS011","14247","1"
"P2","24.47","5017811170","","","","","","","","","","","","",""
"humidity","90.70","5017811207","6.0940","6994","LU","231.8","49.7520","2018-11-23 15:05:55","null","2358329731","various","9","DHT22","13848","7"
"temperature","8.40","5017811206","","","","","","","","","","","","",""
"humidity","99.90","5017811310","6.0040","7208","LU","361.3","49.8260","2018-11-23 15:05:55","null","2358329782","various","9","DHT22","14248","7"
"temperature","4.90","5017811307","","","","","","","","","","","","",""
"P1","26.30","5017813928","6.3620","6063","LU","175.8","49.5860","2018-11-23 15:06:15","null","2358331025","Nova Fitness","14","SDS011","12008","1"
"P2","14.50","5017813929","","","","","","","","","","","","",""
"humidity","99.90","5017814040","6.3620","6063","LU","175.8","49.5860","2018-11-23 15:06:15","null","2358331078","various","9","DHT22","12009","7"
"temperature","5.40","5017814039","","","","","","","","","","","","",""
"P1","27.90","5017814501","6.1200","4031","LU","240.6","49.7580","2018-11-23 15:06:18","null","2358331293","Nova Fitness","14","SDS011","7971","1"
"P2","14.95","5017814502","","","","","","","","","","","","",""
"humidity","99.90","5017814594","6.1200","4031","LU","240.6","49.7580","2018-11-23 15:06:19","null","2358331338","various","9","DHT22","7972","7"
"temperature","4.90","5017814593","","","","","","","","","","","","",""
"P1","42.33","5017816736","6.1140","6444","LU","225.5","49.7420","2018-11-23 15:06:34","null","2358332351","Nova Fitness","14","SDS011","12760","1"
"P2","24.00","5017816737","","","","","","","","","","","","",""
"humidity","99.90","5017816778","6.1140","6444","LU","225.5","49.7420","2018-11-23 15:06:35","null","2358332371","various","9","DHT22","12761","7"
"temperature","3.80","5017816776","","","","","","","","","","","","",""
"P1","25.40","5017816804","6.1160","5461","LU","272.2","49.6020","2018-11-23 15:06:35","null","2358332385","Nova Fitness","14","SDS011","10817","1"
"P2","11.43","5017816806","","","","","","","","","","","","",""
"humidity","99.90","5017816910","6.1160","5461","LU","272.2","49.6020","2018-11-23 15:06:35","null","2358332434","various","9","DHT22","10818","7"
"temperature","8.30","5017816909","","","","","","","","","","","","",""
"P1","26.30","5017817232","6.0820","9298","LU","225.6","49.7440","2018-11-23 15:06:38","null","2358332587","Nova Fitness","14","SDS011","18342","1"
"P2","13.97","5017817233","","","","","","","","","","","","",""
"humidity","91.50","5017817292","6.0820","9298","LU","225.6","49.7440","2018-11-23 15:06:38","null","2358332615","various","9","DHT22","18343","7"
"temperature","6.10","5017817291","","","","","","","","","","","","",""
"P1","43.93","5017818200","6.1980","6626","LU","265.7","49.5420","2018-11-23 15:06:45","null","2358333048","Nova Fitness","14","SDS011","13120","1"
"P2","39.87","5017818201","","","","","","","","","","","","",""
"humidity","99.90","5017818278","6.1980","6626","LU","265.7","49.5420","2018-11-23 15:06:46","null","2358333085","various","9","DHT22","13121","7"
"temperature","6.40","5017818276","","","","","","","","","","","","",""
"P1","27.13","5017819229","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:06:54","null","2358333538","Nova Fitness","14","SDS011","13112","1"
"P2","17.52","5017819231","","","","","","","","","","","","",""
"humidity","99.90","5017819276","6.1000","6622","LU","240.9","49.7520","2018-11-23 15:06:55","null","2358333560","various","9","DHT22","13113","7"
"temperature","6.90","5017819275","","","","","","","","","","","","",""
"P1","23.77","5017819298","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:06:55","null","2358333571","Nova Fitness","14","SDS011","9400","1"
"P2","16.03","5017819299","","","","","","","","","","","","",""
"humidity","68.40","5017819384","6.1400","4740","LU","287.7","49.5920","2018-11-23 15:06:56","null","2358333612","various","9","DHT22","9401","7"
"temperature","7.50","5017819383","","","","","","","","","","","","",""
