"sampling_rate","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id","location__latitude","location__id","location__altitude","location__longitude","location__country","id"
"null","99.90","humidity","4857468597","2018-11-11 12:38:24","7","various","9","DHT22","12761","49.7420","6444","225.5","6.1140","LU","2282218343"
"","12.40","temperature","4857468596","","","","","","","","","","","",""
"null","5.23","P1","4857469956","2018-11-11 12:38:34","1","Nova Fitness","14","SDS011","13112","49.7520","6622","240.9","6.1000","LU","2282218987"
"","1.53","P2","4857469958","","","","","","","","","","","",""
"null","99.90","humidity","4857470012","2018-11-11 12:38:34","7","various","9","DHT22","13113","49.7520","6622","240.9","6.1000","LU","2282219014"
"","12.70","temperature","4857470011","","","","","","","","","","","",""
"null","0.00","P1","4857470135","2018-11-11 12:38:35","1","Nova Fitness","14","SDS011","13281","49.7560","6709","225.2","6.1160","LU","2282219071"
"","0.00","P2","4857470136","","","","","","","","","","","",""
"null","60.50","humidity","4857470190","2018-11-11 12:38:35","7","various","9","DHT22","13282","49.7560","6709","225.2","6.1160","LU","2282219097"
"","18.10","temperature","4857470189","","","","","","","","","","","",""
"null","6.67","P1","4857470306","2018-11-11 12:38:36","1","Nova Fitness","14","SDS011","12886","49.7460","6511","229.9","6.0940","LU","2282219152"
"","1.67","P2","4857470307","","","","","","","","","","","",""
"null","99.90","humidity","4857470357","2018-11-11 12:38:36","7","various","9","DHT22","12887","49.7460","6511","229.9","6.0940","LU","2282219175"
"","12.10","temperature","4857470356","","","","","","","","","","","",""
"null","9.80","P1","4857471452","2018-11-11 12:38:42","1","Nova Fitness","14","SDS011","12725","49.7540","6427","244.1","6.1060","LU","2282219699"
"","3.47","P2","4857471453","","","","","","","","","","","",""
"null","90.40","humidity","4857471506","2018-11-11 12:38:43","7","various","9","DHT22","12726","49.7540","6427","244.1","6.1060","LU","2282219725"
"","13.80","temperature","4857471505","","","","","","","","","","","",""
"null","4.13","P1","4857472919","2018-11-11 12:38:51","1","Nova Fitness","14","SDS011","12699","49.5700","6414","328.9","6.0600","LU","2282220401"
"","1.07","P2","4857472920","","","","","","","","","","","",""
"null","99.90","humidity","4857472983","2018-11-11 12:38:52","7","various","9","DHT22","12700","49.5700","6414","328.9","6.0600","LU","2282220431"
"","12.00","temperature","4857472981","","","","","","","","","","","",""
"null","8.53","P1","4857473869","2018-11-11 12:38:58","1","Nova Fitness","14","SDS011","12114","49.8100","6121","165.9","6.4180","LU","2282220853"
"","5.67","P2","4857473871","","","","","","","","","","","",""
"null","99.90","humidity","4857473972","2018-11-11 12:38:59","7","various","9","DHT22","12115","49.8100","6121","165.9","6.4180","LU","2282220903"
"","14.80","temperature","4857473971","","","","","","","","","","","",""
"null","7.75","P1","4857476921","2018-11-11 12:39:18","1","Nova Fitness","14","SDS011","13847","49.7520","6994","231.8","6.0940","LU","2282222309"
"","1.30","P2","4857476922","","","","","","","","","","","",""
"null","99.90","humidity","4857476977","2018-11-11 12:39:18","7","various","9","DHT22","13848","49.7520","6994","231.8","6.0940","LU","2282222334"
"","13.60","temperature","4857476976","","","","","","","","","","","",""
"null","3.37","P1","4857486064","2018-11-11 12:40:20","1","Nova Fitness","14","SDS011","10817","49.6020","5461","272.2","6.1160","LU","2282226656"
"","1.70","P2","4857486066","","","","","","","","","","","",""
"null","99.90","humidity","4857486228","2018-11-11 12:40:21","7","various","9","DHT22","10818","49.6020","5461","272.2","6.1160","LU","2282226729"
"","13.00","temperature","4857486227","","","","","","","","","","","",""
"null","3.33","P1","4857487374","2018-11-11 12:40:26","1","Nova Fitness","14","SDS011","9400","49.5920","4740","287.7","6.1400","LU","2282227266"
"","1.63","P2","4857487375","","","","","","","","","","","",""
"null","3.33","P1","4857487638","2018-11-11 12:40:27","1","Nova Fitness","14","SDS011","7971","49.7580","4031","240.6","6.1200","LU","2282227388"
