"sampling_rate","id","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__pin","sensor__id","location__id","location__latitude","location__country","location__longitude","location__altitude","timestamp","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id"
"","","","","","","","","","","","","","temperature","16.00","5445856722"
"null","2561599495","SDS011","14","Nova Fitness","1","12760","6444","49.7420","LU","6.1140","225.5","2018-12-24 15:45:52","P1","2.43","5445856949"
"","","","","","","","","","","","","","P2","1.80","5445856950"
"null","2561599511","DHT22","9","various","7","12761","6444","49.7420","LU","6.1140","225.5","2018-12-24 15:45:52","humidity","99.90","5445856983"
"","","","","","","","","","","","","","temperature","5.40","5445856982"
"null","2561600700","SDS011","14","Nova Fitness","1","13112","6622","49.7520","LU","6.1000","240.9","2018-12-24 15:46:11","P1","4.40","5445859504"
"","","","","","","","","","","","","","P2","1.40","5445859505"
"null","2561600718","DHT22","9","various","7","13113","6622","49.7520","LU","6.1000","240.9","2018-12-24 15:46:12","humidity","99.90","5445859543"
"","","","","","","","","","","","","","temperature","5.60","5445859542"
"null","2561600811","SDS011","14","Nova Fitness","1","13120","6626","49.5420","LU","6.1980","265.7","2018-12-24 15:46:13","P1","30.10","5445859744"
"","","","","","","","","","","","","","P2","28.30","5445859745"
"null","2561600865","DHT22","9","various","7","13121","6626","49.5420","LU","6.1980","265.7","2018-12-24 15:46:14","humidity","99.90","5445859860"
"","","","","","","","","","","","","","temperature","7.40","5445859859"
"null","2561600903","SDS011","14","Nova Fitness","1","13847","6994","49.7520","LU","6.0940","231.8","2018-12-24 15:46:15","P1","2.30","5445859940"
"","","","","","","","","","","","","","P2","1.33","5445859941"
"null","2561600925","DHT22","9","various","7","13848","6994","49.7520","LU","6.0940","231.8","2018-12-24 15:46:15","humidity","96.90","5445859987"
"","","","","","","","","","","","","","temperature","6.40","5445859986"
"null","2561601719","SDS011","14","Nova Fitness","1","9400","4740","49.5920","LU","6.1400","287.7","2018-12-24 15:46:28","P1","2.33","5445861663"
"","","","","","","","","","","","","","P2","2.23","5445861664"
"null","2561602986","SDS011","14","Nova Fitness","1","12910","6523","49.7580","LU","6.1200","241.1","2018-12-24 15:46:48","P1","1.00","5445864352"
"","","","","","","","","","","","","","P2","0.90","5445864353"
"null","2561603010","DHT22","9","various","7","12911","6523","49.7580","LU","6.1200","241.1","2018-12-24 15:46:48","humidity","99.90","5445864403"
"","","","","","","","","","","","","","temperature","4.80","5445864402"
"null","2561603570","SDS011","14","Nova Fitness","1","14247","7208","49.8260","LU","6.0040","361.3","2018-12-24 15:46:57","P1","6.57","5445865595"
"","","","","","","","","","","","","","P2","3.80","5445865596"
"null","2561604203","SDS011","14","Nova Fitness","1","18342","9298","49.7440","LU","6.0820","225.6","2018-12-24 15:47:07","P1","1.63","5445866918"
"","","","","","","","","","","","","","P2","0.80","5445866919"
"null","2561604226","DHT22","9","various","7","18343","9298","49.7440","LU","6.0820","225.6","2018-12-24 15:47:07","humidity","99.90","5445866968"
"","","","","","","","","","","","","","temperature","4.40","5445866966"
"null","2561604264","SDS011","14","Nova Fitness","1","12008","6063","49.5860","LU","6.3620","175.8","2018-12-24 15:47:08","P1","1.80","5445867051"
"","","","","","","","","","","","","","P2","1.70","5445867052"
"null","2561604310","DHT22","9","various","7","12009","6063","49.5860","LU","6.3620","175.8","2018-12-24 15:47:09","humidity","99.90","5445867150"
"","","","","","","","","","","","","","temperature","3.50","5445867149"
"null","2561604364","SDS011","14","Nova Fitness","1","13317","6728","49.7560","LU","6.1280","303.6","2018-12-24 15:47:09","P1","15.5","5445867265"
"","","","","","","","","","","","","","P2","9.5","5445867264"
"null","2561604392","BME280","17","Bosch","11","13318","6728","49.7560","LU","6.1280","303.6","2018-12-24 15:47:10","humidity","88.7","5445867329"
"","","","","","","","","","","","","","pressure","0","5445867327"
"","","","","","","","","","","","","","temperature","5.0","5445867328"
"","","","","","","","","","","","","","pressure_at_sealevel","0",""
"null","2561604990","SDS011","14","Nova Fitness","1","12886","6511","49.7460","LU","6.0940","229.9","2018-12-24 15:47:19","P1","3.47","5445868598"
"","","","","","","","","","","","","","P2","1.80","5445868599"
"null","2561605010","DHT22","9","various","7","12887","6511","49.7460","LU","6.0940","229.9","2018-12-24 15:47:19","humidity","99.90","5445868643"
"","","","","","","","","","","","","","temperature","5.20","5445868642"
"null","2561606087","SDS011","14","Nova Fitness","1","12725","6427","49.7540","LU","6.1060","244.1","2018-12-24 15:47:36","P1","3.33","5445870919"
"","","","","","","","","","","","","","P2","1.83","5445870920"
"null","2561606109","DHT22","9","various","7","12726","6427","49.7540","LU","6.1060","244.1","2018-12-24 15:47:37","humidity","74.70","5445870967"
"","","","","","","","","","","","","","temperature","7.90","5445870966"
"null","2561606554","SDS011","14","Nova Fitness","1","16703","8468","49.8580","LU","6.1140","201.1","2018-12-24 15:47:44","P1","1.07","5445871929"
"","","","","","","","","","","","","","P2","0.98","5445871931"
