location__country,location__longitude,location__altitude,location__latitude,location__id,sensordatavalues__value_type,sensordatavalues__value,sensordatavalues__id,id,sampling_rate,sensor__sensor_type__manufacturer,sensor__sensor_type__name,sensor__sensor_type__id,sensor__id,sensor__pin,timestamp
LU,6.06,328.9,49.57,6414,humidity,99.9,5144924931,2418762141,null,various,DHT22,9,12700,7,12/2/2018 15:53
,,,,,temperature,12.4,5144924930,,,,,,,,
LU,6.418,165.9,49.81,6121,humidity,99.9,5144925542,2418762433,null,various,DHT22,9,12115,7,12/2/2018 15:53
,,,,,temperature,15.1,5144925541,,,,,,,,
LU,6.14,287.7,49.592,4740,P1,4.5,5144929193,2418764178,null,Nova Fitness,SDS011,14,9400,1,12/2/2018 15:53
,,,,,P2,2,5144929194,,,,,,,,
LU,6.14,287.7,49.592,4740,humidity,99.9,5144929356,2418764254,null,various,DHT22,9,9401,7,12/2/2018 15:53
,,,,,temperature,12.7,5144929355,,,,,,,,
LU,6.114,201.1,49.858,8468,P1,0.53,5144930684,2418764888,null,Nova Fitness,SDS011,14,16703,1,12/2/2018 15:53
,,,,,P2,0.53,5144930685,,,,,,,,
LU,6.116,225.2,49.756,6709,P1,0,5144932569,2418765772,null,Nova Fitness,SDS011,14,13281,1,12/2/2018 15:53
,,,,,P2,0,5144932570,,,,,,,,
LU,6.116,225.2,49.756,6709,humidity,57.5,5144932626,2418765798,null,various,DHT22,9,13282,7,12/2/2018 15:53
,,,,,temperature,18.5,5144932625,,,,,,,,
LU,6.114,225.5,49.742,6444,P1,4.53,5144932881,2418765922,null,Nova Fitness,SDS011,14,12760,1,12/2/2018 15:53
,,,,,P2,2.25,5144932882,,,,,,,,
LU,6.114,225.5,49.742,6444,humidity,99.9,5144932937,2418765949,null,various,DHT22,9,12761,7,12/2/2018 15:53
,,,,,temperature,13,5144932936,,,,,,,,
LU,6.004,361.3,49.826,7208,P1,3.1,5144933943,2418766430,null,Nova Fitness,SDS011,14,14247,1,12/2/2018 15:54
,,,,,P2,2.9,5144933944,,,,,,,,
LU,6.004,361.3,49.826,7208,humidity,99.9,5144934079,2418766492,null,various,DHT22,9,14248,7,12/2/2018 15:54
,,,,,temperature,12.4,5144934078,,,,,,,,
LU,6.106,244.1,49.754,6427,P1,2.07,5144934628,2418766750,null,Nova Fitness,SDS011,14,12725,1,12/2/2018 15:54
,,,,,P2,0.6,5144934631,,,,,,,,
LU,6.106,244.1,49.754,6427,humidity,95.3,5144934683,2418766776,null,various,DHT22,9,12726,7,12/2/2018 15:54
,,,,,temperature,14.7,5144934682,,,,,,,,
LU,6.094,231.8,49.752,6994,P1,2.12,5144936005,2418767401,null,Nova Fitness,SDS011,14,13847,1,12/2/2018 15:54
,,,,,P2,0.4,5144936006,,,,,,,,
LU,6.094,231.8,49.752,6994,humidity,99.9,5144936049,2418767421,null,various,DHT22,9,13848,7,12/2/2018 15:54
,,,,,temperature,14.2,5144936048,,,,,,,,
LU,6.12,241.1,49.758,6523,P1,1.13,5144936344,2418767566,null,Nova Fitness,SDS011,14,12910,1,12/2/2018 15:54
,,,,,P2,1,5144936346,,,,,,,,
LU,6.12,241.1,49.758,6523,humidity,99.9,5144936386,2418767582,null,various,DHT22,9,12911,7,12/2/2018 15:54
,,,,,temperature,13.2,5144936385,,,,,,,,
LU,6.094,229.9,49.746,6511,P1,2.87,5144938813,2418768738,null,Nova Fitness,SDS011,14,12886,1,12/2/2018 15:54
,,,,,P2,1.8,5144938815,,,,,,,,
LU,6.094,229.9,49.746,6511,humidity,99.9,5144938870,2418768765,null,various,DHT22,9,12887,7,12/2/2018 15:54
,,,,,temperature,13.2,5144938869,,,,,,,,
LU,6.362,175.8,49.586,6063,P1,4.17,5144938881,2418768771,null,Nova Fitness,SDS011,14,12008,1,12/2/2018 15:54
,,,,,P2,2.5,5144938882,,,,,,,,
LU,6.362,175.8,49.586,6063,humidity,99.9,5144939010,2418768831,null,various,DHT22,9,12009,7,12/2/2018 15:54
,,,,,temperature,12.7,5144939009,,,,,,,,
LU,6.198,265.7,49.542,6626,P1,32.27,5144939340,2418768987,null,Nova Fitness,SDS011,14,13120,1,12/2/2018 15:54
,,,,,P2,30.37,5144939342,,,,,,,,
LU,6.198,265.7,49.542,6626,humidity,99.9,5144939571,2418769096,null,various,DHT22,9,13121,7,12/2/2018 15:54
,,,,,temperature,13.2,5144939570,,,,,,,,
LU,6.096,231.9,49.744,9620,P1,2.9,5144940689,2418769630,null,Nova Fitness,SDS011,14,18971,1,12/2/2018 15:55
,,,,,P2,1.43,5144940690,,,,,,,,
LU,6.096,231.9,49.744,9620,humidity,96.8,5144940710,2418769640,null,various,DHT22,9,18972,7,12/2/2018 15:55
,,,,,temperature,13.3,5144940709,,,,,,,,
LU,6.116,272.2,49.602,5461,humidity,99.9,5144941541,2418770042,null,various,DHT22,9,10818,7,12/2/2018 15:55
,,,,,temperature,13.5,5144941540,,,,,,,,
LU,6.1,240.9,49.752,6622,P1,1.43,5144944102,2418771260,null,Nova Fitness,SDS011,14,13112,1,12/2/2018 15:55
,,,,,P2,0.7,5144944106,,,,,,,,
LU,6.1,240.9,49.752,6622,humidity,99.9,5144944208,2418771308,null,various,DHT22,9,13113,7,12/2/2018 15:55
,,,,,temperature,13.4,5144944202,,,,,,,,
LU,6.12,240.6,49.758,4031,P1,1.83,5144947010,2418772645,null,Nova Fitness,SDS011,14,7971,1,12/2/2018 15:55
,,,,,P2,1.73,5144947011,,,,,,,,
LU,6.12,240.6,49.758,4031,humidity,99.9,5144947426,2418772840,null,various,DHT22,9,7972,7,12/2/2018 15:55
,,,,,temperature,12.8,5144947425,,,,,,,,
LU,6.082,225.6,49.744,9298,P1,1.13,5144948070,2418773143,null,Nova Fitness,SDS011,14,18342,1,12/2/2018 15:55
,,,,,P2,1.03,5144948071,,,,,,,,
LU,6.082,225.6,49.744,9298,humidity,99.9,5144948186,2418773198,null,various,DHT22,9,18343,7,12/2/2018 15:55
,,,,,temperature,13.1,5144948185,,,,,,,,
LU,6.418,165.9,49.81,6121,humidity,99.9,5144951952,2418774995,null,various,DHT22,9,12115,7,12/2/2018 15:55
,,,,,temperature,15.1,5144951951,,,,,,,,
LU,6.06,328.9,49.57,6414,P1,2.6,5144952324,2418775172,null,Nova Fitness,SDS011,14,12699,1,12/2/2018 15:55
,,,,,P2,1.63,5144952325,,,,,,,,
LU,6.06,328.9,49.57,6414,humidity,99.9,5144952386,2418775201,null,various,DHT22,9,12700,7,12/2/2018 15:55
,,,,,temperature,12.4,5144952385,,,,,,,,
LU,6.14,287.7,49.592,4740,P1,2.1,5144953472,2418775722,null,Nova Fitness,SDS011,14,9400,1,12/2/2018 15:55
,,,,,P2,2,5144953473,,,,,,,,
LU,6.14,287.7,49.592,4740,humidity,99.9,5144953638,2418775800,null,various,DHT22,9,9401,7,12/2/2018 15:55
,,,,,temperature,12.7,5144953637,,,,,,,,
