"sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","sampling_rate","sensor__id","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","id","location__altitude","location__longitude","location__latitude","location__id","location__country"
"P1","4980568608","27.13","2018-11-20 14:51:07","null","12760","1","Nova Fitness","SDS011","14","2340704517","225.5","6.1140","49.7420","6444","LU"
"P2","4980568609","15.93","","","","","","","","","","","","",""
"humidity","4980568639","99.90","2018-11-20 14:51:07","null","12761","7","various","DHT22","9","2340704531","225.5","6.1140","49.7420","6444","LU"
"temperature","4980568638","3.70","","","","","","","","","","","","",""
"P1","4980569921","23.67","2018-11-20 14:51:20","null","12886","1","Nova Fitness","SDS011","14","2340705126","229.9","6.0940","49.7460","6511","LU"
"P2","4980569924","12.87","","","","","","","","","","","","",""
"humidity","4980569957","99.90","2018-11-20 14:51:20","null","12887","7","various","DHT22","9","2340705143","229.9","6.0940","49.7460","6511","LU"
"temperature","4980569956","3.90","","","","","","","","","","","","",""
"humidity","4980572330","99.90","2018-11-20 14:51:45","null","12115","7","various","DHT22","9","2340706270","165.9","6.4180","49.8100","6121","LU"
"temperature","4980572329","5.10","","","","","","","","","","","","",""
"P1","4980575851","24.05","2018-11-20 14:52:17","null","13112","1","Nova Fitness","SDS011","14","2340707931","240.9","6.1000","49.7520","6622","LU"
"P2","4980575852","15.15","","","","","","","","","","","","",""
"humidity","4980575891","99.90","2018-11-20 14:52:17","null","13113","7","various","DHT22","9","2340707948","240.9","6.1000","49.7520","6622","LU"
"temperature","4980575890","4.40","","","","","","","","","","","","",""
"P1","4980576098","0.00","2018-11-20 14:52:19","null","13281","1","Nova Fitness","SDS011","14","2340708048","225.2","6.1160","49.7560","6709","LU"
"P2","4980576099","0.00","","","","","","","","","","","","",""
"humidity","4980576164","55.20","2018-11-20 14:52:19","null","13282","7","various","DHT22","9","2340708079","225.2","6.1160","49.7560","6709","LU"
"temperature","4980576163","17.50","","","","","","","","","","","","",""
"P1","4980576497","23.13","2018-11-20 14:52:22","null","12910","1","Nova Fitness","SDS011","14","2340708236","241.1","6.1200","49.7580","6523","LU"
"P2","4980576498","14.03","","","","","","","","","","","","",""
"humidity","4980576528","96.80","2018-11-20 14:52:22","null","12911","7","various","DHT22","9","2340708251","241.1","6.1200","49.7580","6523","LU"
"temperature","4980576527","3.60","","","","","","","","","","","","",""
"P1","4980578047","22.10","2018-11-20 14:52:32","null","10817","1","Nova Fitness","SDS011","14","2340708980","272.2","6.1160","49.6020","5461","LU"
"P2","4980578048","11.37","","","","","","","","","","","","",""
"humidity","4980578157","88.80","2018-11-20 14:52:33","null","10818","7","various","DHT22","9","2340709031","272.2","6.1160","49.6020","5461","LU"
"temperature","4980578156","4.40","","","","","","","","","","","","",""
"P1","4980578219","11.07","2018-11-20 14:52:33","null","16703","1","Nova Fitness","SDS011","14","2340709059","201.1","6.1140","49.8580","8468","LU"
"P2","4980578220","9.97","","","","","","","","","","","","",""
"P1","4980578306","25.90","2018-11-20 14:52:34","null","18342","1","Nova Fitness","SDS011","14","2340709100","225.6","6.0820","49.7440","9298","LU"
"P2","4980578307","17.25","","","","","","","","","","","","",""
"humidity","4980578354","78.90","2018-11-20 14:52:34","null","18343","7","various","DHT22","9","2340709121","225.6","6.0820","49.7440","9298","LU"
"temperature","4980578353","4.60","","","","","","","","","","","","",""
"P1","4980580483","23.23","2018-11-20 14:52:49","null","12725","1","Nova Fitness","SDS011","14","2340710125","244.1","6.1060","49.7540","6427","LU"
"P2","4980580484","12.10","","","","","","","","","","","","",""
"humidity","4980580547","64.20","2018-11-20 14:52:50","null","12726","7","various","DHT22","9","2340710154","244.1","6.1060","49.7540","6427","LU"
"temperature","4980580546","5.80","","","","","","","","","","","","",""
"P1","4980580736","25.4","2018-11-20 14:52:51","null","13317","1","Nova Fitness","SDS011","14","2340710245","303.6","6.1280","49.7560","6728","LU"
"P2","4980580735","13.1","","","","","","","","","","","","",""
"humidity","4980580793","60.4","2018-11-20 14:52:51","null","13318","11","Bosch","BME280","17","2340710272","303.6","6.1280","49.7560","6728","LU"
"pressure","4980580790","0","","","","","","","","","","","","",""
"temperature","4980580791","3.8","","","","","","","","","","","","",""
"pressure_at_sealevel","","0","","","","","","","","","","","","",""
"P1","4980580996","19.48","2018-11-20 14:52:53","null","13847","1","Nova Fitness","SDS011","14","2340710370","231.8","6.0940","49.7520","6994","LU"
"P2","4980580997","12.40","","","","","","","","","","","","",""
"humidity","4980581051","79.50","2018-11-20 14:52:53","null","13848","7","various","DHT22","9","2340710395","231.8","6.0940","49.7520","6994","LU"
"temperature","4980581050","6.00","","","","","","","","","","","","",""
