"id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","timestamp","sampling_rate","sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","location__id","location__country","location__altitude","location__longitude","location__latitude"
"2371280068","1","14","Nova Fitness","SDS011","13317","2018-11-25 14:17:09","null","5045073675","P1","9.1","6728","LU","303.6","6.1280","49.7560"
"","","","","","","","","5045073674","P2","6.9","","","","",""
"2371280105","11","17","Bosch","BME280","13318","2018-11-25 14:17:09","null","5045073756","humidity","99.9","6728","LU","303.6","6.1280","49.7560"
"","","","","","","","","5045073752","pressure","0","","","","",""
"","","","","","","","","5045073753","temperature","7.4","","","","",""
"","","","","","","","","","pressure_at_sealevel","0","","","","",""
"2371280832","1","14","Nova Fitness","SDS011","18342","2018-11-25 14:17:22","null","5045075295","P1","12.63","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045075296","P2","7.70","","","","",""
"2371280846","7","9","various","DHT22","18343","2018-11-25 14:17:22","null","5045075325","humidity","99.90","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045075324","temperature","7.90","","","","",""
"2371282047","7","9","various","DHT22","12115","2018-11-25 14:17:42","null","5045077844","humidity","99.90","6121","LU","165.9","6.4180","49.8100"
"","","","","","","","","5045077843","temperature","10.30","","","","",""
"2371282306","1","14","Nova Fitness","SDS011","13120","2018-11-25 14:17:45","null","5045078388","P1","34.80","6626","LU","265.7","6.1980","49.5420"
"","","","","","","","","5045078389","P2","32.50","","","","",""
"2371282385","7","9","various","DHT22","13121","2018-11-25 14:17:45","null","5045078551","humidity","99.90","6626","LU","265.7","6.1980","49.5420"
"","","","","","","","","5045078550","temperature","7.50","","","","",""
"2371282419","1","14","Nova Fitness","SDS011","12760","2018-11-25 14:17:46","null","5045078617","P1","10.83","6444","LU","225.5","6.1140","49.7420"
"","","","","","","","","5045078618","P2","8.60","","","","",""
"2371282454","7","9","various","DHT22","12761","2018-11-25 14:17:46","null","5045078694","humidity","99.90","6444","LU","225.5","6.1140","49.7420"
"","","","","","","","","5045078693","temperature","7.40","","","","",""
"2371283832","1","14","Nova Fitness","SDS011","10817","2018-11-25 14:17:59","null","5045081581","P1","5.00","5461","LU","272.2","6.1160","49.6020"
"","","","","","","","","5045081582","P2","4.50","","","","",""
"2371283922","7","9","various","DHT22","10818","2018-11-25 14:18:00","null","5045081765","humidity","99.90","5461","LU","272.2","6.1160","49.6020"
"","","","","","","","","5045081764","temperature","9.20","","","","",""
"2371284451","1","14","Nova Fitness","SDS011","9400","2018-11-25 14:18:05","null","5045082881","P1","7.10","4740","LU","287.7","6.1400","49.5920"
"","","","","","","","","5045082882","P2","6.57","","","","",""
"2371284633","7","9","various","DHT22","9401","2018-11-25 14:18:07","null","5045083259","humidity","96.70","4740","LU","287.7","6.1400","49.5920"
"","","","","","","","","5045083258","temperature","8.10","","","","",""
"2371285319","1","14","Nova Fitness","SDS011","12886","2018-11-25 14:18:19","null","5045084724","P1","6.87","6511","LU","229.9","6.0940","49.7460"
"","","","","","","","","5045084725","P2","5.77","","","","",""
"2371285353","7","9","various","DHT22","12887","2018-11-25 14:18:20","null","5045084795","humidity","99.90","6511","LU","229.9","6.0940","49.7460"
"","","","","","","","","5045084794","temperature","8.30","","","","",""
"2371285376","1","14","Nova Fitness","SDS011","7971","2018-11-25 14:18:20","null","5045084843","P1","8.30","4031","LU","240.6","6.1200","49.7580"
"","","","","","","","","5045084844","P2","5.87","","","","",""
"2371285432","7","9","various","DHT22","7972","2018-11-25 14:18:21","null","5045084960","humidity","99.90","4031","LU","240.6","6.1200","49.7580"
"","","","","","","","","5045084959","temperature","7.20","","","","",""
"2371286076","1","14","Nova Fitness","SDS011","14247","2018-11-25 14:18:28","null","5045086309","P1","10.47","7208","LU","361.3","6.0040","49.8260"
"","","","","","","","","5045086310","P2","8.80","","","","",""
"2371286168","7","9","various","DHT22","14248","2018-11-25 14:18:29","null","5045086510","humidity","99.90","7208","LU","361.3","6.0040","49.8260"
"","","","","","","","","5045086508","temperature","6.30","","","","",""
"2371286443","1","14","Nova Fitness","SDS011","13281","2018-11-25 14:18:33","null","5045087090","P1","0.00","6709","LU","225.2","6.1160","49.7560"
"","","","","","","","","5045087091","P2","0.00","","","","",""
"2371286476","7","9","various","DHT22","13282","2018-11-25 14:18:33","null","5045087159","humidity","52.80","6709","LU","225.2","6.1160","49.7560"
"","","","","","","","","5045087157","temperature","17.40","","","","",""
"2371286829","1","14","Nova Fitness","SDS011","16703","2018-11-25 14:18:36","null","5045087895","P1","1.60","8468","LU","201.1","6.1140","49.8580"
"","","","","","","","","5045087896","P2","1.50","","","","",""
"2371287323","1","14","Nova Fitness","SDS011","12725","2018-11-25 14:18:42","null","5045088927","P1","8.93","6427","LU","244.1","6.1060","49.7540"
"","","","","","","","","5045088929","P2","5.40","","","","",""
"2371287364","7","9","various","DHT22","12726","2018-11-25 14:18:42","null","5045089022","humidity","91.90","6427","LU","244.1","6.1060","49.7540"
"","","","","","","","","5045089021","temperature","8.70","","","","",""
"2371287559","1","14","Nova Fitness","SDS011","12008","2018-11-25 14:18:44","null","5045089428","P1","7.37","6063","LU","175.8","6.3620","49.5860"
"","","","","","","","","5045089429","P2","6.27","","","","",""
"2371287661","7","9","various","DHT22","12009","2018-11-25 14:18:45","null","5045089641","humidity","99.90","6063","LU","175.8","6.3620","49.5860"
"","","","","","","","","5045089640","temperature","8.40","","","","",""
"2371288316","1","14","Nova Fitness","SDS011","12699","2018-11-25 14:18:52","null","5045091034","P1","10.73","6414","LU","328.9","6.0600","49.5700"
"","","","","","","","","5045091035","P2","6.60","","","","",""
"2371288339","7","9","various","DHT22","12700","2018-11-25 14:18:52","null","5045091084","humidity","99.90","6414","LU","328.9","6.0600","49.5700"
"","","","","","","","","5045091081","temperature","7.00","","","","",""
"2371288703","1","14","Nova Fitness","SDS011","12910","2018-11-25 14:19:00","null","5045091841","P1","9.57","6523","LU","241.1","6.1200","49.7580"
"","","","","","","","","5045091843","P2","7.23","","","","",""
"2371288721","7","9","various","DHT22","12911","2018-11-25 14:19:00","null","5045091880","humidity","99.90","6523","LU","241.1","6.1200","49.7580"
"","","","","","","","","5045091879","temperature","6.90","","","","",""
"2371290313","1","14","Nova Fitness","SDS011","13847","2018-11-25 14:19:22","null","5045095233","P1","22.50","6994","LU","231.8","6.0940","49.7520"
"","","","","","","","","5045095234","P2","14.32","","","","",""
"2371290350","7","9","various","DHT22","13848","2018-11-25 14:19:22","null","5045095311","humidity","99.90","6994","LU","231.8","6.0940","49.7520"
"","","","","","","","","5045095309","temperature","8.50","","","","",""
"2371290909","1","14","Nova Fitness","SDS011","13112","2018-11-25 14:19:29","null","5045096468","P1","5.43","6622","LU","240.9","6.1000","49.7520"
"","","","","","","","","5045096469","P2","4.47","","","","",""
"2371290939","7","9","various","DHT22","13113","2018-11-25 14:19:29","null","5045096533","humidity","99.90","6622","LU","240.9","6.1000","49.7520"
"","","","","","","","","5045096532","temperature","7.10","","","","",""
"2371292287","1","14","Nova Fitness","SDS011","18342","2018-11-25 14:19:48","null","5045099376","P1","10.03","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045099377","P2","8.27","","","","",""
"2371292300","7","9","various","DHT22","18343","2018-11-25 14:19:49","null","5045099405","humidity","99.90","9298","LU","225.6","6.0820","49.7440"
"","","","","","","","","5045099404","temperature","7.90","","","","",""
