"location__altitude","location__latitude","location__longitude","location__id","location__country","timestamp","sampling_rate","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sensor__id","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin","id"
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:29:10","null","9.03","P1","4956322984","13112","14","SDS011","Nova Fitness","1","2329232110"
"","","","","","","","5.00","P2","4956322985","","","","","",""
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:29:10","null","99.90","humidity","4956323030","13113","9","DHT22","various","7","2329232133"
"","","","","","","","7.90","temperature","4956323029","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:29:17","null","5.00","P1","4956324088","18342","14","SDS011","Nova Fitness","1","2329232630"
"","","","","","","","2.50","P2","4956324089","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:29:18","null","38.80","humidity","4956324123","18343","9","DHT22","various","7","2329232647"
"","","","","","","","13.60","temperature","4956324122","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:29:25","null","7.57","P1","4956325184","7971","14","SDS011","Nova Fitness","1","2329233152"
"","","","","","","","4.00","P2","4956325185","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:29:26","null","83.50","humidity","4956325294","7972","9","DHT22","various","7","2329233204"
"","","","","","","","9.20","temperature","4956325293","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:29:46","null","8.38","P1","4956327915","13847","14","SDS011","Nova Fitness","1","2329234453"
"","","","","","","","4.37","P2","4956327916","","","","","",""
"231.8","49.7520","6.0940","6994","LU","2018-11-18 13:29:46","null","60.20","humidity","4956327955","13848","9","DHT22","various","7","2329234472"
"","","","","","","","9.60","temperature","4956327954","","","","","",""
"201.1","49.8580","6.1140","8468","LU","2018-11-18 13:30:11","null","2.33","P1","4956332108","16703","14","SDS011","Nova Fitness","1","2329236457"
"","","","","","","","2.00","P2","4956332113","","","","","",""
"165.9","49.8100","6.4180","6121","LU","2018-11-18 13:30:14","null","17.93","P1","4956333189","12114","14","SDS011","Nova Fitness","1","2329236965"
"","","","","","","","14.57","P2","4956333190","","","","","",""
"165.9","49.8100","6.4180","6121","LU","2018-11-18 13:30:15","null","56.90","humidity","4956333389","12115","9","DHT22","various","7","2329237060"
"","","","","","","","10.40","temperature","4956333387","","","","","",""
"225.2","49.7560","6.1160","6709","LU","2018-11-18 13:30:18","null","0.00","P1","4956334415","13281","14","SDS011","Nova Fitness","1","2329237546"
"","","","","","","","0.00","P2","4956334417","","","","","",""
"225.2","49.7560","6.1160","6709","LU","2018-11-18 13:30:19","null","57.00","humidity","4956334514","13282","9","DHT22","various","7","2329237592"
"","","","","","","","17.70","temperature","4956334512","","","","","",""
"272.2","49.6020","6.1160","5461","LU","2018-11-18 13:30:23","null","8.17","P1","4956335651","10817","14","SDS011","Nova Fitness","1","2329238129"
"","","","","","","","4.77","P2","4956335654","","","","","",""
"272.2","49.6020","6.1160","5461","LU","2018-11-18 13:30:24","null","49.10","humidity","4956335871","10818","9","DHT22","various","7","2329238233"
"","","","","","","","8.90","temperature","4956335870","","","","","",""
"265.7","49.5420","6.1980","6626","LU","2018-11-18 13:30:38","null","32.47","P1","4956338127","13120","14","SDS011","Nova Fitness","1","2329239313"
"","","","","","","","30.27","P2","4956338128","","","","","",""
"241.1","49.7580","6.1200","6523","LU","2018-11-18 13:30:38","null","6.43","P1","4956338175","12910","14","SDS011","Nova Fitness","1","2329239337"
"","","","","","","","4.73","P2","4956338176","","","","","",""
"241.1","49.7580","6.1200","6523","LU","2018-11-18 13:30:39","null","65.60","humidity","4956338235","12911","9","DHT22","various","7","2329239366"
"","","","","","","","9.20","temperature","4956338234","","","","","",""
"265.7","49.5420","6.1980","6626","LU","2018-11-18 13:30:39","null","99.90","humidity","4956338249","13121","9","DHT22","various","7","2329239373"
"","","","","","","","7.90","temperature","4956338248","","","","","",""
"229.9","49.7460","6.0940","6511","LU","2018-11-18 13:30:40","null","9.65","P1","4956338496","12886","14","SDS011","Nova Fitness","1","2329239491"
"","","","","","","","6.30","P2","4956338497","","","","","",""
"229.9","49.7460","6.0940","6511","LU","2018-11-18 13:30:41","null","65.60","humidity","4956338550","12887","9","DHT22","various","7","2329239517"
"","","","","","","","16.40","temperature","4956338549","","","","","",""
"361.3","49.8260","6.0040","7208","LU","2018-11-18 13:30:54","null","4.43","P1","4956340748","14247","14","SDS011","Nova Fitness","1","2329240571"
"","","","","","","","4.03","P2","4956340749","","","","","",""
"361.3","49.8260","6.0040","7208","LU","2018-11-18 13:30:55","null","97.30","humidity","4956340926","14248","9","DHT22","various","7","2329240659"
"","","","","","","","8.80","temperature","4956340925","","","","","",""
"287.7","49.5920","6.1400","4740","LU","2018-11-18 13:31:10","null","7.27","P1","4956343262","9400","14","SDS011","Nova Fitness","1","2329241759"
"","","","","","","","5.97","P2","4956343264","","","","","",""
"244.1","49.7540","6.1060","6427","LU","2018-11-18 13:31:13","null","8.27","P1","4956343754","12725","14","SDS011","Nova Fitness","1","2329241987"
"","","","","","","","4.37","P2","4956343755","","","","","",""
"244.1","49.7540","6.1060","6427","LU","2018-11-18 13:31:14","null","50.90","humidity","4956343792","12726","9","DHT22","various","7","2329242005"
"","","","","","","","8.80","temperature","4956343791","","","","","",""
"175.8","49.5860","6.3620","6063","LU","2018-11-18 13:31:18","null","8.53","P1","4956344383","12008","14","SDS011","Nova Fitness","1","2329242280"
"","","","","","","","6.90","P2","4956344386","","","","","",""
"175.8","49.5860","6.3620","6063","LU","2018-11-18 13:31:19","null","41.80","humidity","4956344499","12009","9","DHT22","various","7","2329242335"
"","","","","","","","19.00","temperature","4956344497","","","","","",""
"225.5","49.7420","6.1140","6444","LU","2018-11-18 13:31:34","null","8.60","P1","4956346794","12760","14","SDS011","Nova Fitness","1","2329243426"
"","","","","","","","5.50","P2","4956346795","","","","","",""
"225.5","49.7420","6.1140","6444","LU","2018-11-18 13:31:35","null","75.90","humidity","4956346858","12761","9","DHT22","various","7","2329243457"
"","","","","","","","7.20","temperature","4956346856","","","","","",""
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:31:37","null","9.00","P1","4956347184","13112","14","SDS011","Nova Fitness","1","2329243612"
"","","","","","","","4.47","P2","4956347185","","","","","",""
"240.9","49.7520","6.1000","6622","LU","2018-11-18 13:31:37","null","99.90","humidity","4956347246","13113","9","DHT22","various","7","2329243641"
"","","","","","","","7.90","temperature","4956347245","","","","","",""
"328.9","49.5700","6.0600","6414","LU","2018-11-18 13:31:44","null","7.50","P1","4956348213","12699","14","SDS011","Nova Fitness","1","2329244098"
"","","","","","","","4.17","P2","4956348214","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:31:44","null","7.97","P1","4956348263","18342","14","SDS011","Nova Fitness","1","2329244123"
"","","","","","","","5.17","P2","4956348265","","","","","",""
"328.9","49.5700","6.0600","6414","LU","2018-11-18 13:31:44","null","94.50","humidity","4956348283","12700","9","DHT22","various","7","2329244132"
"","","","","","","","7.00","temperature","4956348282","","","","","",""
"225.6","49.7440","6.0820","9298","LU","2018-11-18 13:31:44","null","39.20","humidity","4956348309","18343","9","DHT22","various","7","2329244145"
"","","","","","","","12.30","temperature","4956348308","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:31:52","null","5.70","P1","4956349534","7971","14","SDS011","Nova Fitness","1","2329244729"
"","","","","","","","4.70","P2","4956349535","","","","","",""
"240.6","49.7580","6.1200","4031","LU","2018-11-18 13:31:53","null","86.20","humidity","4956349628","7972","9","DHT22","various","7","2329244775"
"","","","","","","","9.30","temperature","4956349627","","","","","",""
