"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"49.5860","LU","175.8","6.3620","6063","2018-12-18 12:50:11","1","Nova Fitness","SDS011","14","12008","P1","7.23","5363537078","null","2522578788"
"","","","","","","","","","","","P2","5.00","5363537079","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-18 12:50:12","7","various","DHT22","9","12009","humidity","99.90","5363537098","null","2522578797"
"","","","","","","","","","","","temperature","16.20","5363537096","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-18 12:50:16","1","Nova Fitness","SDS011","14","13112","P1","6.00","5363537834","null","2522579149"
"","","","","","","","","","","","P2","3.80","5363537836","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-18 12:50:17","7","various","DHT22","9","13113","humidity","99.90","5363538073","null","2522579263"
"","","","","","","","","","","","temperature","6.80","5363538072","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-18 12:50:30","1","Nova Fitness","SDS011","14","13847","P1","6.28","5363540355","null","2522580336"
"","","","","","","","","","","","P2","3.30","5363540356","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-18 12:50:30","7","various","DHT22","9","13848","humidity","97.20","5363540395","null","2522580354"
"","","","","","","","","","","","temperature","9.20","5363540394","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-18 12:50:32","1","Nova Fitness","SDS011","14","7971","P1","4.10","5363540541","null","2522580426"
"","","","","","","","","","","","P2","3.63","5363540542","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-18 12:50:32","7","various","DHT22","9","7972","humidity","99.90","5363540580","null","2522580445"
"","","","","","","","","","","","temperature","8.20","5363540579","",""
"49.5920","LU","287.7","6.1400","4740","2018-12-18 12:50:43","1","Nova Fitness","SDS011","14","9400","P1","11.07","5363542117","null","2522581173"
"","","","","","","","","","","","P2","6.63","5363542118","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-18 12:50:46","1","Nova Fitness","SDS011","14","12114","P1","10.67","5363542755","null","2522581473"
"","","","","","","","","","","","P2","7.70","5363542756","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-18 12:50:47","7","various","DHT22","9","12115","humidity","99.90","5363542787","null","2522581487"
"","","","","","","","","","","","temperature","10.60","5363542786","",""
"49.5420","LU","265.7","6.1980","6626","2018-12-18 12:51:03","7","various","DHT22","9","13121","humidity","99.90","5363544537","null","2522582312"
"","","","","","","","","","","","temperature","5.70","5363544536","",""
"49.8580","LU","201.1","6.1140","8468","2018-12-18 12:51:40","1","Nova Fitness","SDS011","14","16703","P1","5.70","5363550878","null","2522585327"
"","","","","","","","","","","","P2","4.27","5363550880","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-18 12:52:05","1","Nova Fitness","SDS011","14","12910","P1","10.57","5363554739","null","2522587155"
"","","","","","","","","","","","P2","6.33","5363554740","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-18 12:52:05","7","various","DHT22","9","12911","humidity","99.90","5363554838","null","2522587202"
"","","","","","","","","","","","temperature","6.30","5363554835","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-18 12:52:07","1","Nova Fitness","SDS011","14","12886","P1","6.78","5363555277","null","2522587416"
"","","","","","","","","","","","P2","3.92","5363555278","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-18 12:52:07","1","Nova Fitness","SDS011","14","18342","P1","7.77","5363555323","null","2522587438"
"","","","","","","","","","","","P2","3.53","5363555324","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-18 12:52:07","1","Nova Fitness","SDS011","14","13281","P1","0.00","5363555325","null","2522587439"
"","","","","","","","","","","","P2","0.00","5363555326","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-18 12:52:08","7","various","DHT22","9","12887","humidity","99.90","5363555365","null","2522587458"
"","","","","","","","","","","","temperature","12.30","5363555364","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-18 12:52:08","7","various","DHT22","9","18343","humidity","99.90","5363555394","null","2522587472"
"","","","","","","","","","","","temperature","12.90","5363555392","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-18 12:52:08","7","various","DHT22","9","13282","humidity","54.30","5363555396","null","2522587473"
"","","","","","","","","","","","temperature","16.60","5363555395","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-18 12:52:08","1","Nova Fitness","SDS011","14","12725","P1","12.10","5363555613","null","2522587579"
"","","","","","","","","","","","P2","4.53","5363555614","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-18 12:52:09","7","various","DHT22","9","12726","humidity","89.70","5363555815","null","2522587674"
"","","","","","","","","","","","temperature","7.80","5363555814","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-18 12:52:09","1","Nova Fitness","SDS011","14","12760","P1","8.67","5363555918","null","2522587725"
"","","","","","","","","","","","P2","5.87","5363555920","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-18 12:52:09","1","Nova Fitness","SDS011","14","18971","P1","10.00","5363555949","null","2522587739"
"","","","","","","","","","","","P2","5.97","5363555950","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-18 12:52:09","1","Nova Fitness","SDS011","14","13317","P1","9.5","5363556019","null","2522587771"
"","","","","","","","","","","","P2","5.4","5363556016","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-18 12:52:09","7","various","DHT22","9","12761","humidity","99.90","5363556043","null","2522587786"
"","","","","","","","","","","","temperature","6.40","5363556042","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-18 12:52:10","7","various","DHT22","9","18972","humidity","93.40","5363556101","null","2522587811"
"","","","","","","","","","","","temperature","6.20","5363556094","",""
"49.7560","LU","303.6","6.1280","6728","2018-12-18 12:52:10","11","Bosch","BME280","17","13318","humidity","99.9","5363556206","null","2522587862"
"","","","","","","","","","","","pressure","0","5363556202","",""
"","","","","","","","","","","","temperature","6.1","5363556205","",""
"","","","","","","","","","","","pressure_at_sealevel","0","","",""
