"location__latitude","location__id","location__country","location__longitude","location__altitude","timestamp","id","sampling_rate","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","sensor__id","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__pin"
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:50:20","2404385309","null","P1","5114699319","12.40","12910","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114699320","3.83","","","","",""
"49.7580","6523","LU","6.1200","241.1","2018-11-30 12:50:20","2404385343","null","humidity","5114699395","99.90","12911","9","DHT22","various","7"
"","","","","","","","","temperature","5114699394","10.50","","","","",""
"49.5700","6414","LU","6.0600","328.9","2018-11-30 12:50:59","2404388493","null","P1","5114706054","6.20","12699","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114706055","2.20","","","","",""
"49.5700","6414","LU","6.0600","328.9","2018-11-30 12:50:59","2404388527","null","humidity","5114706133","99.90","12700","9","DHT22","various","7"
"","","","","","","","","temperature","5114706129","9.50","","","","",""
"49.7440","9298","LU","6.0820","225.6","2018-11-30 12:51:13","2404389423","null","P1","5114708017","11.47","18342","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114708018","2.40","","","","",""
"49.7440","9298","LU","6.0820","225.6","2018-11-30 12:51:13","2404389446","null","humidity","5114708066","96.90","18343","9","DHT22","various","7"
"","","","","","","","","temperature","5114708065","11.20","","","","",""
"49.7540","6427","LU","6.1060","244.1","2018-11-30 12:51:14","2404389516","null","P1","5114708228","7.50","12725","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114708229","1.90","","","","",""
"49.7540","6427","LU","6.1060","244.1","2018-11-30 12:51:15","2404389537","null","humidity","5114708279","84.10","12726","9","DHT22","various","7"
"","","","","","","","","temperature","5114708278","12.50","","","","",""
"49.6020","5461","LU","6.1160","272.2","2018-11-30 12:51:21","2404389840","null","humidity","5114708911","99.90","10818","9","DHT22","various","7"
"","","","","","","","","temperature","5114708910","11.20","","","","",""
"49.7420","6444","LU","6.1140","225.5","2018-11-30 12:51:38","2404390746","null","P1","5114710820","9.60","12760","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114710821","2.80","","","","",""
"49.7420","6444","LU","6.1140","225.5","2018-11-30 12:51:39","2404390783","null","humidity","5114710896","99.90","12761","9","DHT22","various","7"
"","","","","","","","","temperature","5114710895","10.80","","","","",""
"49.8100","6121","LU","6.4180","165.9","2018-11-30 12:51:42","2404391074","null","P1","5114711501","7.83","12114","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114711505","4.60","","","","",""
"49.8100","6121","LU","6.4180","165.9","2018-11-30 12:51:43","2404391134","null","humidity","5114711623","99.90","12115","9","DHT22","various","7"
"","","","","","","","","temperature","5114711620","13.10","","","","",""
"49.7560","6709","LU","6.1160","225.2","2018-11-30 12:52:03","2404392382","null","P1","5114714235","0.00","13281","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114714239","0.00","","","","",""
"49.7560","6709","LU","6.1160","225.2","2018-11-30 12:52:03","2404392404","null","humidity","5114714282","57.00","13282","9","DHT22","various","7"
"","","","","","","","","temperature","5114714281","17.30","","","","",""
"49.5420","6626","LU","6.1980","265.7","2018-11-30 12:52:03","2404392433","null","P1","5114714344","33.43","13120","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114714347","30.87","","","","",""
"49.5420","6626","LU","6.1980","265.7","2018-11-30 12:52:04","2404392495","null","humidity","5114714474","99.90","13121","9","DHT22","various","7"
"","","","","","","","","temperature","5114714473","10.70","","","","",""
"49.5860","6063","LU","6.3620","175.8","2018-11-30 12:52:06","2404392578","null","P1","5114714646","6.43","12008","14","SDS011","Nova Fitness","1"
"","","","","","","","","P2","5114714648","3.33","","","","",""
