"sensor__pin","sensor__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensordatavalues__value_type","sensordatavalues__id","sensordatavalues__value","timestamp","id","location__latitude","location__country","location__id","location__longitude","location__altitude","sampling_rate"
"7","10818","DHT22","various","9","humidity","5306936767","67.30","2018-12-14 12:08:05","2495707030","49.6020","LU","5461","6.1160","272.2","null"
"","","","","","temperature","5306936766","2.20","","","","","","","",""
"1","12910","SDS011","Nova Fitness","14","P1","5306940866","13.37","2018-12-14 12:08:28","2495708979","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","P2","5306940867","7.97","","","","","","","",""
"7","12911","DHT22","various","9","humidity","5306940926","99.90","2018-12-14 12:08:28","2495709007","49.7580","LU","6523","6.1200","241.1","null"
"","","","","","temperature","5306940924","0.20","","","","","","","",""
"1","13281","SDS011","Nova Fitness","14","P1","5306946435","0.00","2018-12-14 12:09:05","2495711624","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","P2","5306946436","0.00","","","","","","","",""
"7","13282","DHT22","various","9","humidity","5306946478","52.80","2018-12-14 12:09:05","2495711644","49.7560","LU","6709","6.1160","225.2","null"
"","","","","","temperature","5306946477","16.10","","","","","","","",""
"1","12760","SDS011","Nova Fitness","14","P1","5306946724","15.43","2018-12-14 12:09:07","2495711761","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","P2","5306946725","10.52","","","","","","","",""
"7","12761","DHT22","various","9","humidity","5306946763","99.90","2018-12-14 12:09:07","2495711779","49.7420","LU","6444","6.1140","225.5","null"
"","","","","","temperature","5306946762","0.40","","","","","","","",""
"1","12114","SDS011","Nova Fitness","14","P1","5306950539","16.30","2018-12-14 12:09:31","2495713561","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","P2","5306950540","12.43","","","","","","","",""
"7","12115","DHT22","various","9","humidity","5306950594","99.10","2018-12-14 12:09:31","2495713586","49.8100","LU","6121","6.4180","165.9","null"
"","","","","","temperature","5306950593","2.70","","","","","","","",""
"1","13112","SDS011","Nova Fitness","14","P1","5306952618","12.17","2018-12-14 12:09:45","2495714534","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","P2","5306952619","6.33","","","","","","","",""
"7","13113","DHT22","various","9","humidity","5306952671","99.90","2018-12-14 12:09:46","2495714558","49.7520","LU","6622","6.1000","240.9","null"
"","","","","","temperature","5306952670","0.90","","","","","","","",""
"1","16703","SDS011","Nova Fitness","14","P1","5306956060","9.50","2018-12-14 12:10:09","2495716173","49.8580","LU","8468","6.1140","201.1","null"
"","","","","","P2","5306956062","8.53","","","","","","","",""
"1","7971","SDS011","Nova Fitness","14","P1","5306956277","13.30","2018-12-14 12:10:09","2495716275","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","P2","5306956280","7.95","","","","","","","",""
"7","7972","DHT22","various","9","humidity","5306956379","99.90","2018-12-14 12:10:09","2495716320","49.7580","LU","4031","6.1200","240.6","null"
"","","","","","temperature","5306956378","0.60","","","","","","","",""
"1","13847","SDS011","Nova Fitness","14","P1","5306957113","9.77","2018-12-14 12:10:13","2495716671","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","P2","5306957114","6.60","","","","","","","",""
"7","13848","DHT22","various","9","humidity","5306957179","87.50","2018-12-14 12:10:13","2495716704","49.7520","LU","6994","6.0940","231.8","null"
"","","","","","temperature","5306957177","2.30","","","","","","","",""
"1","12008","SDS011","Nova Fitness","14","P1","5306957989","13.30","2018-12-14 12:10:17","2495717087","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","P2","5306957990","7.77","","","","","","","",""
"7","12009","DHT22","various","9","humidity","5306958075","99.90","2018-12-14 12:10:18","2495717129","49.5860","LU","6063","6.3620","175.8","null"
"","","","","","temperature","5306958074","2.00","","","","","","","",""
"1","18971","SDS011","Nova Fitness","14","P1","5306959147","12.43","2018-12-14 12:10:24","2495717640","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","P2","5306959149","6.77","","","","","","","",""
"7","18972","DHT22","various","9","humidity","5306959270","74.10","2018-12-14 12:10:25","2495717700","49.7440","LU","9620","6.0960","231.9","null"
"","","","","","temperature","5306959269","0.50","","","","","","","",""
"1","12886","SDS011","Nova Fitness","14","P1","5306959830","15.37","2018-12-14 12:10:26","2495717970","49.7460","LU","6511","6.0940","229.9","null"
"","","","","","P2","5306959832","8.27","","","","","","","",""
