"sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","timestamp","sampling_rate","id","sensor__pin","sensor__sensor_type__id","sensor__sensor_type__name","sensor__sensor_type__manufacturer","sensor__id","location__id","location__altitude","location__longitude","location__country","location__latitude"
"humidity","99.90","5073684366","2018-11-27 15:18:05","null","2384882825","7","9","DHT22","various","12009","6063","175.8","6.3620","LU","49.5860"
"temperature","5.40","5073684357","","","","","","","","","","","","",""
"P1","21.47","5073686795","2018-11-27 15:18:15","null","2384883974","1","14","SDS011","Nova Fitness","12725","6427","244.1","6.1060","LU","49.7540"
"P2","12.10","5073686796","","","","","","","","","","","","",""
"humidity","79.20","5073686867","2018-11-27 15:18:15","null","2384884004","7","9","DHT22","various","12726","6427","244.1","6.1060","LU","49.7540"
"temperature","8.10","5073686864","","","","","","","","","","","","",""
"P1","0.00","5073687713","2018-11-27 15:18:21","null","2384884403","1","14","SDS011","Nova Fitness","13281","6709","225.2","6.1160","LU","49.7560"
"P2","0.00","5073687714","","","","","","","","","","","","",""
"humidity","56.20","5073687764","2018-11-27 15:18:21","null","2384884428","7","9","DHT22","various","13282","6709","225.2","6.1160","LU","49.7560"
"temperature","17.30","5073687763","","","","","","","","","","","","",""
"P1","28.50","5073688949","2018-11-27 15:18:31","null","2384884990","1","14","SDS011","Nova Fitness","12886","6511","229.9","6.0940","LU","49.7460"
"P2","17.37","5073688950","","","","","","","","","","","","",""
"humidity","99.90","5073689003","2018-11-27 15:18:31","null","2384885015","7","9","DHT22","various","12887","6511","229.9","6.0940","LU","49.7460"
"temperature","5.90","5073689001","","","","","","","","","","","","",""
"P1","22.90","5073689959","2018-11-27 15:18:38","null","2384885472","1","14","SDS011","Nova Fitness","12760","6444","225.5","6.1140","LU","49.7420"
"P2","13.00","5073689960","","","","","","","","","","","","",""
"humidity","99.90","5073690012","2018-11-27 15:18:39","null","2384885496","7","9","DHT22","various","12761","6444","225.5","6.1140","LU","49.7420"
"temperature","5.30","5073690011","","","","","","","","","","","","",""
"P1","4.30","5073690144","2018-11-27 15:18:40","null","2384885558","1","14","SDS011","Nova Fitness","16703","8468","201.1","6.1140","LU","49.8580"
"P2","4.10","5073690146","","","","","","","","","","","","",""
"P1","27.73","5073690435","2018-11-27 15:18:42","null","2384885696","1","14","SDS011","Nova Fitness","12699","6414","328.9","6.0600","LU","49.5700"
"P2","12.33","5073690436","","","","","","","","","","","","",""
"humidity","99.90","5073690482","2018-11-27 15:18:42","null","2384885718","7","9","DHT22","various","12700","6414","328.9","6.0600","LU","49.5700"
"temperature","4.90","5073690481","","","","","","","","","","","","",""
"P1","21.47","5073692134","2018-11-27 15:18:58","null","2384886501","1","14","SDS011","Nova Fitness","12114","6121","165.9","6.4180","LU","49.8100"
"P2","15.80","5073692135","","","","","","","","","","","","",""
"humidity","99.90","5073692223","2018-11-27 15:18:59","null","2384886544","7","9","DHT22","various","12115","6121","165.9","6.4180","LU","49.8100"
"temperature","7.80","5073692222","","","","","","","","","","","","",""
"P1","17.10","5073694416","2018-11-27 15:19:17","null","2384887592","1","14","SDS011","Nova Fitness","13847","6994","231.8","6.0940","LU","49.7520"
"P2","12.48","5073694417","","","","","","","","","","","","",""
"humidity","93.50","5073694467","2018-11-27 15:19:18","null","2384887616","7","9","DHT22","various","13848","6994","231.8","6.0940","LU","49.7520"
"temperature","7.90","5073694466","","","","","","","","","","","","",""
"humidity","99.90","5073695133","2018-11-27 15:19:23","null","2384887934","7","9","DHT22","various","10818","5461","272.2","6.1160","LU","49.6020"
"temperature","6.00","5073695132","","","","","","","","","","","","",""
"P1","19.73","5073696878","2018-11-27 15:19:38","null","2384888760","1","14","SDS011","Nova Fitness","18342","9298","225.6","6.0820","LU","49.7440"
"P2","13.47","5073696879","","","","","","","","","","","","",""
