"timestamp","sensor__id","sensor__pin","sensor__sensor_type__name","sensor__sensor_type__id","sensor__sensor_type__manufacturer","location__id","location__country","location__latitude","location__longitude","location__altitude","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sampling_rate","id"
"2018-12-03 13:12:52","13847","1","SDS011","14","Nova Fitness","6994","LU","49.7520","6.0940","231.8","2.92","P1","5157087168","null","2424544186"
"","","","","","","","","","","","1.33","P2","5157087169","",""
"2018-12-03 13:12:52","13848","7","DHT22","9","various","6994","LU","49.7520","6.0940","231.8","99.90","humidity","5157087211","null","2424544206"
"","","","","","","","","","","","13.20","temperature","5157087210","",""
"2018-12-03 13:12:53","12115","7","DHT22","9","various","6121","LU","49.8100","6.4180","165.9","99.90","humidity","5157087365","null","2424544280"
"","","","","","","","","","","","13.40","temperature","5157087364","",""
"2018-12-03 13:13:06","10818","7","DHT22","9","various","5461","LU","49.6020","6.1160","272.2","99.90","humidity","5157089376","null","2424545237"
"","","","","","","","","","","","12.40","temperature","5157089375","",""
"2018-12-03 13:13:10","13317","1","SDS011","14","Nova Fitness","6728","LU","49.7560","6.1280","303.6","5.5","P1","5157089822","null","2424545445"
"","","","","","","","","","","","1.9","P2","5157089821","",""
"2018-12-03 13:13:10","13318","11","BME280","17","Bosch","6728","LU","49.7560","6.1280","303.6","99.9","humidity","5157089884","null","2424545474"
"","","","","","","","","","","","0","pressure","5157089879","",""
"","","","","","","","","","","","12.2","temperature","5157089882","",""
"","","","","","","","","","","","0","pressure_at_sealevel","","",""
"2018-12-03 13:13:11","12760","1","SDS011","14","Nova Fitness","6444","LU","49.7420","6.1140","225.5","4.22","P1","5157090001","null","2424545529"
"","","","","","","","","","","","1.80","P2","5157090003","",""
"2018-12-03 13:13:11","12761","7","DHT22","9","various","6444","LU","49.7420","6.1140","225.5","99.90","humidity","5157090066","null","2424545560"
"","","","","","","","","","","","12.30","temperature","5157090065","",""
"2018-12-03 13:13:20","12725","1","SDS011","14","Nova Fitness","6427","LU","49.7540","6.1060","244.1","3.87","P1","5157091386","null","2424546182"
"","","","","","","","","","","","1.20","P2","5157091387","",""
"2018-12-03 13:13:20","12726","7","DHT22","9","various","6427","LU","49.7540","6.1060","244.1","94.10","humidity","5157091445","null","2424546207"
"","","","","","","","","","","","14.10","temperature","5157091443","",""
"2018-12-03 13:13:27","13281","1","SDS011","14","Nova Fitness","6709","LU","49.7560","6.1160","225.2","0.00","P1","5157092832","null","2424546868"
"","","","","","","","","","","","0.00","P2","5157092833","",""
"2018-12-03 13:13:27","13282","7","DHT22","9","various","6709","LU","49.7560","6.1160","225.2","61.60","humidity","5157092902","null","2424546902"
"","","","","","","","","","","","17.20","temperature","5157092901","",""
"2018-12-03 13:13:36","16703","1","SDS011","14","Nova Fitness","8468","LU","49.8580","6.1140","201.1","0.30","P1","5157094453","null","2424547641"
"","","","","","","","","","","","0.10","P2","5157094455","",""
"2018-12-03 13:13:39","12886","1","SDS011","14","Nova Fitness","6511","LU","49.7460","6.0940","229.9","4.15","P1","5157094962","null","2424547884"
"","","","","","","","","","","","1.83","P2","5157094963","",""
"2018-12-03 13:13:39","12887","7","DHT22","9","various","6511","LU","49.7460","6.0940","229.9","99.90","humidity","5157095048","null","2424547926"
"","","","","","","","","","","","12.00","temperature","5157095047","",""
"2018-12-03 13:13:53","9400","1","SDS011","14","Nova Fitness","4740","LU","49.5920","6.1400","287.7","0.13","P1","5157097740","null","2424549199"
"","","","","","","","","","","","0.13","P2","5157097741","",""
"2018-12-03 13:13:54","9401","7","DHT22","9","various","4740","LU","49.5920","6.1400","287.7","99.90","humidity","5157097806","null","2424549231"
"","","","","","","","","","","","11.60","temperature","5157097804","",""
"2018-12-03 13:13:59","12910","1","SDS011","14","Nova Fitness","6523","LU","49.7580","6.1200","241.1","3.00","P1","5157098485","null","2424549553"
"","","","","","","","","","","","1.40","P2","5157098486","",""
"2018-12-03 13:14:00","12911","7","DHT22","9","various","6523","LU","49.7580","6.1200","241.1","99.90","humidity","5157098535","null","2424549576"
"","","","","","","","","","","","12.40","temperature","5157098534","",""
"2018-12-03 13:14:02","12008","1","SDS011","14","Nova Fitness","6063","LU","49.5860","6.3620","175.8","4.03","P1","5157098837","null","2424549727"
"","","","","","","","","","","","1.83","P2","5157098842","",""
"2018-12-03 13:14:04","12009","7","DHT22","9","various","6063","LU","49.5860","6.3620","175.8","99.90","humidity","5157099029","null","2424549817"
"","","","","","","","","","","","11.90","temperature","5157099028","",""
"2018-12-03 13:14:12","18342","1","SDS011","14","Nova Fitness","9298","LU","49.7440","6.0820","225.6","2.97","P1","5157100944","null","2424550718"
"","","","","","","","","","","","1.30","P2","5157100945","",""
"2018-12-03 13:14:13","18343","7","DHT22","9","various","9298","LU","49.7440","6.0820","225.6","99.90","humidity","5157101016","null","2424550752"
"","","","","","","","","","","","12.30","temperature","5157101015","",""
"2018-12-03 13:14:15","13112","1","SDS011","14","Nova Fitness","6622","LU","49.7520","6.1000","240.9","2.80","P1","5157101358","null","2424550916"
"","","","","","","","","","","","1.20","P2","5157101360","",""
"2018-12-03 13:14:15","13113","7","DHT22","9","various","6622","LU","49.7520","6.1000","240.9","99.90","humidity","5157101417","null","2424550942"
"","","","","","","","","","","","12.50","temperature","5157101416","",""
"2018-12-03 13:14:33","12699","1","SDS011","14","Nova Fitness","6414","LU","49.5700","6.0600","328.9","3.93","P1","5157103563","null","2424551956"
"","","","","","","","","","","","1.60","P2","5157103564","",""
"2018-12-03 13:14:33","12700","7","DHT22","9","various","6414","LU","49.5700","6.0600","328.9","99.90","humidity","5157103614","null","2424551980"
"","","","","","","","","","","","11.50","temperature","5157103612","",""
"2018-12-03 13:14:37","7972","7","DHT22","9","various","4031","LU","49.7580","6.1200","240.6","99.90","humidity","5157104041","null","2424552183"
"","","","","","","","","","","","12.20","temperature","5157104040","",""
"2018-12-03 13:14:58","18971","1","SDS011","14","Nova Fitness","9620","LU","49.7440","6.0960","231.9","4.20","P1","5157106450","null","2424553326"
"","","","","","","","","","","","1.92","P2","5157106451","",""
"2018-12-03 13:14:58","18972","7","DHT22","9","various","9620","LU","49.7440","6.0960","231.9","95.50","humidity","5157106504","null","2424553352"
"","","","","","","","","","","","12.60","temperature","5157106503","",""
