"sampling_rate","id","sensordatavalues__id","sensordatavalues__value","sensordatavalues__value_type","location__country","location__latitude","location__altitude","location__longitude","location__id","timestamp","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__id","sensor__pin"
"null","2352335845","5005179575","39.63","P1","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:37:18","14","Nova Fitness","SDS011","12760","1"
"","","5005179576","18.63","P2","","","","","","","","","","",""
"null","2352335873","5005179637","99.90","humidity","LU","49.7420","225.5","6.1140","6444","2018-11-22 16:37:19","9","various","DHT22","12761","7"
"","","5005179636","0.80","temperature","","","","","","","","","","",""
"null","2352335963","5005179825","31.52","P1","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:37:21","14","Nova Fitness","SDS011","13847","1"
"","","5005179826","18.12","P2","","","","","","","","","","",""
"null","2352335987","5005179876","96.30","humidity","LU","49.7520","231.8","6.0940","6994","2018-11-22 16:37:21","9","various","DHT22","13848","7"
"","","5005179873","2.80","temperature","","","","","","","","","","",""
"null","2352336504","5005180962","26.60","P1","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:37:31","14","Nova Fitness","SDS011","12910","1"
"","","5005180963","15.40","P2","","","","","","","","","","",""
"null","2352336518","5005180992","99.90","humidity","LU","49.7580","241.1","6.1200","6523","2018-11-22 16:37:32","9","various","DHT22","12911","7"
"","","5005180991","1.60","temperature","","","","","","","","","","",""
"null","2352336599","5005181162","28.23","P1","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:37:33","14","Nova Fitness","SDS011","9400","1"
"","","5005181163","23.10","P2","","","","","","","","","","",""
"null","2352336638","5005181244","75.90","humidity","LU","49.5920","287.7","6.1400","4740","2018-11-22 16:37:33","9","various","DHT22","9401","7"
"","","5005181243","4.20","temperature","","","","","","","","","","",""
"null","2352341163","5005190788","99.90","humidity","LU","49.8100","165.9","6.4180","6121","2018-11-22 16:38:11","9","various","DHT22","12115","7"
"","","5005190787","3.10","temperature","","","","","","","","","","",""
"null","2352342415","5005193431","40.33","P1","LU","49.7460","229.9","6.0940","6511","2018-11-22 16:38:30","14","Nova Fitness","SDS011","12886","1"
"","","5005193433","24.00","P2","","","","","","","","","","",""
"null","2352342435","5005193474","99.90","humidity","LU","49.7460","229.9","6.0940","6511","2018-11-22 16:38:31","9","various","DHT22","12887","7"
"","","5005193473","2.50","temperature","","","","","","","","","","",""
"null","2352342515","5005193644","25.67","P1","LU","49.8580","201.1","6.1140","8468","2018-11-22 16:38:32","14","Nova Fitness","SDS011","16703","1"
"","","5005193645","23.33","P2","","","","","","","","","","",""
"null","2352342528","5005193674","30.57","P1","LU","49.7440","225.6","6.0820","9298","2018-11-22 16:38:32","14","Nova Fitness","SDS011","18342","1"
"","","5005193675","15.57","P2","","","","","","","","","","",""
"null","2352342554","5005193729","95.50","humidity","LU","49.7440","225.6","6.0820","9298","2018-11-22 16:38:33","9","various","DHT22","18343","7"
"","","5005193728","2.20","temperature","","","","","","","","","","",""
"null","2352342848","5005194346","58.80","P1","LU","49.7580","240.6","6.1200","4031","2018-11-22 16:38:38","14","Nova Fitness","SDS011","7971","1"
"","","5005194347","30.23","P2","","","","","","","","","","",""
"null","2352342876","5005194405","99.90","humidity","LU","49.7580","240.6","6.1200","4031","2018-11-22 16:38:38","9","various","DHT22","7972","7"
"","","5005194404","0.20","temperature","","","","","","","","","","",""
"null","2352343348","5005195392","51.63","P1","LU","49.5700","328.9","6.0600","6414","2018-11-22 16:38:46","14","Nova Fitness","SDS011","12699","1"
"","","5005195393","25.73","P2","","","","","","","","","","",""
"null","2352343365","5005195427","99.90","humidity","LU","49.5700","328.9","6.0600","6414","2018-11-22 16:38:47","9","various","DHT22","12700","7"
"","","5005195426","2.80","temperature","","","","","","","","","","",""
"null","2352343887","5005196541","0.00","P1","LU","49.7560","225.2","6.1160","6709","2018-11-22 16:38:55","14","Nova Fitness","SDS011","13281","1"
"","","5005196542","0.00","P2","","","","","","","","","","",""
"null","2352343902","5005196573","58.00","humidity","LU","49.7560","225.2","6.1160","6709","2018-11-22 16:38:55","9","various","DHT22","13282","7"
"","","5005196572","17.50","temperature","","","","","","","","","","",""
"null","2352345042","5005198987","27.47","P1","LU","49.7520","240.9","6.1000","6622","2018-11-22 16:39:15","14","Nova Fitness","SDS011","13112","1"
"","","5005198988","13.63","P2","","","","","","","","","","",""
"null","2352345066","5005199038","99.90","humidity","LU","49.7520","240.9","6.1000","6622","2018-11-22 16:39:15","9","various","DHT22","13113","7"
"","","5005199037","3.00","temperature","","","","","","","","","","",""
"null","2352345765","5005200515","32.87","P1","LU","49.6020","272.2","6.1160","5461","2018-11-22 16:39:27","14","Nova Fitness","SDS011","10817","1"
"","","5005200516","18.43","P2","","","","","","","","","","",""
"null","2352345802","5005200595","99.90","humidity","LU","49.6020","272.2","6.1160","5461","2018-11-22 16:39:28","9","various","DHT22","10818","7"
"","","5005200594","5.10","temperature","","","","","","","","","","",""
"null","2352345881","5005200758","34.10","P1","LU","49.5860","175.8","6.3620","6063","2018-11-22 16:39:29","14","Nova Fitness","SDS011","12008","1"
"","","5005200760","18.27","P2","","","","","","","","","","",""
"null","2352345926","5005200860","99.90","humidity","LU","49.5860","175.8","6.3620","6063","2018-11-22 16:39:30","9","various","DHT22","12009","7"
"","","5005200858","0.40","temperature","","","","","","","","","","",""
