"location__latitude","location__country","location__altitude","location__longitude","location__id","timestamp","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensordatavalues__value_type","sensordatavalues__value","sensordatavalues__id","sampling_rate","id"
"49.7420","LU","225.5","6.1140","6444","2018-12-20 11:05:57","1","Nova Fitness","SDS011","14","12760","P1","6.73","5390853803","null","2535551674"
"","","","","","","","","","","","P2","1.50","5390853804","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-20 11:05:58","7","various","DHT22","9","12761","humidity","99.90","5390853892","null","2535551713"
"","","","","","","","","","","","temperature","6.80","5390853891","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-20 11:06:08","1","Nova Fitness","SDS011","14","12008","P1","8.07","5390855328","null","2535552396"
"","","","","","","","","","","","P2","2.37","5390855329","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-20 11:06:08","7","various","DHT22","9","12009","humidity","99.90","5390855410","null","2535552434"
"","","","","","","","","","","","temperature","6.50","5390855408","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-20 11:06:10","1","Nova Fitness","SDS011","14","13281","P1","0.00","5390855636","null","2535552544"
"","","","","","","","","","","","P2","0.00","5390855637","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-20 11:06:10","1","Nova Fitness","SDS011","14","18342","P1","7.40","5390855671","null","2535552560"
"","","","","","","","","","","","P2","1.60","5390855672","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-20 11:06:10","7","various","DHT22","9","13282","humidity","56.50","5390855714","null","2535552580"
"","","","","","","","","","","","temperature","17.20","5390855713","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-20 11:06:10","1","Nova Fitness","SDS011","14","18971","P1","7.43","5390855741","null","2535552594"
"","","","","","","","","","","","P2","1.97","5390855743","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-20 11:06:10","7","various","DHT22","9","18343","humidity","99.90","5390855762","null","2535552603"
"","","","","","","","","","","","temperature","6.70","5390855761","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-20 11:06:11","7","various","DHT22","9","18972","humidity","97.40","5390855829","null","2535552636"
"","","","","","","","","","","","temperature","7.00","5390855827","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-20 11:06:16","1","Nova Fitness","SDS011","14","12910","P1","4.40","5390856882","null","2535553136"
"","","","","","","","","","","","P2","1.63","5390856884","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-20 11:06:16","7","various","DHT22","9","12911","humidity","99.90","5390856976","null","2535553183"
"","","","","","","","","","","","temperature","6.90","5390856974","",""
"49.5920","LU","287.7","6.1400","4740","2018-12-20 11:06:30","1","Nova Fitness","SDS011","14","9400","P1","8.03","5390858843","null","2535554071"
"","","","","","","","","","","","P2","2.80","5390858846","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-20 11:06:41","1","Nova Fitness","SDS011","14","12886","P1","4.80","5390860277","null","2535554755"
"","","","","","","","","","","","P2","1.40","5390860278","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-20 11:06:42","7","various","DHT22","9","12887","humidity","99.90","5390860331","null","2535554780"
"","","","","","","","","","","","temperature","6.50","5390860330","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-20 11:06:44","1","Nova Fitness","SDS011","14","12725","P1","8.00","5390860772","null","2535554992"
"","","","","","","","","","","","P2","1.87","5390860773","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-20 11:06:45","7","various","DHT22","9","12726","humidity","92.50","5390860884","null","2535555045"
"","","","","","","","","","","","temperature","8.80","5390860876","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-20 11:06:53","1","Nova Fitness","SDS011","14","13112","P1","3.60","5390862230","null","2535555692"
"","","","","","","","","","","","P2","1.30","5390862245","",""
"49.8580","LU","201.1","6.1140","8468","2018-12-20 11:06:56","1","Nova Fitness","SDS011","14","16703","P1","2.70","5390862588","null","2535555862"
"","","","","","","","","","","","P2","2.00","5390862589","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-20 11:06:57","7","various","DHT22","9","13113","humidity","99.90","5390862788","null","2535555951"
"","","","","","","","","","","","temperature","7.10","5390862786","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-20 11:07:09","1","Nova Fitness","SDS011","14","12699","P1","5.95","5390864348","null","2535556695"
"","","","","","","","","","","","P2","1.87","5390864349","",""
"49.5700","LU","328.9","6.0600","6414","2018-12-20 11:07:10","7","various","DHT22","9","12700","humidity","99.90","5390864404","null","2535556721"
"","","","","","","","","","","","temperature","6.40","5390864403","",""
"49.5420","LU","265.7","6.1980","6626","2018-12-20 11:07:10","7","various","DHT22","9","13121","humidity","99.90","5390864510","null","2535556771"
"","","","","","","","","","","","temperature","7.30","5390864508","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-20 11:07:31","7","various","DHT22","9","13848","humidity","99.90","5390869089","null","2535558959"
"","","","","","","","","","","","temperature","9.00","5390869088","",""
"49.7520","LU","231.8","6.0940","6994","2018-12-20 11:07:33","1","Nova Fitness","SDS011","14","13847","P1","7.05","5390869559","null","2535559180"
"","","","","","","","","","","","P2","6.30","5390869560","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-20 11:08:11","1","Nova Fitness","SDS011","14","12114","P1","5.43","5390874953","null","2535561739"
"","","","","","","","","","","","P2","2.03","5390874955","",""
"49.8100","LU","165.9","6.4180","6121","2018-12-20 11:08:11","7","various","DHT22","9","12115","humidity","99.90","5390875033","null","2535561776"
"","","","","","","","","","","","temperature","9.40","5390875032","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-20 11:08:25","1","Nova Fitness","SDS011","14","7971","P1","2.80","5390876846","null","2535562641"
"","","","","","","","","","","","P2","1.20","5390876847","",""
"49.7580","LU","240.6","6.1200","4031","2018-12-20 11:08:26","7","various","DHT22","9","7972","humidity","99.90","5390876958","null","2535562695"
"","","","","","","","","","","","temperature","7.00","5390876957","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-20 11:08:27","1","Nova Fitness","SDS011","14","12760","P1","7.00","5390877276","null","2535562845"
"","","","","","","","","","","","P2","2.17","5390877278","",""
"49.7420","LU","225.5","6.1140","6444","2018-12-20 11:08:27","7","various","DHT22","9","12761","humidity","99.90","5390877326","null","2535562866"
"","","","","","","","","","","","temperature","6.80","5390877325","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-20 11:08:40","1","Nova Fitness","SDS011","14","12008","P1","7.83","5390879093","null","2535563704"
"","","","","","","","","","","","P2","2.47","5390879094","",""
"49.5860","LU","175.8","6.3620","6063","2018-12-20 11:08:41","7","various","DHT22","9","12009","humidity","99.90","5390879152","null","2535563732"
"","","","","","","","","","","","temperature","6.50","5390879151","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-20 11:08:48","1","Nova Fitness","SDS011","14","12910","P1","4.53","5390880579","null","2535564413"
"","","","","","","","","","","","P2","1.70","5390880580","",""
"49.7580","LU","241.1","6.1200","6523","2018-12-20 11:08:48","7","various","DHT22","9","12911","humidity","99.90","5390880693","null","2535564443"
"","","","","","","","","","","","temperature","6.80","5390880641","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-20 11:08:55","1","Nova Fitness","SDS011","14","13281","P1","0.00","5390881473","null","2535564847"
"","","","","","","","","","","","P2","0.00","5390881475","",""
"49.7560","LU","225.2","6.1160","6709","2018-12-20 11:08:55","7","various","DHT22","9","13282","humidity","56.70","5390881533","null","2535564877"
"","","","","","","","","","","","temperature","17.10","5390881528","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-20 11:08:55","1","Nova Fitness","SDS011","14","18342","P1","6.67","5390881529","null","2535564892"
"","","","","","","","","","","","P2","1.33","5390881560","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-20 11:08:55","1","Nova Fitness","SDS011","14","18971","P1","8.30","5390881567","null","2535564893"
"","","","","","","","","","","","P2","1.83","5390881570","",""
"49.7440","LU","225.6","6.0820","9298","2018-12-20 11:08:55","7","various","DHT22","9","18343","humidity","99.90","5390881621","null","2535564918"
"","","","","","","","","","","","temperature","6.70","5390881620","",""
"49.7440","LU","231.9","6.0960","9620","2018-12-20 11:08:55","7","various","DHT22","9","18972","humidity","96.80","5390881623","null","2535564919"
"","","","","","","","","","","","temperature","7.00","5390881622","",""
"49.5920","LU","287.7","6.1400","4740","2018-12-20 11:09:16","1","Nova Fitness","SDS011","14","9400","P1","7.00","5390884283","null","2535566169"
"","","","","","","","","","","","P2","1.97","5390884288","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-20 11:09:26","1","Nova Fitness","SDS011","14","12886","P1","8.60","5390885959","null","2535566970"
"","","","","","","","","","","","P2","1.67","5390885960","",""
"49.7460","LU","229.9","6.0940","6511","2018-12-20 11:09:27","7","various","DHT22","9","12887","humidity","99.90","5390886028","null","2535567001"
"","","","","","","","","","","","temperature","6.60","5390886027","",""
"49.8580","LU","201.1","6.1140","8468","2018-12-20 11:09:30","1","Nova Fitness","SDS011","14","16703","P1","3.37","5390886535","null","2535567243"
"","","","","","","","","","","","P2","1.50","5390886536","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-20 11:09:30","1","Nova Fitness","SDS011","14","12725","P1","3.23","5390886666","null","2535567304"
"","","","","","","","","","","","P2","1.27","5390886667","",""
"49.7540","LU","244.1","6.1060","6427","2018-12-20 11:09:31","7","various","DHT22","9","12726","humidity","92.40","5390886714","null","2535567327"
"","","","","","","","","","","","temperature","8.90","5390886712","",""
"49.7520","LU","240.9","6.1000","6622","2018-12-20 11:09:43","1","Nova Fitness","SDS011","14","13112","P1","11.57","5390888322","null","2535568091"
"","","","","","","","","","","","P2","4.67","5390888323","",""
