"sampling_rate","timestamp","location__latitude","location__altitude","location__country","location__longitude","location__id","sensor__sensor_type__id","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__pin","sensor__id","id","sensordatavalues__value","sensordatavalues__id","sensordatavalues__value_type"
"","","","","","","","","","","","","","5.13","4830255094","P2"
"null","2018-11-09 13:45:42","49.5700","328.9","LU","6.0600","6414","9","various","DHT22","7","12700","2269277455","99.90","4830255172","humidity"
"","","","","","","","","","","","","","12.00","4830255171","temperature"
"null","2018-11-09 13:45:47","49.7560","225.2","LU","6.1160","6709","14","Nova Fitness","SDS011","1","13281","2269277824","0.00","4830255945","P1"
"","","","","","","","","","","","","","0.00","4830255946","P2"
"null","2018-11-09 13:45:47","49.7560","225.2","LU","6.1160","6709","9","various","DHT22","7","13282","2269277850","61.50","4830256000","humidity"
"","","","","","","","","","","","","","16.60","4830255999","temperature"
"null","2018-11-09 13:45:55","49.7420","225.5","LU","6.1140","6444","14","Nova Fitness","SDS011","1","12760","2269278424","12.63","4830257219","P1"
"","","","","","","","","","","","","","7.68","4830257220","P2"
"null","2018-11-09 13:45:56","49.7420","225.5","LU","6.1140","6444","9","various","DHT22","7","12761","2269278452","99.90","4830257280","humidity"
"","","","","","","","","","","","","","13.30","4830257279","temperature"
"null","2018-11-09 13:46:10","49.6020","272.2","LU","6.1160","5461","14","Nova Fitness","SDS011","1","10817","2269279502","12.77","4830259484","P1"
"","","","","","","","","","","","","","6.10","4830259485","P2"
"null","2018-11-09 13:46:10","49.6020","272.2","LU","6.1160","5461","9","various","DHT22","7","10818","2269279549","99.90","4830259583","humidity"
"","","","","","","","","","","","","","13.00","4830259582","temperature"
"null","2018-11-09 13:46:30","49.7580","241.1","LU","6.1200","6523","14","Nova Fitness","SDS011","1","12910","2269280601","6.20","4830261804","P1"
"","","","","","","","","","","","","","5.43","4830261805","P2"
"null","2018-11-09 13:46:30","49.7580","241.1","LU","6.1200","6523","9","various","DHT22","7","12911","2269280627","99.90","4830261858","humidity"
"","","","","","","","","","","","","","13.40","4830261857","temperature"
"null","2018-11-09 13:46:41","49.7460","229.9","LU","6.0940","6511","14","Nova Fitness","SDS011","1","12886","2269281330","11.02","4830263329","P1"
"","","","","","","","","","","","","","6.47","4830263330","P2"
"null","2018-11-09 13:46:42","49.7460","229.9","LU","6.0940","6511","9","various","DHT22","7","12887","2269281352","99.90","4830263376","humidity"
"","","","","","","","","","","","","","13.90","4830263375","temperature"
"null","2018-11-09 13:46:43","49.5920","287.7","LU","6.1400","4740","14","Nova Fitness","SDS011","1","9400","2269281454","12.07","4830263586","P1"
"","","","","","","","","","","","","","7.63","4830263587","P2"
"null","2018-11-09 13:47:06","49.7520","231.8","LU","6.0940","6994","14","Nova Fitness","SDS011","1","13847","2269282896","7.45","4830266613","P1"
"","","","","","","","","","","","","","5.35","4830266614","P2"
"null","2018-11-09 13:47:06","49.7520","231.8","LU","6.0940","6994","9","various","DHT22","7","13848","2269282924","90.40","4830266671","humidity"
"","","","","","","","","","","","","","14.80","4830266670","temperature"
"null","2018-11-09 13:47:09","49.7560","303.6","LU","6.1280","6728","14","Nova Fitness","SDS011","1","13317","2269283169","7.9","4830267189","P1"
"","","","","","","","","","","","","","5.7","4830267187","P2"
"null","2018-11-09 13:47:10","49.7560","303.6","LU","6.1280","6728","17","Bosch","BME280","11","13318","2269283194","78.4","4830267243","humidity"
"","","","","","","","","","","","","","0","4830267241","pressure"
"","","","","","","","","","","","","","13.5","4830267242","temperature"
"","","","","","","","","","","","","","0","","pressure_at_sealevel"
"null","2018-11-09 13:47:20","49.8580","201.1","LU","6.1140","8468","14","Nova Fitness","SDS011","1","16703","2269284044","6.05","4830269044","P1"
"","","","","","","","","","","","","","5.55","4830269045","P2"
"null","2018-11-09 13:47:28","49.5860","175.8","LU","6.3620","6063","14","Nova Fitness","SDS011","1","12008","2269284617","7.03","4830270259","P1"
"","","","","","","","","","","","","","4.00","4830270260","P2"
"null","2018-11-09 13:47:29","49.5860","175.8","LU","6.3620","6063","9","various","DHT22","7","12009","2269284660","99.90","4830270351","humidity"
"","","","","","","","","","","","","","14.40","4830270350","temperature"
