"timestamp","location__id","location__latitude","location__longitude","location__altitude","location__country","sampling_rate","id","sensordatavalues__value","sensordatavalues__value_type","sensordatavalues__id","sensor__pin","sensor__sensor_type__manufacturer","sensor__sensor_type__id","sensor__sensor_type__name","sensor__id"
"2018-11-19 11:07:31","6414","49.5700","6.0600","328.9","LU","null","2335099531","2.60","P1","4968679131","1","Nova Fitness","14","SDS011","12699"
"","","","","","","","","2.00","P2","4968679133","","","","",""
"2018-11-19 11:07:31","6414","49.5700","6.0600","328.9","LU","null","2335099555","99.90","humidity","4968679183","7","various","9","DHT22","12700"
"","","","","","","","","4.20","temperature","4968679182","","","","",""
"2018-11-19 11:07:43","4740","49.5920","6.1400","287.7","LU","null","2335100089","5.90","P1","4968680316","1","Nova Fitness","14","SDS011","9400"
"","","","","","","","","3.10","P2","4968680318","","","","",""
"2018-11-19 11:07:45","9298","49.7440","6.0820","225.6","LU","null","2335100311","2.65","P1","4968680773","1","Nova Fitness","14","SDS011","18342"
"","","","","","","","","2.22","P2","4968680774","","","","",""
"2018-11-19 11:07:46","9298","49.7440","6.0820","225.6","LU","null","2335100352","86.30","humidity","4968680859","7","various","9","DHT22","18343"
"","","","","","","","","5.40","temperature","4968680858","","","","",""
"2018-11-19 11:07:51","6626","49.5420","6.1980","265.7","LU","null","2335100846","28.90","P1","4968681894","1","Nova Fitness","14","SDS011","13120"
"","","","","","","","","27.20","P2","4968681895","","","","",""
"2018-11-19 11:07:51","6626","49.5420","6.1980","265.7","LU","null","2335100896","99.90","humidity","4968681999","7","various","9","DHT22","13121"
"","","","","","","","","4.90","temperature","4968681998","","","","",""
"2018-11-19 11:07:51","7208","49.8260","6.0040","361.3","LU","null","2335100897","3.53","P1","4968682000","1","Nova Fitness","14","SDS011","14247"
"","","","","","","","","3.23","P2","4968682001","","","","",""
"2018-11-19 11:07:52","7208","49.8260","6.0040","361.3","LU","null","2335100953","99.90","humidity","4968682118","7","various","9","DHT22","14248"
"","","","","","","","","4.20","temperature","4968682117","","","","",""
"2018-11-19 11:07:54","6121","49.8100","6.4180","165.9","LU","null","2335101062","3.27","P1","4968682361","1","Nova Fitness","14","SDS011","12114"
"","","","","","","","","2.90","P2","4968682362","","","","",""
"2018-11-19 11:07:56","6121","49.8100","6.4180","165.9","LU","null","2335101149","99.90","humidity","4968682544","7","various","9","DHT22","12115"
"","","","","","","","","6.50","temperature","4968682543","","","","",""
"2018-11-19 11:07:57","6523","49.7580","6.1200","241.1","LU","null","2335101216","3.17","P1","4968682686","1","Nova Fitness","14","SDS011","12910"
"","","","","","","","","2.10","P2","4968682687","","","","",""
"2018-11-19 11:07:57","6523","49.7580","6.1200","241.1","LU","null","2335101239","99.90","humidity","4968682734","7","various","9","DHT22","12911"
"","","","","","","","","4.60","temperature","4968682733","","","","",""
"2018-11-19 11:08:33","6063","49.5860","6.3620","175.8","LU","null","2335103777","2.97","P1","4968688116","1","Nova Fitness","14","SDS011","12008"
"","","","","","","","","2.37","P2","4968688118","","","","",""
"2018-11-19 11:08:33","5461","49.6020","6.1160","272.2","LU","null","2335103785","2.20","P1","4968688132","1","Nova Fitness","14","SDS011","10817"
"","","","","","","","","1.83","P2","4968688133","","","","",""
"2018-11-19 11:08:34","6063","49.5860","6.3620","175.8","LU","null","2335103827","99.90","humidity","4968688219","7","various","9","DHT22","12009"
"","","","","","","","","6.30","temperature","4968688218","","","","",""
"2018-11-19 11:08:34","5461","49.6020","6.1160","272.2","LU","null","2335103867","85.00","humidity","4968688301","7","various","9","DHT22","10818"
"","","","","","","","","6.30","temperature","4968688300","","","","",""
"2018-11-19 11:08:40","6709","49.7560","6.1160","225.2","LU","null","2335104316","0.00","P1","4968689251","1","Nova Fitness","14","SDS011","13281"
"","","","","","","","","0.00","P2","4968689252","","","","",""
"2018-11-19 11:08:40","6709","49.7560","6.1160","225.2","LU","null","2335104337","55.50","humidity","4968689297","7","various","9","DHT22","13282"
"","","","","","","","","17.80","temperature","4968689296","","","","",""
"2018-11-19 11:08:45","8468","49.8580","6.1140","201.1","LU","null","2335104749","1.57","P1","4968690164","1","Nova Fitness","14","SDS011","16703"
"","","","","","","","","1.47","P2","4968690165","","","","",""
"2018-11-19 11:08:53","6994","49.7520","6.0940","231.8","LU","null","2335105413","1.83","P1","4968691570","1","Nova Fitness","14","SDS011","13847"
"","","","","","","","","1.60","P2","4968691572","","","","",""
"2018-11-19 11:08:53","6994","49.7520","6.0940","231.8","LU","null","2335105448","86.80","humidity","4968691648","7","various","9","DHT22","13848"
"","","","","","","","","7.20","temperature","4968691646","","","","",""
"2018-11-19 11:09:11","6427","49.7540","6.1060","244.1","LU","null","2335106732","2.03","P1","4968694356","1","Nova Fitness","14","SDS011","12725"
"","","","","","","","","1.33","P2","4968694358","","","","",""
"2018-11-19 11:09:11","6427","49.7540","6.1060","244.1","LU","null","2335106759","74.00","humidity","4968694419","7","various","9","DHT22","12726"
"","","","","","","","","6.10","temperature","4968694418","","","","",""
"2018-11-19 11:09:14","6511","49.7460","6.0940","229.9","LU","null","2335106962","3.30","P1","4968694846","1","Nova Fitness","14","SDS011","12886"
"","","","","","","","","1.87","P2","4968694847","","","","",""
"2018-11-19 11:09:14","6511","49.7460","6.0940","229.9","LU","null","2335106983","99.90","humidity","4968694888","7","various","9","DHT22","12887"
"","","","","","","","","4.90","temperature","4968694887","","","","",""
"2018-11-19 11:09:17","6444","49.7420","6.1140","225.5","LU","null","2335107171","2.47","P1","4968695293","1","Nova Fitness","14","SDS011","12760"
"","","","","","","","","1.77","P2","4968695294","","","","",""
"2018-11-19 11:09:17","6444","49.7420","6.1140","225.5","LU","null","2335107204","99.90","humidity","4968695363","7","various","9","DHT22","12761"
"","","","","","","","","4.40","temperature","4968695362","","","","",""
"2018-11-19 11:09:21","6622","49.7520","6.1000","240.9","LU","null","2335107461","1.00","P1","4968695902","1","Nova Fitness","14","SDS011","13112"
"","","","","","","","","0.90","P2","4968695903","","","","",""
"2018-11-19 11:09:22","6622","49.7520","6.1000","240.9","LU","null","2335107486","99.90","humidity","4968695957","7","various","9","DHT22","13113"
"","","","","","","","","5.20","temperature","4968695956","","","","",""
