"sensordatavalues__id","sensordatavalues__value_type","sensordatavalues__value","timestamp","sampling_rate","id","location__longitude","location__latitude","location__id","location__country","location__altitude","sensor__sensor_type__manufacturer","sensor__sensor_type__name","sensor__sensor_type__id","sensor__id","sensor__pin"
"4885515190","P2","2.00","","","","","","","","","","","","",""
"4885515306","humidity","99.90","2018-11-13 12:41:27","null","2295560360","6.4180","49.8100","6121","LU","165.9","various","DHT22","9","12115","7"
"4885515305","temperature","15.50","","","","","","","","","","","","",""
"4885517220","P1","6.70","2018-11-13 12:41:38","null","2295561272","6.0940","49.7520","6994","LU","231.8","Nova Fitness","SDS011","14","13847","1"
"4885517222","P2","1.87","","","","","","","","","","","","",""
"4885517274","humidity","86.50","2018-11-13 12:41:39","null","2295561296","6.0940","49.7520","6994","LU","231.8","various","DHT22","9","13848","7"
"4885517273","temperature","15.10","","","","","","","","","","","","",""
"4885517879","P1","6.10","2018-11-13 12:41:42","null","2295561580","6.0940","49.7460","6511","LU","229.9","Nova Fitness","SDS011","14","12886","1"
"4885517880","P2","1.55","","","","","","","","","","","","",""
"4885517958","humidity","99.90","2018-11-13 12:41:43","null","2295561618","6.0940","49.7460","6511","LU","229.9","various","DHT22","9","12887","7"
"4885517957","temperature","13.80","","","","","","","","","","","","",""
"4885519677","P1","0.00","2018-11-13 12:41:56","null","2295562432","6.1160","49.7560","6709","LU","225.2","Nova Fitness","SDS011","14","13281","1"
"4885519679","P2","0.00","","","","","","","","","","","","",""
"4885519738","humidity","65.40","2018-11-13 12:41:56","null","2295562459","6.1160","49.7560","6709","LU","225.2","various","DHT22","9","13282","7"
"4885519737","temperature","16.70","","","","","","","","","","","","",""
"4885520335","P1","28.17","2018-11-13 12:42:00","null","2295562744","6.1980","49.5420","6626","LU","265.7","Nova Fitness","SDS011","14","13120","1"
"4885520336","P2","26.67","","","","","","","","","","","","",""
"4885520462","humidity","99.90","2018-11-13 12:42:01","null","2295562803","6.1980","49.5420","6626","LU","265.7","various","DHT22","9","13121","7"
"4885520461","temperature","12.70","","","","","","","","","","","","",""
"4885521089","P1","11.50","2018-11-13 12:42:06","null","2295563103","6.1000","49.7520","6622","LU","240.9","Nova Fitness","SDS011","14","13112","1"
"4885521090","P2","2.00","","","","","","","","","","","","",""
"4885521139","humidity","99.90","2018-11-13 12:42:06","null","2295563128","6.1000","49.7520","6622","LU","240.9","various","DHT22","9","13113","7"
"4885521138","temperature","13.20","","","","","","","","","","","","",""
"4885521620","P1","6.2","2018-11-13 12:42:09","null","2295563357","6.1280","49.7560","6728","LU","303.6","Nova Fitness","SDS011","14","13317","1"
"4885521618","P2","1.3","","","","","","","","","","","","",""
"4885521673","humidity","70.2","2018-11-13 12:42:10","null","2295563382","6.1280","49.7560","6728","LU","303.6","Bosch","BME280","17","13318","11"
"4885521671","pressure","0","","","","","","","","","","","","",""
